平日ダイヤ 福井駅 下り時刻表,,,,,
5,普通,,,,
,24,,,,
,金沢,,,,
,4,,,,
6,普通,普通,普通,,
,13,27,48,,
,金沢,金沢,金沢,,
,3,3,1,,
7,普通,普通,普通,普通,
,00,19,38,57,
,金沢,芦原温泉,芦原温泉,金沢,
,3,1,1,1,
8,普通,,,,
,31,,,,
,金沢,,,,
,1,,,,
9,普通,,,,
,31,,,,
,金沢,,,,
,1,,,,
10,普通,,,,
,20,,,,
,金沢,,,,
,3,,,,
11,普通,,,,
,20,,,,
,金沢,,,,
,3,,,,
12,普通,,,,
,20,,,,
,金沢,,,,
,3,,,,
13,普通,,,,
,20,,,,
,金沢,,,,
,3,,,,
14,普通,,,,
,20,,,,
,金沢,,,,
,3,,,,
15,普通,,,,
,20,,,,
,金沢,,,,
,1,,,,
16,普通,普通,,,
,20,37,,,
,金沢,芦原温泉,,,
,3,1,,,
17,普通,普通,普通,,
,20,37,51,,
,富山,芦原温泉,芦原温泉,,
,1,1,3,,
18,普通,普通,,,
,07,41,,,
,金沢,芦原温泉,,,
,3,1,,,
19,普通,普通,,,
,12,41,,,
,金沢,芦原温泉,,,
,3,3,,,
20,普通,,,,
,18,,,,
,金沢,,,,
,3,,,,
21,普通,,,,
,10,,,,
,金沢,,,,
,3,,,,
22,普通,,,,
,10,,,,
,金沢,,,,
,3,,,,
23,普通,,,,
,02,,,,
,芦原温泉,,,,
,1,,,,
