平日ダイヤ 福井駅 上り時刻表
5,普通,快速
,21,49
,敦賀,敦賀
,3,3
6,普通,普通,普通
,02,38,54
,敦賀,敦賀,武生
,4,5,4
7,快速,普通
,16,36
,敦賀,敦賀
,5,5
8,普通,普通
,00,30
,敦賀,敦賀
,5,4
9,普通,普通
,05,35
,敦賀,敦賀
,4,4
10,普通,普通
,05,35
,敦賀,敦賀
,5,4
11,普通
,05
,敦賀
,4
12,普通,普通
,05,35
,敦賀,敦賀
,4,4
13,普通
,05
,敦賀
,4
14,普通,普通
,05,35
,敦賀,敦賀
,4,4
15,普通,普通
,05,35
,敦賀,敦賀
,4,4
16,普通,普通
,05,35
,敦賀,敦賀
,5,4
17,普通,普通
,05,42
,敦賀,敦賀
,4,4
18,普通,普通,快速,普通
,09,26,48,59
,敦賀,敦賀,敦賀,敦賀
,4,5,4,5
19,普通,快速
,22,59
,敦賀,敦賀
,4,4
20,普通,普通
,28,58
,敦賀,敦賀
,4,4
21,普通
,41
,敦賀
,4
22,普通
,40
,敦賀
,4
23,普通
,22
,敦賀
,4
