平日ダイヤ 福井駅 上り時刻表,,,
5,普通,普通,
,21,50,
,敦賀,敦賀,
,4,4,
6,普通,,
,25,,
,敦賀,,
,5,,
7,快速,普通,
,16,33,
,敦賀,敦賀,
,5,5,
8,普通,普通,
,03,30,
,敦賀,敦賀,
,4,4,
9,普通,普通,
,05,35,
,敦賀,敦賀,
,4,4,
10,普通,普通,
,05,35,
,敦賀,敦賀,
,4,4,
11,普通,,
,05,,
,敦賀,,
,4,,
12,普通,普通,
,05,35,
,敦賀,敦賀,
,4,4,
13,普通,,
,05,,
,敦賀,,
,4,,
14,普通,普通,
,05,35,
,敦賀,敦賀,
,4,4,
15,普通,普通,
,05,35,
,敦賀,敦賀,
,4,4,
16,普通,普通,
,05,35,
,敦賀,敦賀,
,4,4,
17,普通,普通,
,05,35,
,敦賀,敦賀,
,4,4,
18,普通,普通,区快
,05,25,40
,敦賀,敦賀,敦賀
,4,5,4
19,普通,区快,普通
,07,27,58
,敦賀,敦賀,敦賀
,5,4,4
20,普通,普通,
,28,58,
,敦賀,敦賀,
,5,4,
21,普通,,
,42,,
,敦賀,,
,4,,
22,普通,,
,30,,
,敦賀,,
,4,,
23,普通,,
,20,,
,敦賀,,
,4,,
