平日ダイヤ 金沢駅 下り時刻表,,,,
4,普通,,,
,52,,,
,七尾,,,
,6,,,
5,普通,,,
,30,,,
,七尾,,,
,6,,,
6,普通,普通,,
,30,56,,
,七尾,七尾,,
,6,3,,
7,普通,,,
,40,,,
,七尾,,,
,6,,,
8,普通,普通,特急能登かがり火,
,12,38,58,
,七尾,高松,和倉温泉,
,6,3,5,
9,普通,,,
,53,,,
,七尾,,,
,6,,,
10,特急能登かがり火,普通,,
,0,31,,
,和倉温泉,七尾,,
,5,6,,
11,普通,,,
,31,,,
,七尾,,,
,6,,,
12,普通,特急能登かがり火,,
,31,57,,
,七尾,和倉温泉,,
,6,5,,
13,普通,,,
,31,,,
,七尾,,,
,6,,,
14,特急能登かがり火,普通,,
,0,31,,
,和倉温泉,七尾,,
,5,6,,
15,普通,,,
,22,,,
,七尾,,,
,6,,,
16,普通,,,
,19,,,
,七尾,,,
,6,,,
17,普通,普通,,
,10,35,,
,七尾,七尾,,
,5,6,,
18,特急能登かがり火,普通,普通,
,6,25,52,
,七尾,七尾,七尾,
,5,5,6,
19,普通,普通,,
,31,55,,
,七尾,七尾,,
,5,6,,
20,普通,,,
,25,,,
,七尾,,,
,7,,,
21,普通,,,
,19,,,
,七尾,,,
,6,,,
22,普通,,,
,31,,,
,七尾,,,
,5,,,
23,普通,,,
,19,,,
,高松,,,
,6,,,
