Aダイヤ 岐阜駅 下り時刻表,,,,,,
6,普通,普通,普通,,,
,5,36,50,,,
,大垣,米原,大垣,,,
,6,6,6,,,
7,新快速,区間快速,特別快速,普通,新快速,
,6,21,34,45,53,
,大垣,大垣,大垣,米原,大垣,
,6,6,6,6,6,
8,特急しらさぎ,特別快速,快速,特別快速,快速,特別快速
,10,13,23,33,42,54
,金沢,大垣,大垣,大垣,大垣,大垣
,6,6,6,6,6,6
9,特別快速,特急しらさぎ,特別快速,特別快速,新快速,快速
,6,12,28,39,52,56
,大垣,金沢,大垣,大垣,大垣,大垣
,6,6,6,6,6,6
10,特急しらさぎ,特別快速,新快速,新快速,快速,
,12,15,20,34,49,
,金沢,大垣,大垣,大垣,大垣,
,6,6,6,6,6,
11,新快速,快速,新快速,快速,,
,4,19,34,49,,
,大垣,大垣,大垣,大垣,,
,6,6,6,6,,
12,新快速,特急しらさぎ,快速,新快速,快速,
,6,12,19,34,49,
,大垣,金沢,大垣,大垣,大垣,
,6,6,6,6,6,
13,新快速,快速,新快速,快速,,
,4,19,34,49,,
,大垣,大垣,大垣,大垣,,
,6,6,6,6,,
14,新快速,特急しらさぎ,快速,新快速,快速,
,5,12,19,34,49,
,大垣,金沢,大垣,大垣,大垣,
,6,6,6,6,6,
15,新快速,快速,新快速,快速,,
,4,19,35,49,,
,大垣,大垣,大垣,大垣,,
,6,6,6,6,,
16,新快速,特急しらさぎ,快速,新快速,快速,
,5,11,19,35,49,
,大垣,金沢,大垣,大垣,大垣,
,6,6,6,6,6,
17,新快速,快速,新快速,特急ひだ36号,快速,
,5,20,35,44,51,
,大垣,大垣,大垣,大阪,米原,
,6,6,6,4,6,
18,新快速,特急しらさぎ,快速,特別快速,特別快速,快速
,5,11,21,31,46,51
,大垣,金沢,米原,大垣,米原,大垣
,6,6,6,6,6,6
19,特別快速,特別快速,快速,特別快速,快速,新快速
,2,16,21,33,46,51
,大垣,米原,大垣,大垣,米原,大垣
,6,6,6,6,6,6
20,特別快速,特急しらさぎ,快速,新快速,特別快速,新快速
,2,12,16,22,35,51
,大垣,金沢,米原,大垣,関ケ原,米原
,6,6,6,6,6,6
21,特別快速,新快速,特別快速,ホームライナー大垣,新快速,
,6,21,36,41,51,
,大垣,米原,大垣,大垣,米原,
,6,6,6,6,6,
22,特別快速,区間快速,新快速,ホームライナー大垣,区間快速,
,6,21,36,41,51,
,大垣,米原,大垣,大垣,大垣,
,6,6,6,6,6,
23,新快速,区間快速,新快速,区間快速,,
,9,21,36,53,,
,米原,大垣,大垣,関ケ原,,
,6,6,6,6,,
0,普通,新快速,普通,,,
,11,18,27,,,
,大垣,大垣,大垣,,,
,6,6,6,,,
