Bダイヤ 岐阜駅 下り時刻表,,,,,,
6,普通,普通,普通,,,
,5,36,50,,,
,大垣,米原,大垣,,,
,4,6,6,,,
7,新快速,区間快速,普通,新快速,特別快速,
,6,21,33,40,56,
,大垣,大垣,大垣,米原,大垣,
,6,6,6,6,4,
8,特急しらさぎ,新快速,特別快速,特別快速,特別快速,
,11,14,23,38,52,
,敦賀,大垣,米原,大垣,大垣,
,6,6,6,6,6,
9,新快速,特急しらさぎ,特別快速,新快速,特別快速,
,6,12,22,36,51,
,大垣,敦賀,米原,大垣,大垣,
,6,6,6,6,6,
10,新快速,特急しらさぎ,新快速,特別快速,新快速,
,6,12,20,34,49,
,大垣,敦賀,大垣,大垣,大垣,
,6,6,6,6,6,
11,特別快速,新快速,特別快速,新快速,,
,4,19,34,49,,
,大垣,大垣,大垣,大垣,,
,6,6,6,6,,
12,新快速,特急しらさぎ,快速,新快速,快速,
,6,12,19,34,49,
,大垣,敦賀,大垣,大垣,大垣,
,6,6,6,6,6,
13,新快速,快速,新快速,快速,,
,4,19,34,49,,
,大垣,大垣,大垣,大垣,,
,6,6,6,6,,
14,新快速,特急しらさぎ,快速,新快速,快速,
,5,12,19,34,49,
,大垣,敦賀,大垣,大垣,米原,
,6,6,6,6,6,
15,新快速,快速,新快速,快速,,
,4,19,35,49,,
,大垣,米原,大垣,米原,,
,6,6,6,6,,
16,新快速,特急しらさぎ,快速,新快速,快速,
,5,11,19,35,49,
,大垣,敦賀,米原,大垣,米原,
,6,6,6,6,6,
17,新快速,新快速,特別快速,特急ひだ36号,新快速,
,5,20,35,44,51,
,大垣,米原,大垣,大阪,米原,
,6,6,6,4,6,
18,特別快速,特急しらさぎ,新快速,特別快速,新快速,
,6,11,21,38,51,
,大垣,敦賀,米原,大垣,米原,
,6,6,6,6,6,
19,特別快速,新快速,特別快速,新快速,,
,5,20,35,50,,
,大垣,米原,大垣,米原,,
,6,6,6,6,,
20,特別快速,特急しらさぎ,新快速,特別快速,新快速,
,7,12,20,35,51,
,大垣,敦賀,米原,大垣,米原,
,6,6,6,6,6,
21,特別快速,新快速,特別快速,新快速,,
,6,21,36,51,,
,大垣,米原,大垣,米原,,
,6,6,6,6,,
22,特別快速,区間快速,新快速,区間快速,,
,6,21,36,51,,
,大垣,米原,大垣,大垣,,
,6,6,6,6,,
23,新快速,区間快速,新快速,区間快速,,
,9,21,36,53,,
,米原,大垣,大垣,関ケ原,,
,6,6,6,6,,
0,普通,新快速,普通,,,
,11,18,27,,,
,大垣,大垣,大垣,,,
,6,6,6,,,
