Aダイヤ 岐阜駅 下り時刻表,,,
5,普通,,
,36,,
,高山,,
,3,,
6,普通,普通,
,25,52,
,多治見,高山,
,3,3,
7,普通,普通,
,11,41,
,多治見,美濃太田,
,3,3,
8,特急ひだ,普通,普通
,5,11,32
,高山,多治見,美濃太田
,4,3,3
9,特急ひだ,普通,普通
,3,8,38
,富山,多治見,多治見
,4,3,3
10,特急ひだ,普通,普通
,11,17,45
,飛騨古川,美濃太田,多治見
,4,3,3
11,特急ひだ,普通,普通
,8,15,45
,富山,多治見,高山
,4,3,3
12,特急ひだ,普通,普通
,5,15,45
,高山,多治見,多治見
,4,3,3
13,特急ひだ,普通,普通
,8,15,45
,富山,飛騨古川,多治見
,4,3,3
14,普通,普通,
,15,45,
,美濃太田,高山,
,3,3,
15,特急ひだ,普通,普通
,8,15,45
,富山,白川口,美濃太田
,4,3,3
16,普通,特急ひだ,普通
,15,25,45
,猪谷,高山,多治見
,3,4,3
17,普通,普通,
,15,45,
,飛騨金山,多治見,
,3,3,
18,普通,特急ひだ,普通
,15,40,45
,美濃太田,高山,多治見
,3,4,3
19,普通,普通,
,15,45,
,下麻生,美濃太田,
,3,3,
20,普通,特急ひだ,普通
,16,43,46
,美濃太田,高山,多治見
,3,4,3
21,普通,普通,
,16,46,
,多治見,下呂,
,3,3,
22,普通,普通,
,16,42,
,多治見,美濃太田,
,3,3,
23,普通,普通,
,10,40,
,美濃太田,美濃太田,
,3,3,
