Aダイヤ 岐阜駅 下り時刻表,,,,,,,,,,,,,,,
5,普通,普通,普通,普通,,,,,,,,,,,
,12,33,43,54,,,,,,,,,,,
,豊橋,豊橋,豊橋/武豊,豊橋,,,,,,,,,,,
,1,1,1,1,,,,,,,,,,,
6,区間快速,普通(当駅始発),新快速,普通,新快速,普通(当駅始発),快速(当駅始発),新快速,普通,,,,,,
,3,10,19,25,38,41,48,51,56,,,,,,
,豊橋,刈谷,豊橋,豊橋,豊橋,豊橋,名古屋,豊橋,岡崎,,,,,,
,1,5,1,5,1,5,5,1,5,,,,,,
7,新快速,普通(当駅始発),ホームライナー大垣,新快速,普通(当駅始発),区間快速,普通,快速,新快速,普通(当駅始発),区間快速,普通,快速,新快速,普通(当駅始発)
,6,7,11,16,18,25,27,32,36,39,46,48,53,56,58
,豊橋,岡崎,名古屋,豊橋,岡崎,浜松,岡崎,名古屋,豊橋,豊橋,豊橋,岡崎,名古屋,豊橋,豊橋
,1,5,1,1,5,1,5,1,1,5,1,5,1,1,5
8,快速,普通,ホームライナー大垣,新快速,普通(当駅始発),特急しらさぎ,快速,普通(当駅始発),快速,特急ひだ,新快速,普通(当駅始発),,,
,6,7,11,16,18,29,31,34,44,51,54,56,,,
,名古屋,笠寺,名古屋,豊橋,岡崎,名古屋,豊橋,豊橋,大府,名古屋,豊橋,豊橋,,,
,1,5,1,1,5,1,1,5,1,2,1,5,,,
9,快速,普通(当駅始発),新快速,普通(当駅始発),快速,普通(当駅始発),新快速,普通(当駅始発),,,,,,,
,9,13,23,28,38,43,53,57,,,,,,,
,豊橋,大府,豊橋,豊橋,豊橋,大府,豊橋,豊橋,,,,,,,
,1,5,1,5,1,5,1,5,,,,,,,
10,快速,特急ひだ,普通(当駅始発),新快速,特急しらさぎ,普通(当駅始発),快速,普通(当駅始発),新快速,普通(当駅始発),,,,,
,9,11,13,23,26,28,38,43,53,58,,,,,
,豊橋,名古屋,岡崎,豊橋,名古屋,豊橋,豊橋,大府,豊橋,豊橋,,,,,
,1,2,5,1,1,5,1,5,1,5,,,,,
11,快速,普通(当駅始発),新快速,普通(当駅始発),快速,普通(当駅始発),特急ひだ,新快速,普通(当駅始発),,,,,,
,8,13,23,28,38,41,43,53,58,,,,,,
,豊橋,岡崎,豊橋,豊橋,豊橋,大府,名古屋,豊橋,豊橋,,,,,,
,1,5,1,5,1,5,2,1,5,,,,,,
12,快速,普通(当駅始発),新快速,特急しらさぎ,普通(当駅始発),快速,普通(当駅始発),新快速,普通(当駅始発),,,,,,
,8,13,23,26,28,38,43,53,58,,,,,,
,豊橋,岡崎,豊橋,名古屋,豊橋,豊橋,大府,豊橋,豊橋,,,,,,
,1,5,1,1,5,1,5,1,5,,,,,,
13,快速,普通(当駅始発),新快速,普通(当駅始発),快速,普通(当駅始発),特急ひだ,新快速,普通(当駅始発),,,,,,
,8,13,23,28,38,41,43,53,58,,,,,,
,豊橋,岡崎,豊橋,豊橋,豊橋,大府,名古屋,豊橋,豊橋,,,,,,
,1,5,1,5,1,5,2,1,5,,,,,,
14,快速,普通(当駅始発),新快速,特急しらさぎ,普通(当駅始発),快速,特急ひだ,普通(当駅始発),新快速,普通(当駅始発),,,,,
,8,13,23,26,28,38,42,44,53,58,,,,,
,豊橋,岡崎,豊橋,名古屋,豊橋,豊橋,名古屋,岡崎,豊橋,豊橋,,,,,
,1,5,1,1,5,1,2,5,1,5,,,,,
15,快速,普通(当駅始発),特別快速,普通(当駅始発),新快速,普通(当駅始発),特急ひだ,特別快速,普通(当駅始発),,,,,,
,8,13,23,28,38,41,43,53,58,,,,,,
,豊橋,岡崎,豊橋,豊橋,豊橋,岡崎,名古屋,豊橋,豊橋,,,,,,
,1,5,1,5,1,5,2,1,5,,,,,,
16,新快速,普通(当駅始発),特別快速,特急しらさぎ,普通(当駅始発),新快速,普通(当駅始発),特急ひだ,特別快速,普通(当駅始発),,,,,
,8,13,23,26,28,38,40,45,53,58,,,,,
,豊橋,岡崎,豊橋,名古屋,豊橋,豊橋,岡崎,名古屋,豊橋,豊橋,,,,,
,1,5,1,1,5,1,5,2,1,5,,,,,
17,新快速,普通(当駅始発),特別快速,特急しらさぎ,普通(当駅始発),新快速,特急ひだ,新快速,普通(当駅始発),特別快速,,,,,
,8,13,23,26,28,35,42,46,48,56,,,,,
,豊橋,岡崎,豊橋,名古屋,豊橋,豊橋,名古屋,豊橋,岡崎,豊橋,,,,,
,1,5,1,1,5,1,4,1,5,1,,,,,
18,普通(当駅始発),新快速,普通(当駅始発),特別快速,普通(当駅始発),新快速,特急ひだ,普通(当駅始発),新快速,普通(当駅始発),特別快速,,,,
,1,11,18,24,28,35,41,43,46,52,56,,,,
,豊橋,豊橋,岡崎,豊橋,豊橋,豊橋,名古屋,岡崎,豊橋,豊橋,豊橋,,,,
,5,1,5,1,5,1,2,5,1,5,1,,,,
19,新快速,普通(当駅始発),新快速,特急しらさぎ,普通(当駅始発),特別快速,普通(当駅始発),新快速(三)(幸),普通(当駅始発),,,,,,
,5,12,21,24,27,35,43,50,57,,,,,,
,豊橋,岡崎,豊橋,名古屋,豊橋,豊橋,岡崎,豊橋,豊橋,,,,,,
,1,5,1,1,5,1,5,1,5,,,,,,
20,特別快速,普通(当駅始発),新快速,普通(当駅始発),特別快速,普通(当駅始発),特急ひだ,新快速,普通(当駅始発),,,,,,
,5,12,20,27,35,39,44,50,57,,,,,,
,豊橋,岡崎,豊橋,豊橋,浜松,岡崎,名古屋,豊橋,豊橋,,,,,,
,1,4,1,5,1,5,2,1,5,,,,,,
21,特別快速,普通(当駅始発),新快速,普通(当駅始発),特急しらさぎ,特別快速,普通(当駅始発),快速,普通(当駅始発),,,,,,
,5,11,20,25,29,35,42,50,57,,,,,,
,豊橋,岡崎,豊橋,豊橋,名古屋,豊橋,岡崎,豊橋,豊橋,,,,,,
,1,5,1,2,1,1,5,1,5,,,,,,
22,新快速,普通(当駅始発),快速,普通(当駅始発),新快速,普通(当駅始発),,,,,,,,,
,5,11,21,27,35,47,,,,,,,,,
,豊橋,岡崎,豊橋,豊橋,豊橋,岡崎,,,,,,,,,
,1,2,1,4,1,4,,,,,,,,,
23,快速,普通(当駅始発),快速,普通(当駅始発),快速,普通(当駅始発),普通,,,,,,,,
,0,3,12,20,32,34,49,,,,,,,,
,豊橋,名古屋,岡崎,岡崎,豊橋,名古屋,名古屋,,,,,,,,
,1,5,1,2,1,4,1,,,,,,,,
