Bダイヤ 岐阜駅 上り時刻表,,,,,,,,,,,
5,普通,普通,普通,普通,,,,,,,
,12,34,44,54,,,,,,,
,豊橋,豊橋,豊橋/武豊,豊橋,,,,,,,
,1,1,1,1,,,,,,,
6,区間快速,普通(当駅始発),新快速,普通,新快速,普通(当駅始発),新快速,普通,,,
,03,10,19,25,36,41,51,56,,,
,豊橋,豊橋,豊橋,豊橋,豊橋,岡崎,豊橋,岡崎,,,
,1,5,1,5,1,5,1,5,,,
7,新快速,普通,新快速,普通(当駅始発),新快速,普通(当駅始発),快速,普通(当駅始発),特別快速,普通(当駅始発),
,06,12,20,23,31,33,41,43,51,57,
,豊橋,豊橋,豊橋,笠寺,豊橋,岡崎,名古屋,豊橋,浜松,岡崎,
,1,5,1,5,1,5,1,5,1,5,
8,新快速,普通(当駅始発),特別快速,普通(当駅始発),特急しらさぎ,新快速,普通(当駅始発),特急ひだ,特別快速,普通(当駅始発),快速
,06,12,21,24,29,36,43,51,53,55,59
,豊橋,豊橋,豊橋,豊橋,名古屋,豊橋,岡崎,名古屋,豊橋,豊橋,名古屋
,1,5,1,5,1,1,5,2,1,5,1
9,新快速,普通(当駅始発),特別快速,普通(当駅始発),特別快速,普通(当駅始発),新快速,普通(当駅始発),,,
,9,13,23,28,38,43,53,57,,,
,豊橋,岡崎,豊橋,豊橋,豊橋,岡崎,豊橋,豊橋,,,
,1,2,1,5,1,2,1,5,,,
10,特別快速,特急ひだ,普通(当駅始発),新快速,特急しらさぎ,普通(当駅始発),快速,普通(当駅始発),新快速,普通(当駅始発),
,08,11,13,23,26,28,38,43,53,58,
,豊橋,名古屋,岡崎,豊橋,名古屋,豊橋,豊橋,大府,豊橋,豊橋,
,1,2,5,1,1,5,1,2,1,5,
11,快速(幸),普通(当駅始発),新快速,普通(当駅始発),快速(三),普通(当駅始発),特急ひだ,新快速,普通(当駅始発),,
,08,13,23,28,38,41,43,53,58,,
,豊橋,岡崎,豊橋,豊橋,豊橋,大府,名古屋,豊橋,豊橋,,
,1,5,1,5,1,5,2,1,5,,
12,快速(幸),普通(当駅始発),新快速,特急しらさぎ,普通(当駅始発),快速(三),普通(当駅始発),新快速,普通(当駅始発),,
,08,13,23,26,28,38,43,53,58,,
,豊橋,岡崎,豊橋,名古屋,豊橋,豊橋,大府,豊橋,豊橋,,
,1,5,1,1,5,1,5,1,5,,
13,快速(幸),普通(当駅始発),新快速,普通(当駅始発),快速(三),普通(当駅始発),特急ひだ,新快速,普通(当駅始発),,
,08,13,23,28,38,41,43,53,58,,
,豊橋,岡崎,豊橋,豊橋,豊橋,大府,名古屋,豊橋,豊橋,,
,1,5,1,4,1,5,2,1,5,,
14,快速(幸),普通(当駅始発),新快速,特急しらさぎ,普通(当駅始発),快速(三),特急ひだ,普通(当駅始発),新快速(幸),普通(当駅始発),
,08,13,23,26,28,38,42,44,53,58,
,豊橋,岡崎,豊橋,名古屋,豊橋,豊橋,名古屋,岡崎,豊橋,豊橋,
,1,5,1,1,5,1,2,1,1,5,
15,特別快速,普通(当駅始発),新快速(三),普通(当駅始発),特別快速,普通(当駅始発),特急ひだ,新快速(幸),普通(当駅始発),,
,08,13,23,28,38,41,43,53,58,,
,豊橋,岡崎,豊橋,豊橋,豊橋,豊橋,名古屋,豊橋,豊橋,,
,1,5,1,5,1,5,2,1,5,,
16,特別快速,普通(当駅始発),新快速(三),特急しらさぎ,普通(当駅始発),特別快速,普通(当駅始発),特急ひだ,新快速(幸),普通(当駅始発),
,08,13,22,26,28,38,40,45,53,58,
,豊橋,岡崎,豊橋,名古屋,豊橋,豊橋,岡崎,名古屋,豊橋,豊橋,
,1,5,1,1,5,1,5,2,1,5,
17,特別快速,普通(当駅始発),新快速(三),特急しらさぎ,普通(当駅始発),特別快速,特急ひだ,普通(当駅始発),新快速(幸),普通(当駅始発),
,08,13,22,26,28,37,42,44,52,58,
,豊橋,岡崎,豊橋,名古屋,豊橋,豊橋,名古屋,岡崎,豊橋,浜松,
,1,5,1,1,5,1,2,5,1,5,
18,特別快速,普通(当駅始発),新快速(三),普通(当駅始発),特別快速,特急ひだ,普通(当駅始発),新快速(幸),普通(当駅始発),,
,07,13,22,28,37,41,43,52,57,,
,豊橋,岡崎,豊橋,豊橋,豊橋,名古屋,岡崎,豊橋,豊橋,,
,1,5,1,2,1,2,1,1,5,,
19,特別快速,普通(当駅始発),新快速,特急しらさぎ,普通(当駅始発),特別快速,普通(当駅始発),新快速,普通(当駅始発),,
,05,12,21,24,27,35,43,50,57,,
,豊橋,岡崎,豊橋,名古屋,豊橋,豊橋,岡崎,豊橋,豊橋,,
,1,5,1,1,5,1,5,1,5,,
20,特別快速,普通(当駅始発),新快速(三),普通(当駅始発),特別快速,普通(当駅始発),特急ひだ,新快速,普通(当駅始発),,
,05,12,20,27,35,39,44,50,57,,
,豊橋,岡崎,豊橋,豊橋,豊橋,岡崎,名古屋,豊橋,豊橋,,
,1,4,1,5,1,5,2,1,1,,
21,特別快速,普通(当駅始発),新快速,普通(当駅始発),特急しらさぎ,新快速,普通(当駅始発),快速,普通(当駅始発),,
,05,11,20,25,29,36,42,50,57,,
,豊橋,岡崎,豊橋,豊橋,名古屋,豊橋,岡崎,浜松,豊橋,,
,1,5,1,2,1,1,5,1,2,,
22,新快速,普通(当駅始発),快速,普通(当駅始発),新快速,普通(当駅始発),,,,,
,05,11,21,27,35,47,,,,,
,豊橋,岡崎,豊橋,豊橋,豊橋,岡崎,,,,,
,1,2,1,4,1,4,,,,,
23,快速,普通(当駅始発),快速,普通(当駅始発),快速,普通(当駅始発),普通,,,,
,00,03,12,20,32,34,49,,,,
,豊橋,名古屋,岡崎,岡崎,豊橋,名古屋,名古屋,,,,
,1,5,1,2,1,4,1,,,,
