Aダイヤ 浜松駅 下り時刻表,,,,,,
5,普通(当駅始発),普通(当駅始発),,,,
,35,56,,,,
,興津,静岡,,,,
,1,2,,,,
6,普通,普通(当駅始発),ホームライナー静岡(当駅始発),普通(当駅始発),普通(当駅始発),ホームライナー静岡(当駅始発)
,11,23,35,38,45,58
,沼津,興津,静岡,沼津,熱海,静岡
,1,3,4,1,2,2
7,普通,普通(当駅始発),普通,普通,普通(当駅始発),
,1,10,24,45,58,
,静岡,沼津,興津,熱海,興津,
,1,4,1,1,3,
8,普通(当駅始発),普通(当駅始発),普通(当駅始発),普通(当駅始発),,
,10,23,37,50,,
,沼津,興津,沼津,静岡,,
,4,2,4,4,,
9,普通,普通(当駅始発),普通(当駅始発),普通(当駅始発),普通(当駅始発),
,2,9,29,37,50,
,掛川,興津,興津,掛川,静岡,
,2,2,4,4,1,
10,普通(当駅始発),普通(当駅始発),普通(当駅始発),普通(当駅始発),,
,8,25,37,51,,
,興津,興津,掛川,興津,,
,2,2,4,2,,
11,普通(当駅始発),普通(当駅始発),普通(当駅始発),普通(当駅始発),,
,9,27,38,51,,
,興津,興津,掛川,興津,,
,3,2,1,2,,
12,普通(当駅始発),普通(当駅始発),普通(当駅始発),普通(当駅始発),,
,10,27,36,51,,
,静岡,興津,掛川,静岡,,
,4,1,4,2,,
13,普通(当駅始発),普通(当駅始発),普通(当駅始発),普通(当駅始発),,
,9,28,38,52,,
,静岡,興津,掛川,興津,,
,2,2,4,2,,
14,普通(当駅始発),普通(当駅始発),普通(当駅始発),普通(当駅始発),,
,10,27,37,49,,
,静岡,興津,掛川,静岡,,
,4,2,4,2,,
15,普通(当駅始発),普通(当駅始発),普通(当駅始発),,,
,10,28,52,,,
,熱海,興津,沼津,,,
,4,2,3,,,
16,普通(当駅始発),普通(当駅始発),普通(当駅始発),普通(当駅始発),普通(当駅始発),普通
,0,10,20,37,50,58
,掛川,熱海,熱海,熱海,熱海,掛川
,4,2,4,4,2,1
17,普通(当駅始発),普通(当駅始発),普通(当駅始発),普通(当駅始発),普通,
,11,21,31,51,59,
,静岡,熱海,熱海,三島,掛川,
,4,2,4,4,1,
18,普通(当駅始発),普通(当駅始発),普通(当駅始発),普通(当駅始発),,
,8,25,38,51,,
,熱海,興津,静岡,静岡,,
,3,2,2,4,,
19,普通(当駅始発),普通(当駅始発),ホームライナー静岡(当駅始発),普通(当駅始発),普通(当駅始発),
,2,18,32,34,54,
,三島,熱海,静岡,静岡,静岡,
,3,2,1,4,4,
20,普通(当駅始発),普通(当駅始発),普通(当駅始発),普通(当駅始発),,
,3,16,34,54,,
,掛川,三島,静岡,三島,,
,4,2,3,3,,
21,ホームライナー静岡(当駅始発),普通(当駅始発),普通(当駅始発),,,
,12,16,41,,,
,静岡,静岡,静岡,,,
,1,2,4,,,
22,普通(当駅始発),普通(当駅始発),普通(当駅始発),,,
,3,29,58,,,
,静岡,静岡,島田,,,
,4,1,4,,,
23,普通(当駅始発),普通(当駅始発),,,,
,27,50,,,,
,掛川,菊川,,,,
,2,2,,,,
