Aダイヤ 浜松駅 上り時刻表,,,,,,
5,普通(当駅始発),普通(当駅始発),,,,
,35,56,,,,
,興津,静岡,,,,
,1,2,,,,
6,普通,普通(当駅始発),普通(当駅始発),普通(当駅始発),,
,11,23,38,44,,
,沼津,興津,熱海,熱海,,
,1,2,1,2,,
7,普通,普通(当駅始発),普通,普通,普通(当駅始発),
,1,11,25,46,57,
,静岡,熱海,興津,静岡,興津,
,1,4,1,1,3,
8,普通(当駅始発),普通(当駅始発),普通(当駅始発),普通(当駅始発),,
,10,23,35,49,,
,熱海,熱海,興津,熱海,,
,4,2,4,4,,
9,普通,普通(当駅始発),普通(当駅始発),普通(当駅始発),普通(当駅始発),
,2,8,29,39,50,
,掛川,熱海,熱海,掛川,熱海,
,3,4,4,2,4,
10,普通(当駅始発),普通(当駅始発),普通(当駅始発),普通(当駅始発),,
,8,25,36,50,,
,熱海,熱海,掛川,熱海,,
,4,2,4,4,,
11,普通(当駅始発),普通(当駅始発),普通(当駅始発),普通(当駅始発),,
,8,27,36,47,,
,熱海,熱海,掛川,静岡,,
,3,4,2,4,,
12,普通(当駅始発),普通(当駅始発),普通(当駅始発),普通(当駅始発),,
,9,23,36,50,,
,熱海,熱海,掛川,熱海,,
,4,2,4,4,,
13,普通(当駅始発),普通(当駅始発),普通(当駅始発),普通(当駅始発),,
,8,27,36,49,,
,熱海,熱海,掛川,沼津,,
,4,2,4,4,,
14,普通(当駅始発),普通(当駅始発),普通(当駅始発),普通(当駅始発),,
,9,25,37,49,,
,熱海,熱海,掛川,熱海,,
,4,2,4,4,,
15,普通(当駅始発),普通(当駅始発),普通,,,
,10,29,49,,,
,熱海,熱海,沼津,,,
,4,4,2,,,
16,普通(当駅始発),普通(当駅始発),普通(当駅始発),普通(当駅始発),普通(当駅始発),普通
,0,9,21,38,53,59
,掛川,熱海,熱海,熱海,熱海,掛川
,4,4,2,4,2,1
17,普通(当駅始発),普通(当駅始発),普通(当駅始発),普通(当駅始発),,
,9,22,30,51,,
,静岡,熱海,熱海,静岡,,
,4,2,4,4,,
18,普通,普通(当駅始発),普通(当駅始発),普通(当駅始発),普通(当駅始発),
,1,8,25,37,50,
,掛川,熱海,興津,熱海,静岡,
,1,3,4,2,4,
19,普通(当駅始発),普通(当駅始発),普通(当駅始発),普通(当駅始発),,
,2,18,34,52,,
,三島,熱海,興津,静岡,,
,3,2,4,4,,
20,普通,普通(当駅始発),普通(当駅始発),普通(当駅始発),,
,4,15,34,55,,
,掛川,三島,静岡,三島,,
,1,2,3,3,,
21,普通,普通(当駅始発),,,,
,16,41,,,,
,三島,静岡,,,,
,2,2,,,,
22,普通(当駅始発),普通(当駅始発),普通(当駅始発),,,
,3,30,58,,,
,静岡,静岡,島田,,,
,1,2,2,,,
23,普通(当駅始発),普通(当駅始発),,,,
,27,50,,,,
,掛川,菊川,,,,
,2,2,,,,
