Aダイヤ 浜松駅 下り時刻表,,,,
6,新快速(当駅始発),普通,普通,
,1,23,43,
,大垣,豊橋,岐阜,
,4,4,4,
7,普通(当駅始発),普通,普通,普通
,7,20,38,55
,豊橋,岐阜,豊橋,豊橋
,3,4,4,3
8,普通(当駅始発),普通(当駅始発),普通(当駅始発),
,10,32,50,
,豊橋,豊橋,豊橋,
,3,3,3,
9,普通(当駅始発),普通(当駅始発),新快速(当駅始発),
,10,23,43,
,豊橋,豊橋,大垣,
,3,3,3,
10,普通(当駅始発),普通,普通,
,1,25,46,
,豊橋,豊橋,豊橋,
,3,3,3,
11,普通,普通(当駅始発),普通,
,2,25,46,
,豊橋,岐阜,豊橋,
,3,4,4,
12,普通(当駅始発),普通(当駅始発),普通(当駅始発),
,2,25,46,
,豊橋,豊橋,豊橋,
,3,3,3,
13,普通(当駅始発),普通(当駅始発),普通(当駅始発),
,2,25,39,
,豊橋,豊橋,豊橋,
,3,3,3,
14,普通(当駅始発),普通(当駅始発),普通,
,2,25,47,
,豊橋,豊橋,豊橋,
,3,3,4,
15,普通(当駅始発),普通(当駅始発),普通,
,2,25,45,
,豊橋,岐阜,豊橋,
,3,3,4,
16,普通(当駅始発),普通(当駅始発),普通(当駅始発),
,4,20,40,
,豊橋,豊橋,岐阜,
,3,3,3,
17,普通(当駅始発),普通(当駅始発),普通(当駅始発),
,1,25,47,
,岐阜,豊橋,豊橋,
,3,3,3,
18,普通,普通(当駅始発),普通(当駅始発),
,8,28,46,
,豊橋,豊橋,豊橋,
,4,3,3,
19,普通,普通(当駅始発),普通(当駅始発),
,13,28,48,
,豊橋,豊橋,豊橋,
,4,3,3,
20,普通(当駅始発),普通(当駅始発),,
,13,45,,
,豊橋,豊橋,,
,3,4,,
21,区間快速(当駅始発),普通,,
,19,38,,
,大垣,豊橋,,
,3,3,,
22,普通(当駅始発),普通,,
,3,32,,
,豊橋,豊橋,,
,3,4,,
23,普通(当駅始発),普通,,
,0,34,,
,豊橋,豊橋,,
,3,4,,
0,,,,
,,,,
,,,,
,,,,
1,特急サンライズ瀬戸・出雲,,,
,12,,,
,高松・出雲市,,,
,4,,,
