Aダイヤ 名古屋駅 下り時刻表,,,,,,,,,,,,,
5,普通,普通,,,,,,,,,,,
,29,40,,,,,,,,,,,
,豊橋,豊橋,,,,,,,,,,,
,3,2,,,,,,,,,,,
6,普通,普通,区間快速,普通,新快速,普通,新快速,,,,,,
,0,15,26,32,42,47,58,,,,,,
,浜松,浜松/武豊,豊橋,豊橋,豊橋,刈谷,豊橋,,,,,,
,2,2,2,3,2,3,2,,,,,,
7,普通,区間快速,普通,新快速,普通,普通,新快速,快速,普通,新快速,普通,区間快速,
,0,9,13,18,20,26,30,37,41,45,50,54,
,豊橋,武豊,豊橋,豊橋,武豊,岡崎,豊橋,大府,岡崎,豊橋,岡崎,浜松,
,3,4,2,2,3,3,2,3,2,3,2,3,
8,普通,新快速,普通,区間快速,普通,新快速,普通,普通,新快速,普通,,,
,0,5,10,15,20,25,35,42,45,50,,,
,岡崎,豊橋,豊橋,豊橋,岡崎,豊橋,豊橋,笠寺,豊橋,岡崎,,,
,2,2,3,2,2,2,2,2,3,2,,,
9,快速,普通,新快速,普通,快速,普通,新快速,普通,,,,,
,1,4,16,18,31,33,46,48,,,,,
,豊橋,豊橋,豊橋,大府,豊橋,豊橋,豊橋,大府,,,,,
,2,3,2,3,2,3,2,3,,,,,
10,快速(三),普通,新快速,普通,快速(幸),普通,新快速,普通,,,,,
,1,3,16,18,31,33,46,48,,,,,
,豊橋,豊橋,豊橋,大府,豊橋,豊橋,豊橋,岡崎,,,,,
,2,3,2,3,2,3,2,3,,,,,
11,快速(三),普通,新快速,普通,快速(幸),普通,新快速,普通,,,,,
,1,3,16,18,31,33,46,48,,,,,
,豊橋,豊橋,豊橋,大府,豊橋,豊橋,豊橋,岡崎,,,,,
,2,3,2,3,2,3,2,3,,,,,
12,快速(三),普通,新快速,普通,快速(幸),普通,新快速,普通,,,,,
,1,3,16,18,31,33,46,48,,,,,
,豊橋,豊橋,豊橋,大府,豊橋,豊橋,豊橋,岡崎,,,,,
,2,3,2,3,2,3,2,3,,,,,
13,快速(三),普通,新快速,普通,快速(幸),普通,新快速,普通,,,,,
,1,3,16,18,31,33,46,48,,,,,
,豊橋,豊橋,豊橋,大府,豊橋,豊橋,豊橋,岡崎,,,,,
,2,3,2,3,2,3,2,3,,,,,
14,快速(三),普通,新快速,普通,快速(幸),普通,新快速,普通,,,,,
,1,3,16,18,31,33,46,48,,,,,
,豊橋,豊橋,豊橋,大府,豊橋,豊橋,豊橋,岡崎,,,,,
,2,3,2,3,2,3,2,3,,,,,
15,快速(三),普通,新快速,普通,快速(幸),普通,区間快速,特別快速,普通,,,,
,1,3,16,18,31,33,43,46,48,,,,
,豊橋,豊橋,豊橋,岡崎,豊橋,豊橋,武豊,豊橋,岡崎,,,,
,2,3,2,3,2,3,4,2,3,,,,
16,新快速(三),普通,区間快速,特別快速,普通,新快速(幸),普通,区間快速,特別快速,普通,,,
,1,3,13,16,18,31,33,43,46,48,,,
,豊橋,豊橋,武豊,豊橋,岡崎,豊橋,豊橋,武豊,豊橋,岡崎,,,
,2,3,4,2,3,2,3,4,2,3,,,
17,新快速(三),普通,区間快速,特別快速,普通,新快速(幸),普通,区間快速,特別快速,普通,,,
,1,3,13,16,18,31,33,43,46,48,,,
,豊橋,豊橋,武豊,豊橋,岡崎,豊橋,豊橋,武豊,豊橋,岡崎,,,
,2,3,4,2,3,2,3,4,2,3,,,
18,新快速(三),普通,新快速(幸),区間快速,普通,特別快速,新快速(三),普通,新快速(幸),区間快速,普通,特別快速,
,0,2,10,13,17,20,30,33,40,43,47,50,
,豊橋,豊橋,豊橋,武豊,岡崎,豊橋,豊橋,浜松,豊橋,武豊,岡崎,豊橋,
,2,3,2,4,3,2,2,3,2,4,3,2,
19,新快速(三),普通,新快速(幸),区間快速,普通,特別快速,新快速(三),普通,区間快速,新快速,普通,区間快速,特別快速
,0,2,10,13,17,20,28,30,33,43,45,53,58
,豊橋,豊橋,豊橋,武豊,岡崎,豊橋,豊橋,豊橋,武豊,豊橋,岡崎,武豊,豊橋
,2,3,2,4,3,2,2,3,4,2,3,4,2
20,普通,新快速(三)(幸),普通,区間快速,特別快速,普通,新快速(三),普通,区間快速,特別快速,,,
,0,13,15,23,28,30,43,45,53,58,,,
,豊橋,豊橋,岡崎,武豊,豊橋,豊橋,豊橋,岡崎,武豊,浜松,,,
,3,2,3,4,2,3,2,3,4,2,,,
21,普通,新快速(幸),普通,区間快速,特別快速,普通,新快速,普通,区間快速,特別快速,,,
,0,13,15,23,28,30,43,45,53,58,,,
,豊橋,豊橋,岡崎,武豊,豊橋,豊橋,豊橋,岡崎,武豊,豊橋,,,
,3,2,3,4,2,3,2,3,4,2,,,
22,普通,快速,普通,新快速,普通,快速,普通,新快速,,,,,
,0,13,15,28,30,43,45,58,,,,,
,豊橋,豊橋,岡崎,豊橋,豊橋,豊橋,岡崎,豊橋,,,,,
,3,2,3,2,3,2,3,2,,,,,
23,普通,普通,快速,普通,快速,普通,,,,,,,
,0,16,28,41,57,59,,,,,,,
,豊橋,岡崎,豊橋,岡崎,豊橋,岡崎,,,,,,,
,3,3,2,2,3,2,,,,,,,
