Aダイヤ 名古屋駅 下り時刻表,,,,,,,,,,,,,
5,普通,普通,,,,,,,,,,,
,29,40,,,,,,,,,,,
,豊橋,豊橋,,,,,,,,,,,
,3,2,,,,,,,,,,,
6,普通,普通,区間快速,普通,新快速,普通,新快速,,,,,,
,0,16,26,32,42,47,58,,,,,,
,浜松,浜松･武豊,豊橋,豊橋,豊橋,豊橋,豊橋,,,,,,
,2,2,2,3,2,3,2,,,,,,
7,普通,新快速,普通,新快速,普通,新快速,普通,普通,新快速,,,,
,0,13,16,28,31,43,46,52,58,,,,
,豊橋,豊橋,岡崎,豊橋,岡崎,豊橋,豊橋,笠寺,豊橋,,,,
,3,3,2,3,2,3,2,2,3,,,,
8,普通,区間快速,特別快速,普通,新快速,普通,区間快速,特別快速,普通,,,,
,1,8,14,16,29,31,38,43,46,,,,
,岡崎,武豊,豊橋,豊橋,豊橋,岡崎,武豊,豊橋,豊橋,,,,
,2,3,3,2,3,2,3,3,2,,,,
9,快速,普通,区間快速,新快速(三),普通,快速,普通,新快速,普通,区間快速,,,
,1,3,8,16,18,31,33,46,48,58,,,
,豊橋,豊橋,武豊,豊橋,大府,豊橋,豊橋,豊橋,大府,武豊,,,
,4,2,3,3,2,2,3,2,3,4,,,
10,特別快速,普通,新快速,普通,区間快速,特別快速,普通,新快速,普通,,,,
,1,3,16,18,28,31,33,46,48,,,,
,豊橋,豊橋,豊橋,岡崎,武豊,豊橋,豊橋,豊橋,岡崎,,,,
,2,3,2,3,4,2,3,2,3,,,,
11,快速(三),普通,新快速,普通,快速(幸),普通,新快速,普通,,,,,
,1,3,16,18,31,33,46,48,,,,,
,豊橋,豊橋,豊橋,大府,豊橋,豊橋,豊橋,岡崎,,,,,
,2,3,2,3,2,3,2,3,,,,,
12,快速(三),普通,新快速,普通,快速(幸),普通,新快速,普通,,,,,
,1,3,16,18,31,33,46,48,,,,,
,豊橋,豊橋,豊橋,大府,豊橋,豊橋,豊橋,岡崎,,,,,
,2,3,2,3,2,3,2,3,,,,,
13,快速(三),普通,新快速,普通,快速(幸),普通,新快速,普通,,,,,
,1,3,16,18,31,33,46,48,,,,,
,豊橋,豊橋,豊橋,大府,豊橋,豊橋,豊橋,岡崎,,,,,
,2,3,2,3,2,3,2,3,,,,,
14,快速(三),普通,新快速,普通,快速(幸),普通,新快速,普通,,,,,
,1,3,16,18,31,33,46,48,,,,,
,豊橋,豊橋,豊橋,大府,豊橋,豊橋,豊橋,岡崎,,,,,
,2,3,2,3,2,3,2,3,,,,,
15,快速(三),普通,新快速(幸),普通,区間快速,特別快速,普通,新快速(三),普通,区間快速,,,
,1,3,16,18,25,31,33,46,48,55,,,
,浜松,豊橋,豊橋,岡崎,武豊,豊橋,豊橋,豊橋,岡崎,武豊,,,
,2,3,2,3,4,2,3,2,3,4,,,
16,特別快速,普通,新快速(幸),普通,区間快速,特別快速,普通,新快速(三),普通,区間快速,,,
,1,3,16,18,25,31,33,46,48,55,,,
,豊橋,豊橋,豊橋,豊橋,武豊,豊橋,豊橋,豊橋,岡崎,武豊,,,
,2,3,2,3,4,2,3,2,3,2,,,
17,特別快速,普通,新快速(幸),普通,区間快速,特別快速,普通,新快速(三),普通,区間快速,,,
,0,2,15,17,25,30,32,45,47,55,,,
,豊橋,豊橋,豊橋,豊橋,武豊,豊橋,豊橋,豊橋,岡崎,武豊,,,
,2,3,2,3,4,2,3,2,3,2,,,
18,特別快速,普通,新快速(幸),普通,区間快速,特別快速,普通,新快速(三),普通,区間快速,,,
,0,2,15,17,25,30,32,45,47,55,,,
,豊橋,豊橋,豊橋,豊橋,武豊,豊橋,豊橋,豊橋,岡崎,武豊,,,
,2,3,2,3,4,2,3,2,3,2,,,
19,特別快速,普通,新快速(幸),普通,区間快速,特別快速,普通,新快速,普通,区間快速,特別快速,,
,0,2,13,15,22,28,30,43,45,53,58,,
,豊橋,豊橋,豊橋,豊橋,武豊,豊橋,豊橋,豊橋,岡崎,武豊,豊橋,,
,2,3,2,3,4,2,3,2,3,2,2,,
20,普通,新快速(三)(幸),普通,区間快速,特別快速,普通,新快速(三),普通,区間快速,特別快速,,,
,0,13,15,23,28,30,43,45,53,58,,,
,豊橋,豊橋,岡崎,武豊,豊橋,豊橋,豊橋,岡崎,武豊,豊橋,,,
,3,2,3,4,2,3,2,3,4,2,,,
21,普通,新快速(幸),普通,区間快速,特別快速,普通,新快速,普通,区間快速,新快速,,,
,0,13,15,23,28,30,43,45,53,58,,,
,豊橋,豊橋,岡崎,武豊,豊橋,豊橋,豊橋,岡崎,武豊,豊橋,,,
,3,2,3,4,2,3,2,3,4,2,,,
22,普通,快速,普通,新快速,普通,快速,普通,新快速,,,,,
,0,13,15,28,30,43,45,58,,,,,
,豊橋,豊橋,岡崎,豊橋,豊橋,豊橋,岡崎,豊橋,,,,,
,3,2,3,2,3,2,3,2,,,,,
23,普通,普通,快速,普通,快速,普通,,,,,,,
,0,16,28,41,57,59,,,,,,,
,豊橋,岡崎,豊橋,岡崎,豊橋,岡崎,,,,,,,
,3,3,2,2,3,2,,,,,,,
