Aダイヤ 名古屋駅 下り時刻表,
5,普通
,37
,大垣
,5
6,普通,普通,普通,新快速,普通
,10,23,32,44,46
,米原,大垣,岐阜,大垣,岐阜
,5,5,5,5,5
7,区間快速,普通,特別快速,普通,普通,新快速,普通,特急ひだ,特急しらさぎ,特別快速,普通,快速
,00,02,12,16,22,31,36,43,50,52,54,59
,大垣,岐阜,大垣,米原,岐阜,大垣,岐阜,高山,金沢,大垣,岐阜,大垣
,6,5,5,5,5,5,5,5,5,5,5,6
8,特別快速,普通,快速,普通,特別快速,普通,特急ひだ,特別快速,特急しらさぎ,普通
,11,13,20,25,31,33,43,45,50,55
,大垣,岐阜,大垣,岐阜,大垣,岐阜,富山,大垣,金沢,岐阜
,6,5,6,5,5,5,5,5,5,5
9,特別快速,普通,特別快速,普通,新快速,快速,特急ひだ,普通,特別快速,特急しらさぎ,普通
,07,09,18,23,29,36,39,41,45,48,50
,大垣,岐阜,大垣,岐阜,大垣,大垣,飛騨古川,岐阜,大垣,金沢,岐阜
,5,5,5,5,5,6,6,5,5,5,5
10,新快速,普通,新快速,普通,快速,普通,新快速,特急ひだ,普通
,00,05,15,20,30,35,45,48,50
,大垣,岐阜,大垣,岐阜,大垣,岐阜,大垣,富山,岐阜
,5,5,5,5,6,5,5,5,5
11,快速,普通,新快速,普通,快速,普通,特急ひだ,新快速,特急しらさぎ,普通
,00,05,15,20,30,35,43,45,48,50
,大垣,岐阜,大垣,岐阜,大垣,岐阜,高山,大垣,金沢,岐阜
,6,5,5,5,6,5,5,5,5,5
12,快速,普通,新快速,普通,快速,普通,新快速,特急ひだ,普通
,00,05,15,20,30,35,45,48,50
,大垣,岐阜,大垣,岐阜,大垣,岐阜,大垣,富山,岐阜
,6,5,5,5,6,5,5,5,5
13,快速,普通,新快速,普通,快速,普通,新快速,特急しらさぎ,普通
,00,05,15,20,30,35,45,48,50
,大垣,岐阜,大垣,岐阜,大垣,岐阜,大垣,金沢,岐阜
,6,5,5,5,6,5,5,5,5
14,快速,普通,新快速,普通,快速,普通,新快速,特急ひだ,普通
,00,05,15,20,30,35,45,48,50
,大垣,岐阜,大垣,岐阜,大垣,岐阜,大垣,富山,岐阜
,6,5,5,5,6,5,5,5,5
15,快速,普通,新快速,普通,快速,普通,新快速,特急しらさぎ,普通
,00,05,15,20,30,35,45,48,50
,大垣,岐阜,大垣,岐阜,大垣,岐阜,大垣,金沢,岐阜
,6,5,5,5,6,5,5,5,5
16,快速,特急ひだ,普通,新快速,普通,快速,普通,新快速,普通
,00,03,05,15,20,30,35,45,50
,大垣,高山,岐阜,大垣,岐阜,大垣,岐阜,大垣,岐阜
,6,6,5,5,5,6,5,5,5
17,快速,普通,新快速,普通,快速,普通,新快速,特急しらさぎ,普通
,00,05,15,20,30,35,45,48,50
,大垣,岐阜,大垣,岐阜,米原,岐阜,大垣,金沢,岐阜
,6,5,5,5,6,5,5,5,5
18,快速,普通,特別快速,特急ひだ,普通,特別快速,快速,普通,特別快速,普通,特別快速
,00,02,10,12,15,20,30,32,40,45,50
,米原,岐阜,大垣,高山,岐阜,米原,大垣,岐阜,大垣,岐阜,米原
,6,5,5,5,5,5,6,5,5,5,5
19,快速,普通,特別快速,普通,快速,新快速,普通,特別快速,普通,特急しらさぎ,快速
,00,02,10,15,20,30,32,40,45,48,50
,大垣,岐阜,大垣,岐阜,米原,大垣,岐阜,大垣,岐阜,金沢,米原
,6,5,5,5,6,6,5,5,5,5,6
20,新快速,普通,特別快速,特急ひだ,普通,新快速,普通,特別快速,普通
,00,05,15,17,20,30,35,45,50
,大垣,岐阜,関ケ原,高山,岐阜,米原,岐阜,大垣,岐阜
,6,5,5,5,5,5,5,5,5
21,新快速,普通,特別快速,ホームライナー大垣,普通,新快速,普通,特別快速,普通
,00,05,15,18,20,30,35,45,50
,米原,岐阜,大垣,大垣,岐阜,米原,岐阜,大垣,岐阜
,5,5,5,5,5,5,5,5,5
22,区間快速,普通,新快速,ホームライナー大垣,普通,区間快速,普通,新快速,普通
,00,05,15,18,20,30,35,45,50
,米原,岐阜,大垣,大垣,岐阜,大垣,岐阜,米原,岐阜
,6,5,5,5,5,6,5,5,5
23,区間快速,普通,新快速,普通,区間快速,普通,新快速
,00,07,15,25,32,45,57
,大垣,岐阜,大垣,岐阜,関ケ原,大垣,大垣
,6,5,5,5,6,5,5
0,普通
,02
,大垣
,5
