Aダイヤ 名古屋駅 下り時刻表,,,,,,,,,,,
5,普通,普通,,,,,,,,,
,40,58,,,,,,,,,
,多治見,瑞浪,,,,,,,,,
,4,8,,,,,,,,,
6,普通,普通,普通,快速,普通,,,,,,
,13,23,33,43,52,,,,,,
,中津川,多治見,土岐市,中津川,多治見,,,,,,
,7,8,7,7,8,,,,,,
7,特急しなの,普通,普通,普通,普通,快速,普通,普通,,,
,0,2,11,19,27,35,43,51,,,
,長野,高蔵寺,多治見,中津川,高蔵寺,中津川,多治見,高蔵寺,,,
,10,7,8,7,8,7,7,8,,,
8,特急しなの,快速,普通,普通,普通,普通,普通,普通,普通,普通,普通
,0,2,4,8,12,16,20,26,34,43,51
,長野,中津川,高蔵寺,神領,多治見,高蔵寺,中津川,高蔵寺,中津川,神領,高蔵寺
,10,7,11,8,7,8,7,8,7,7,7
9,特急しなの,普通,普通,普通,快速,普通,普通,快速,普通,,
,0,2,9,16,24,30,36,46,52,,
,長野,多治見,高蔵寺,神領,中津川,瑞浪,高蔵寺,中津川,高蔵寺,,
,10,7,8,7,8,7,10,7,8,,
10,特急しなの,快速,普通,普通,快速,普通,普通,快速,普通,,
,0,2,9,16,24,31,37,45,52,,
,長野,瑞浪,多治見,神領,中津川,高蔵寺,多治見,中津川,高蔵寺,,
,10,8,7,8,7,8,7,8,7,,
11,特急しなの,快速,普通,普通,快速,普通,普通,快速,普通,,
,0,2,9,16,24,31,37,45,52,,
,長野,瑞浪,多治見,高蔵寺,中津川,高蔵寺,多治見,中津川,高蔵寺,,
,10,8,7,8,7,8,7,8,7,,
12,特急しなの,快速,普通,普通,快速,普通,普通,快速,普通,,
,0,2,9,16,24,31,37,45,52,,
,長野,瑞浪,多治見,高蔵寺,中津川,高蔵寺,多治見,中津川,高蔵寺,,
,10,8,7,8,7,8,7,8,7,,
13,特急しなの,快速,普通,普通,快速,普通,普通,快速,普通,,
,0,2,9,16,24,31,37,45,52,,
,長野,瑞浪,多治見,高蔵寺,中津川,高蔵寺,多治見,中津川,高蔵寺,,
,10,8,7,8,7,11,7,8,11,,
14,特急しなの,快速,普通,普通,快速,普通,普通,快速,普通,,
,0,2,9,16,24,31,37,45,52,,
,長野,瑞浪,多治見,高蔵寺,中津川,高蔵寺,多治見,中津川,高蔵寺,,
,10,8,7,8,7,8,7,8,7,,
15,特急しなの,快速,普通,普通,快速,普通,普通,快速,普通,,
,0,2,9,16,24,31,37,45,52,,
,長野,瑞浪,多治見,高蔵寺,中津川,高蔵寺,多治見,中津川,高蔵寺,,
,10,8,7,8,7,8,10,7,8,,
16,特急しなの,快速,普通,普通,快速,普通,普通,快速,普通,,
,0,2,9,16,24,31,38,45,52,,
,長野,瑞浪,瑞浪,高蔵寺,中津川,多治見,高蔵寺,中津川,高蔵寺,,
,10,7,8,10,8,7,8,7,8,,
17,普通,快速,普通,普通,快速,普通,特急しなの,普通,快速,普通,ﾎｰﾑﾗｲﾅｰ瑞浪1号
,1,7,13,20,26,33,40,42,48,53,57
,瀬戸口,中津川,多治見,高蔵寺,中津川,多治見,長野,高蔵寺,中津川,多治見,瑞浪
,7,11,8,7,8,7,10,8,7,8,10
18,普通,快速,普通,普通,快速,普通,特急しなの,普通,快速,普通,
,1,7,13,19,26,33,40,42,48,53,
,瀬戸口,中津川,多治見,高蔵寺,中津川,多治見,長野,高蔵寺,中津川,多治見,
,7,8,7,8,7,8,10,7,8,7,
19,普通,快速,普通,普通,快速,普通,特急しなの,普通,快速,普通,
,1,7,13,19,26,33,40,42,48,53,
,瀬戸口,中津川,多治見,高蔵寺,中津川,多治見,長野,高蔵寺,中津川,多治見,
,8,7,8,7,8,7,10,8,7,8,
20,普通,快速,普通,普通,快速,普通,ﾎｰﾑﾗｲﾅｰ瑞浪3号,普通,快速,普通,
,1,7,13,19,26,33,38,42,48,53,
,瀬戸口,中津川,多治見,高蔵寺,中津川,多治見,瑞浪,高蔵寺,中津川,多治見,
,10,7,8,7,8,7,10,8,7,8,
21,普通,快速,普通,普通,普通,快速,普通,普通,,,
,1,7,13,19,26,37,44,52,,,
,高蔵寺,中津川,瑞浪,高蔵寺,多治見,中津川,高蔵寺,土岐市,,,
,7,8,10,7,8,8,7,8,,,
22,普通,快速,普通,普通,快速,普通,普通,,,,
,1,7,16,26,37,46,56,,,,
,高蔵寺,中津川,瑞浪,多治見,中津川,高蔵寺,土岐市,,,,
,7,8,7,7,7,8,7,,,,
23,快速,普通,普通,普通,普通,,,,,,
,7,19,31,43,57,,,,,,
,中津川,多治見,瑞浪,多治見,瑞浪,,,,,,
,7,8,7,8,7,,,,,,
0,普通,,,,,,,,,,
,5,,,,,,,,,,
,高蔵寺,,,,,,,,,,
,8,,,,,,,,,,
