Aダイヤ 名古屋駅 下り時刻表,,,,,,
5,普通,,,,,
,40,,,,,
,亀山,,,,,
,11,,,,,
6,普通,普通,,,,
,11,33,,,,
,亀山,亀山,,,,
,13,12,,,,
7,普通,普通,普通,普通,,
,4,20,27,43,,
,亀山,桑名,亀山,四日市,,
,12,12,13,13,,
8,特急南紀,普通,普通,快速みえ,普通,
,2,9,27,37,45,
,紀伊勝浦,四日市,亀山,鳥羽,四日市,
,12,13,12,12,13,
9,快速,普通,快速みえ,普通,,
,5,11,37,46,,
,亀山,桑名,鳥羽,四日市,,
,12,12,12,13,,
10,特急南紀,快速,普通,快速みえ,普通,
,1,7,13,37,45,
,紀伊勝浦,亀山,四日市,鳥羽,四日市,
,12,13,12,13,12,
11,快速,普通,快速みえ,普通,,
,5,14,37,46,,
,亀山,四日市,鳥羽,四日市,,
,13,13,13,13,,
12,快速,普通,快速みえ,普通,特急南紀,
,6,15,37,46,58,
,亀山,四日市,鳥羽,四日市,紀伊勝浦,
,13,13,12,13,12,
13,快速,普通,快速みえ,普通,,
,7,16,37,43,,
,亀山,四日市,鳥羽,四日市,,
,12,13,12,13,,
14,快速,普通,快速みえ,普通,,
,6,16,37,45,,
,亀山,四日市,鳥羽,四日市,,
,12,13,12,13,,
15,快速,普通,快速みえ,普通,普通,
,3,16,37,44,59,
,亀山,四日市,鳥羽,四日市,桑名,
,12,13,12,12,13,
16,快速,普通,快速みえ,普通,普通,
,13,22,37,48,53,
,亀山,亀山,鳥羽,亀山,桑名,
,13,13,13,10,12,
17,快速,普通,快速みえ,普通,普通,
,13,22,37,40,53,
,亀山,亀山,伊勢市,亀山,桑名,
,12,12,13,12,12,
18,普通,普通,快速みえ,普通,普通,
,2,22,35,42,50,
,亀山,亀山,伊勢市,亀山,桑名,
,13,11,13,12,10,
19,区間快速,普通,快速みえ,普通,特急南紀,普通
,4,18,33,35,45,49
,亀山,亀山,伊勢市,桑名,新宮,四日市
,13,13,13,12,12,13
20,区間快速,普通,快速みえ,普通,普通,
,4,17,33,45,58,
,亀山,亀山,伊勢市,四日市,桑名,
,12,12,13,12,11,
21,区間快速,普通,普通,区間快速,,
,6,24,41,54,,
,亀山,四日市,桑名,亀山,,
,12,13,13,12,,
22,普通,普通,区間快速,普通,,
,4,22,35,48,,
,四日市,桑名,亀山,桑名,,
,13,12,13,12,,
23,普通,普通,普通,普通,,
,11,25,40,57,,
,亀山,桑名,亀山,四日市,,
,11,11,11,13,,
