Aダイヤ 沼津駅 下り時刻表,,,,,
4,普通(当駅始発),,,,
,56,,,,
,静岡,,,,
,2,,,,
5,普通,,,,
,39,,,,
,浜松,,,,
,2,,,,
6,普通,普通(当駅始発),普通,普通,ホームライナー静岡(当駅始発)
,0,26,37,45,54
,浜松,浜松,島田,浜松,静岡
,1,2,2,2,1
7,普通,普通,普通,普通,普通
,9,18,35,44,57
,浜松,浜松,静岡,浜松,豊橋
,2,2,2,1,1
8,普通,普通,普通,普通(当駅始発),
,9,26,44,55,
,静岡,静岡,豊橋,島田,
,2,1,2,2,
9,普通(当駅始発),普通,普通,普通,
,12,33,45,57,
,島田,島田,富士,島田,
,4,2,2,2,
10,普通,普通,普通,,
,19,36,52,,
,静岡,静岡,島田,,
,1,1,1,,
11,普通,普通,普通,,
,14,37,57,,
,島田,静岡,静岡,,
,2,2,2,,
12,普通,普通,普通,,
,17,36,54,,
,静岡,島田,島田,,
,1,2,1,,
13,普通,普通(当駅始発),普通(当駅始発),普通,
,7,16,37,52,
,富士,豊橋,静岡,島田,
,1,2,2,2,
14,普通,普通,普通,,
,15,36,57,,
,島田,浜松,浜松,,
,2,2,1,,
15,普通,普通,普通,普通,
,14,32,45,58,
,島田,静岡,浜松,浜松,
,2,2,2,2,
16,普通,普通,普通,,
,18,37,52,,
,島田,浜松,浜松,,
,1,2,2,,
17,普通,普通,普通,普通,普通
,4,21,33,46,58
,島田,浜松,浜松,浜松,島田
,2,2,2,2,2
18,普通,普通(当駅始発),ホームライナー浜松(当駅始発),普通,普通(当駅始発)
,12,23,31,43,53
,浜松,静岡,浜松,浜松,浜松
,1,1,2,1,2
19,普通,普通,ホームライナー浜松(当駅始発),普通,普通
,2,15,25,35,51
,島田,豊橋,浜松,静岡,島田
,2,1,2,2,1
20,普通,普通,ホームライナー静岡(当駅始発),普通,
,13,29,47,49,
,豊橋,島田,静岡,浜松,
,1,2,2,1,
21,普通,普通(当駅始発),普通,,
,9,34,56,,
,島田,静岡,静岡,,
,2,1,2,,
22,普通(当駅始発),普通,,,
,23,58,,,
,静岡,富士,,,
,1,2,,,
23,普通,特急サンライズ瀬戸 出雲,,,
,17,39,,,
,静岡,高松・出雲市,,,
,2,2,,,
