Aダイヤ 沼津駅 下り時刻表,,,,,
4,普通(当駅始発),,,,
,56,,,,
,静岡,,,,
,2,,,,
5,普通,,,,
,38,,,,
,浜松,,,,
,2,,,,
6,普通,普通(当駅始発),普通(当駅始発),,
,0,24,49,,
,浜松,浜松,浜松,,
,1,2,1,,
7,普通,普通,普通,普通,普通
,7,19,34,43,55
,浜松,浜松,静岡,浜松,島田
,2,2,2,1,1
8,普通,普通,普通,普通(当駅始発),
,8,25,44,56,
,静岡,浜松,豊橋,島田,
,2,1,2,2,
9,普通,普通,普通,普通,
,12,33,42,57,
,浜松,浜松,富士,浜松,
,1,1,2,2,
10,普通,普通,普通,,
,19,36,50,,
,浜松,浜松,浜松,,
,2,2,2,,
11,普通,普通,普通,,
,12,36,56,,
,浜松,浜松,浜松,,
,2,2,2,,
12,普通,普通,普通,,
,16,33,52,,
,浜松,浜松,浜松,,
,1,2,2,,
13,普通,普通,普通,普通,
,7,16,35,50,
,富士,浜松,浜松,浜松,
,2,2,2,2,
14,普通,普通,普通,,
,15,35,57,,
,浜松,静岡,浜松,,
,2,2,1,,
15,普通,普通,普通,普通,
,13,31,43,56,
,島田,静岡,浜松,浜松,
,2,2,2,2,
16,普通,普通,普通,,
,18,37,49,,
,島田,浜松,浜松,,
,1,2,2,,
17,普通,普通,普通,普通,普通
,1,21,34,46,57
,島田,浜松,浜松,島田,島田
,2,2,2,2,2
18,普通,普通(当駅始発),普通,普通(当駅始発),
,10,30,40,52,
,浜松,静岡,浜松,静岡,
,2,2,1,1,
19,普通(当駅始発),普通,普通,普通,
,2,18,34,47,
,島田,浜松,静岡,浜松,
,2,1,2,2,
20,普通,普通,普通,,
,4,27,48,,
,浜松,島田,浜松,,
,2,2,1,,
21,普通,普通(当駅始発),普通,,
,6,33,55,,
,浜松,s,静岡,,
,2,1,2,,
22,普通,,,,
,23,,,,
,静岡,,,,
,2,,,,
23,普通(当駅始発),特急サンライズ瀬戸 出雲,普通,,
,0,16,18,,
,富士,高松・出雲市,静岡,,
,1,2,1,,
