Aダイヤ 沼津駅 下り時刻表,,,,,,,
4,普通(当駅始発),,,,,,
,55,,,,,,
,熱海,,,,,,
,3,,,,,,
5,普通(当駅始発),特急サンライズ瀬戸出雲,普通(当駅始発),,,,
,17,26,52,,,,
,熱海,東京,小金井,,,,
,3,4,6,,,,
6,普通,普通(当駅始発),普通,普通(当駅始発),普通(当駅始発),普通,
,1,6,20,32,44,53,
,三島,宇都宮,熱海,上野,熱海,三島,
,3,6,4,6,4,4,
7,普通(当駅始発),普通,普通,普通(当駅始発),普通,普通(当駅始発),普通
,0,12,22,35,38,47,56
,上野,三島,熱海,小金井,三島,熱海,熱海
,6,3,4,3,4,3,4
8,普通,普通(当駅始発),普通,普通,普通,,
,4,29,40,47,59,,
,三島,小田原,熱海,三島,熱海,,
,4,3,4,4,3,,
9,普通,普通(当駅始発),普通,普通,,,
,11,31,35,45,,,
,熱海,熱海,三島,熱海,,,
,4,4,6,4,,,
10,普通,普通(当駅始発),普通,普通,普通,,
,5,11,24,40,48,,
,熱海,三島,熱海,熱海,三島,,
,4,3,4,4,4,,
11,普通,普通(当駅始発),普通,普通,普通(当駅始発),,
,7,12,25,41,50,,
,熱海,三島,熱海,熱海,三島,,
,4,3,4,4,3,,
12,普通,普通,普通(当駅始発),普通,普通(当駅始発),,
,2,21,29,45,50,,
,熱海,熱海,三島,熱海,三島,,
,4,4,3,4,3,,
13,普通,普通,普通,普通,,,
,5,24,33,44,,,
,熱海,熱海,三島,熱海,,,
,4,4,4,3,,,
14,普通,普通(当駅始発),普通,普通,普通,,
,4,12,29,41,49,,
,熱海,三島,熱海,三島,熱海,,
,4,3,3,4,3,,
15,普通(当駅始発),普通,普通,普通(当駅始発),普通,,
,7,14,27,41,49,,
,三島,熱海,熱海,三島,熱海,,
,3,4,4,4,3,,
16,普通,普通,普通(当駅始発),普通,普通,,
,9,22,29,42,48,,
,熱海,熱海,三島,熱海,三島,,
,4,4,3,4,4,,
17,普通,普通(当駅始発),普通,普通,普通,,
,1,14,25,41,57,,
,熱海,三島,熱海,熱海,熱海,,
,4,3,4,4,4,,
18,普通(当駅始発),普通,普通,普通,普通,,
,10,23,38,45,55,,
,熱海,熱海,三島,熱海,熱海,,
,3,4,6,3,4,,
19,普通(当駅始発),普通,普通,普通,普通,,
,3,13,33,45,55,,
,熱海,熱海,熱海,三島,熱海,,
,3,6,4,6,4,,
20,普通,普通,普通,普通(当駅始発),,,
,11,18,33,40,,,
,三島,熱海,三島,国府津,,,
,3,4,3,4,,,
21,普通,普通,普通,普通,,,
,5,20,32,47,,,
,熱海,三島,熱海,三島,,,
,6,4,4,4,,,
22,普通,普通,,,,,
,10,34,,,,,
,熱海,三島,,,,,
,4,6,,,,,
23,普通,普通,,,,,
,9,36,,,,,
,三島,三島,,,,,
,4,4,,,,,
