Aダイヤ 沼津駅 下り時刻表,,
5,普通(当駅始発),
,59,
,国府津,
,5,
6,普通(当駅始発),普通
,26,51
,国府津,国府津
,5,3
7,普通,普通(当駅始発)
,11,45
,御殿場,国府津
,6,5
8,普通(当駅始発),普通(当駅始発)
,8,48
,御殿場,国府津
,5,6
9,普通(当駅始発),普通(当駅始発)
,14,47
,御殿場,国府津
,5,6
10,普通(当駅始発),普通(当駅始発)
,11,49
,御殿場,国府津
,5,5
11,普通(当駅始発),普通(当駅始発)
,16,49
,御殿場,国府津
,5,5
12,普通(当駅始発),普通(当駅始発)
,18,49
,御殿場,国府津
,5,5
13,普通(当駅始発),
,29,
,国府津,
,5,
14,普通(当駅始発),普通(当駅始発)
,5,33
,御殿場,国府津
,6,5
15,普通(当駅始発),普通(当駅始発)
,5,34
,国府津,国府津
,6,5
16,普通(当駅始発),普通
,0,30
,御殿場,国府津
,6,3
17,普通(当駅始発),普通(当駅始発)
,2,44
,国府津,国府津
,5,5
18,普通(当駅始発),普通(当駅始発)
,20,50
,国府津,御殿場
,6,5
19,普通,普通(当駅始発)
,19,51
,国府津,御殿場
,3,5
20,普通,普通
,20,44
,国府津,御殿場
,3,3
21,普通,普通(当駅始発)
,12,49
,国府津,国府津
,3,5
22,普通,
,25,
,御殿場,
,3,
23,普通,
,19,
,御殿場,
,6,
