Aダイヤ 大垣駅 下り時刻表,,,,,,
5,普通(当駅始発),普通(当駅始発),,,,
,23,53,,,,
,米原,米原,,,,
,1,1,,,,
6,普通(当駅始発),普通(当駅始発),普通,,,
,20,29,52,,,
,米原,美濃赤坂,米原,,,
,2,3,2,,,
7,普通(当駅始発),普通(当駅始発),普通(当駅始発),,,
,21,25,41,,,
,美濃赤坂,米原,美濃赤坂,,,
,3,2,3,,,
8,普通(当駅始発),普通,特急しらさぎ,普通(当駅始発),普通(当駅始発),
,6,9,21,33,41,
,美濃赤坂,米原,金沢,美濃赤坂,米原,
,3,1,2,3,1,
9,普通(当駅始発),特急しらさぎ,普通(当駅始発),普通(当駅始発),,
,10,21,30,43,,
,米原,金沢,美濃赤坂,米原,,
,1,2,3,1,,
10,普通(当駅始発),特急しらさぎ,普通(当駅始発),普通(当駅始発),,
,11,21,38,42,,
,米原,金沢,美濃赤坂,米原,,
,2,2,3,1,,
11,普通(当駅始発),普通(当駅始発),,,,
,12,42,,,,
,米原,米原,,,,
,2,1,,,,
12,普通(当駅始発),特急しらさぎ,普通(当駅始発),普通(当駅始発),,
,11,22,42,52,,
,米原,金沢,米原,美濃赤坂,,
,1,2,1,3,,
13,普通(当駅始発),普通(当駅始発),,,,
,12,42,,,,
,米原,米原,,,,
,1,1,,,,
14,普通(当駅始発),特急しらさぎ,普通(当駅始発),,,
,10,22,41,,,
,米原,金沢,米原,,,
,1,2,1,,,
15,普通(当駅始発),普通(当駅始発),普通(当駅始発),,,
,9,37,53,,,
,米原,米原,美濃赤坂,,,
,1,2,3,,,
16,普通(当駅始発),特急しらさぎ,普通(当駅始発),普通(当駅始発),,
,9,22,37,40,,
,米原,金沢,米原,美濃赤坂,,
,2,2,1,3,,
17,普通(当駅始発),普通(当駅始発),普通(当駅始発),特急ひだ,,
,9,30,37,54,,
,米原,美濃赤坂,米原,大阪,,
,1,3,2,2,,
18,快速,普通(当駅始発),特急しらさぎ,快速,普通(当駅始発),特別快速
,4,8,22,34,47,59
,米原,美濃赤坂,金沢,米原,美濃赤坂,米原
,2,3,2,2,3,2
19,普通(当駅始発),特別快速,普通(当駅始発),快速,,
,21,29,50,59,,
,美濃赤坂,米原,美濃赤坂,米原,,
,3,2,3,2,,
20,特急しらさぎ,快速,普通(当駅始発),特別快速,,
,21,30,40,48,,
,金沢,米原,美濃赤坂,関ケ原,,
,2,2,3,2,,
21,新快速,新快速,普通(当駅始発),,,
,4,34,51,,,
,米原,米原,美濃赤坂,,,
,2,2,3,,,
22,新快速,区間快速,,,,
,4,34,,,,
,米原,米原,,,,
,2,2,,,,
23,普通(当駅始発),新快速,,,,
,9,25,,,,
,美濃赤坂,米原,,,,
,2,2,,,,
0,区間快速,,,,,
,7,,,,,
,関ケ原,,,,,
,2,,,,,
