Aダイヤ 大垣駅 上り時刻表,,,,,,,,,,,,
5,普通(当駅始発),普通(当駅始発),普通(当駅始発),普通(当駅始発),区間快速(当駅始発),,,,,,,
,0,21,31,42,51,,,,,,,
,豊橋,豊橋,豊橋/武豊,豊橋,豊橋,,,,,,,
,5,5,5,4,4,,,,,,,
6,新快速,普通(当駅始発),新快速(当駅始発),新快速,普通(当駅始発),新快速(当駅始発),,,,,,
,7,13,24,38,44,54,,,,,,
,豊橋,豊橋,豊橋,豊橋,岡崎,豊橋,,,,,,
,4,5,5,4,1,5,,,,,,
7,普通(当駅始発),新快速,新快速(当駅始発),快速(当駅始発),特別快速,新快速,,,,,,
,0,8,19,29,39,54,,,,,,
,豊橋,豊橋,豊橋,名古屋,浜松,豊橋,,,,,,
,4,4,4,1,4,4,,,,,,
8,新快速,特急しらさぎ,新快速,特別快速(当駅始発),快速(当駅始発),新快速,,,,,,
,2,18,23,40,47,58,,,,,,
,豊橋,名古屋,豊橋,豊橋,名古屋,豊橋,,,,,,
,4,4,5,5,5,4,,,,,,
9,特別快速(当駅始発),特別快速(当駅始発),新快速(当駅始発),特急ひだ25号,特別快速,,,,,,,
,11,26,41,47,56,,,,,,,
,豊橋,豊橋,豊橋,高山,豊橋,,,,,,,
,5,1,5,4,4,,,,,,,
10,新快速(当駅始発),特急しらさぎ,快速(当駅始発),新快速(当駅始発),快速(当駅始発),,,,,,,
,11,17,26,41,56,,,,,,,
,豊橋,名古屋,豊橋,豊橋,豊橋,,,,,,,
,1,4,5,1,5,,,,,,,
11,新快速,快速(当駅始発),新快速(当駅始発),快速(当駅始発),,,,,,,,
,11,26,41,56,,,,,,,,
,豊橋,豊橋,豊橋,豊橋,,,,,,,,
,4,5,5,5,,,,,,,,
12,新快速(当駅始発),特急しらさぎ,快速(当駅始発),新快速(当駅始発),快速(当駅始発),,,,,,,
,11,17,26,41,56,,,,,,,
,豊橋,名古屋,豊橋,豊橋,豊橋,,,,,,,
,5,4,1,5,1,,,,,,,
13,新快速(当駅始発),快速(当駅始発)(三),新快速(当駅始発),快速(当駅始発),,,,,,,,
,11,26,41,56,,,,,,,,
,豊橋,豊橋,豊橋,豊橋,,,,,,,,
,5,1,5,1,,,,,,,,
14,新快速(当駅始発),特急しらさぎ,快速(当駅始発),新快速(当駅始発),特別快速(当駅始発),,,,,,,
,11,17,26,41,56,,,,,,,
,豊橋,名古屋,豊橋,豊橋,豊橋,,,,,,,
,5,4,5,5,5,,,,,,,
15,新快速(当駅始発),特別快速(当駅始発),新快速(当駅始発),特別快速(当駅始発),,,,,,,,
,11,26,41,56,,,,,,,,
,豊橋,豊橋,豊橋,豊橋,,,,,,,,
,1,5,1,4,,,,,,,,
16,新快速(当駅始発),特急しらさぎ,特別快速(当駅始発),新快速(当駅始発),特別快速(当駅始発),,,,,,,
,10,17,26,41,56,,,,,,,
,豊橋,名古屋,豊橋,豊橋,豊橋,,,,,,,
,1,4,1,5,5,,,,,,,
17,新快速,特急しらさぎ,特別快速(当駅始発),新快速,特別快速(当駅始発),,,,,,,
,10,17,25,40,55,,,,,,,
,豊橋,名古屋,豊橋,豊橋,豊橋,,,,,,,
,4,4,1,4,1,,,,,,,
18,新快速,特別快速,新快速(当駅始発),特別快速,,,,,,,,
,10,25,40,53,,,,,,,,
,豊橋,豊橋,豊橋,豊橋,,,,,,,,
,4,4,1,4,,,,,,,,
19,新快速(当駅始発),特急しらさぎ,特別快速,新快速,特別快速(当駅始発),,,,,,,
,8,15,23,38,53,,,,,,,
,豊橋,名古屋,豊橋,豊橋,豊橋,,,,,,,
,1,4,4,4,1,,,,,,,
20,新快速,特別快速(当駅始発),新快速,特別快速(当駅始発),,,,,,,,
,8,23,38,53,,,,,,,,
,豊橋,浜松,豊橋,豊橋,,,,,,,,
,4,5,4,1,,,,,,,,
21,新快速,特急しらさぎ,新快速(当駅始発),快速,新快速(当駅始発),,,,,,,
,8,20,23,38,53,,,,,,,
,豊橋,名古屋,豊橋,浜松,豊橋,,,,,,,
,4,4,1,4,1,,,,,,,
22,快速,新快速(当駅始発),快速,快速(当駅始発),,,,,,,,
,8,23,48,58,,,,,,,,
,豊橋,豊橋,豊橋,岡崎,,,,,,,,
,5,5,4,4,,,,,,,,
23,快速,普通(当駅始発),,,,,,,,,,
,17,36,,,,,,,,,,
,豊橋,名古屋,,,,,,,,,,
,4,4,,,,,,,,,,
