Aダイヤ 静岡駅 下り時刻表,,,,,,,
4,特急サンライズ出雲,,,,,,
,40,,,,,,
,東京,,,,,,
,1,,,,,,
5,普通(当駅始発),普通(当駅始発),普通(当駅始発),,,,
,1,26,55,,,,
,沼津,熱海,三島,,,,
,2,2,1,,,,
6,普通,普通,,,,,
,26,38,,,,,
,熱海,三島,,,,,
,1,1,,,,,
7,普通,普通,普通,普通,普通,,
,6,24,37,50,57,,
,三島,沼津,熱海,三島,熱海,,
,2,1,2,1,1,,
8,普通,特急ふじかわ(当駅始発),普通,普通,普通,普通,
,7,17,22,35,43,52,
,熱海,甲府,興津,熱海,興津,熱海,
,2,2,2,1,1,1,
9,普通,普通,普通,普通(当駅始発),普通,特急ふじかわ(当駅始発),普通
,7,13,26,32,38,45,52
,熱海,興津,熱海,興津,熱海,甲府,興津
,1,1,1,1,1,2,1
10,普通,普通,普通,普通,普通,普通,
,4,14,23,37,42,55,
,熱海,興津,熱海,興津,熱海,興津,
,1,1,1,2,1,1,
11,普通,普通(当駅始発),普通,普通,普通,特急ふじかわ(当駅始発),普通(当駅始発)
,6,13,24,31,39,45,54
,熱海,興津,熱海,興津,熱海,甲府,興津
,1,2,1,1,1,2,1
12,普通,普通,普通,普通,普通,普通,
,4,13,22,32,43,54,
,熱海,興津,熱海,興津,熱海,興津,
,1,1,1,1,1,1,
13,普通(当駅始発),普通,普通,普通,普通,特急ふじかわ(当駅始発),普通
,2,14,23,33,38,45,52
,熱海,興津,熱海,興津,熱海,甲府,興津
,2,1,1,1,1,2,1
14,普通,普通,普通,普通,普通,普通,
,5,13,23,33,42,53,
,熱海,興津,熱海,興津,熱海,興津,
,1,1,1,1,1,1,
15,普通,普通(当駅始発),普通,普通,普通,特急ふじかわ(当駅始発),普通
,3,12,23,32,38,45,52
,沼津,熱海,熱海,興津,熱海,甲府,三島
,1,2,1,1,1,2,1
16,普通,普通,普通,普通,普通,,
,3,18,30,38,43,,
,熱海,興津,熱海,興津,熱海,,
,1,1,1,1,1,,
17,普通,普通,普通,普通,特急ふじかわ(当駅始発),普通,
,0,10,24,34,45,55,
,熱海,沼津,熱海,熱海,甲府,熱海,
,1,1,1,1,2,1,
18,普通,普通,普通,普通,,,
,8,24,37,52,,,
,熱海,沼津,熱海,熱海,,,
,2,1,1,2,,,
19,普通(当駅始発),普通,普通(当駅始発),特急ふじかわ(当駅始発),普通,,
,7,23,33,45,47,,
,三島,熱海,三島,甲府,興津,,
,2,1,1,2,1,,
20,普通,普通,普通,普通(当駅始発),,,
,4,22,36,52,,,
,熱海,三島,熱海,三島,,,
,1,1,1,2,,,
21,普通,普通(当駅始発),普通,普通(当駅始発),,,
,0,14,38,55,,,
,興津,熱海,三島,沼津,,,
,1,2,1,1,,,
22,普通,普通(当駅始発),普通,,,,
,12,25,42,,,,
,三島,興津,三島,,,,
,1,1,1,,,,
23,普通(当駅始発),普通(当駅始発),,,,,
,17,44,,,,,
,沼津,沼津,,,,,
,1,1,,,,,
