Aダイヤ 静岡駅 下り時刻表,,,,,,,
5,普通(当駅始発),普通(当駅始発),普通(当駅始発),,,,
,0,28,53,,,,
,浜松,豊橋,浜松,,,,
,3,3,3,,,,
6,普通(当駅始発),普通(当駅始発),普通,普通,,,
,21,35,48,59,,,
,浜松,浜松,浜松,浜松,,,
,3,4,3,4,,,
7,普通,普通(当駅始発),普通,普通,普通,普通,
,8,18,28,39,49,58,
,浜松,島田,浜松,島田,浜松,島田,
,4,3,4,4,4,4,
8,普通,普通,普通,普通,普通,,
,6,18,31,45,57,,
,浜松,浜松,浜松,浜松,島田,,
,4,4,4,4,4,,
9,普通(当駅始発),普通,普通,普通,普通,,
,6,23,30,41,52,,
,浜松,浜松,島田,浜松,島田,,
,3,4,4,4,4,,
10,普通,普通,普通,普通,普通,普通,
,1,10,20,30,43,54,
,島田,浜松,島田,浜松,島田,浜松,
,4,4,4,4,4,4,
11,普通,普通,普通,普通,普通,普通,
,5,17,23,33,41,49,
,島田,浜松,島田,浜松,島田,浜松,
,4,4,4,4,4,4,
12,普通,普通,普通,普通,普通,普通,
,1,10,21,33,42,53,
,島田,浜松,島田,浜松,島田,浜松,
,4,4,4,4,4,4,
13,普通,普通,普通,普通,普通,普通,
,4,14,23,31,41,50,
,島田,浜松,島田,浜松,島田,浜松,
,4,4,4,4,4,4,
14,普通,普通,普通,普通,普通,普通,
,3,18,23,31,41,51,
,島田,浜松,島田,豊橋,島田,浜松,
,4,4,4,4,4,4,
15,普通,普通,普通(当駅始発),普通,普通,,
,2,12,23,32,47,,
,島田,浜松,島田,浜松,島田,,
,4,4,3,4,4,,
16,普通,普通(当駅始発),普通,普通,普通,,
,0,11,22,32,45,,
,浜松,浜松,島田,浜松,浜松,,
,4,4,3,4,3,,
17,普通,普通,普通,普通,普通,普通,
,0,15,19,27,38,49,
,浜松,島田,浜松,浜松,浜松,浜松,
,3,4,3,4,4,4,
18,普通,普通(当駅始発),ホームライナー浜松(当駅始発),普通,普通,普通,普通(当駅始発)
,0,6,12,20,31,42,47
,島田,浜松,浜松,浜松,浜松,島田,浜松
,4,3,4,4,4,4,3
19,普通,ホームライナー浜松,普通,普通(当駅始発),普通,普通(当駅始発),
,0,13,15,27,37,51,
,島田,浜松,浜松,浜松,浜松,浜松,
,4,4,3,3,4,3,
20,ホームライナー浜松,普通,普通,普通,普通,,
,7,9,19,34,44,,
,浜松,島田,浜松,浜松,浜松,,
,4,3,4,4,4,,
21,普通(当駅始発),ホームライナー浜松(当駅始発),普通,普通,普通,普通,
,2,13,16,31,44,56,
,島田,浜松,浜松,島田,浜松,島田,
,3,4,3,4,4,4,
22,普通,普通(当駅始発),普通,,,,
,11,24,41,,,,
,浜松,島田,浜松,,,,
,4,3,3,,,,
23,普通(当駅始発),普通(当駅始発),普通(当駅始発),特急サンライズ瀬戸出雲,,,
,6,19,43,59,,,
,島田,浜松,菊川,高松･出雲市,,,
,3,4,3,4,,,
