Aダイヤ 豊橋駅 下り時刻表,,,,
5,普通,,,
,37,,,
,沼津,,,
,8,,,
6,普通,普通,普通,
,7,21,44,
,浜松,静岡,興津,
,7,8,8,
7,普通,普通,普通,
,9,25,48,
,熱海,浜松,浜松,
,7,6,8,
8,普通,普通,普通,普通
,6,19,41,53
,浜松,掛川,浜松,浜松
,6,8,8,7
9,区間快速,普通,普通,
,12,32,49,
,浜松,浜松,浜松,
,6,8,8,
10,普通,普通,普通,
,7,22,43,
,浜松,浜松,浜松,
,8,8,7,
11,普通,普通,普通,
,5,23,42,
,浜松,浜松,浜松,
,8,7,8,
12,普通,普通,普通,
,7,25,44,
,浜松,浜松,浜松,
,8,8,7,
13,普通,普通,普通,
,7,23,42,
,浜松,浜松,浜松,
,7,7,8,
14,普通,普通,普通,
,7,25,44,
,浜松,浜松,浜松,
,8,8,8,
15,普通,普通,普通,
,7,25,43,
,浜松,浜松,浜松,
,5,8,8,
16,普通,普通,普通,
,0,23,44,
,浜松,掛川,浜松,
,8,8,8,
17,普通,普通,普通,
,7,23,44,
,浜松,掛川,浜松,
,8,8,5,
18,普通,普通,普通,
,6,31,48,
,浜松,浜松,浜松,
,7,8,8,
19,普通,普通,普通,
,11,27,51,
,浜松,掛川,浜松,
,7,8,7,
20,普通,普通,普通,
,16,33,56,
,浜松,三島,浜松,
,6,7,8,
21,普通,特別快速,,
,20,53,,
,浜松,浜松,,
,7,6,,
22,普通,普通,,
,22,51,,
,浜松,浜松,,
,8,7,,
23,普通,,,
,11,,,
,浜松,,,
,7,,,
