Aダイヤ 豊橋駅 下り時刻表,
5,新快速 三谷 幸,区間快速
,47,49
,大垣,大垣
,7,5
6,普通,特別快速,普通,普通,新快速,普通,特別快速,快速 稲
,3,14,18,29,34,44,49,59
,岐阜,大垣,岐阜,岐阜,大垣,名古屋,大垣,大垣
,7,4,7,5,7,4,5,7
7,特別快速 幸,普通,快速,普通,特別快速 幸,快速,区間快速,特別快速,普通
,9,11,19,26,29,39,41,49,59
,大垣,岐阜,大垣,岐阜,大垣,名古屋,名古屋,大垣,岐阜
,6,4,7,7,5,8,6,5,6
8,特別快速,特別快速,普通,快速,普通,特別快速
,3,17,23,35,41,49
,大垣,大垣,岐阜,大垣,岐阜,大垣
,7,7,5,7,6,7
9,新快速 三谷,普通,新快速,快速 幸,普通,新快速
,4,12,21,32,34,50
,大垣,岐阜,大垣,大垣,岐阜,大垣
,6,7,5,7,5,6
10,快速 三谷,普通,新快速,普通,快速 幸,新快速
,2,4,21,29,32,50
,大垣,岐阜,大垣,岐阜,大垣,大垣
,7,5,7,4,6,6
11,快速 三谷,普通,新快速,普通,快速 幸,新快速
,2,4,21,29,32,50
,大垣,岐阜,大垣,岐阜,大垣,大垣
,7,4,7,6,5,7
12,快速 三谷,普通,新快速,普通,快速 幸,新快速
,2,4,20,28,32,50
,大垣,岐阜,大垣,岐阜,大垣,大垣
,7,5,6,7,6,7
13,快速 三谷,普通,新快速,普通,快速 幸,新快速
,2,4,20,28,32,50
,大垣,岐阜,大垣,岐阜,大垣,大垣
,7,6,7,5,6,7
14,快速 三谷,普通,新快速,普通,快速 幸,新快速
,2,4,20,28,32,50
,大垣,岐阜,大垣,岐阜,大垣,大垣
,7,5,6,7,4,7
15,快速 三谷,普通,新快速,普通,快速 幸,新快速
,2,4,20,28,32,50
,大垣,岐阜,大垣,岐阜,大垣,大垣
,7,4,4,7,5,7
16,快速 三谷,普通,新快速,普通,快速 幸,新快速,普通
,2,4,20,28,32,50,52
,大垣,岐阜,大垣,岐阜,米原,大垣,岐阜
,7,5,7,5,7,7,5
17,快速 三谷,特別快速,普通,快速 幸 稲,普通,特別快速
,0,13,17,31,36,43
,米原,大垣,岐阜,大垣,岐阜,大垣
,7,5,7,6,7,7
18,快速 三谷 幸 稲,普通,特別快速,新快速 三谷 幸,普通,特別快速
,0,4,13,31,36,46
,大垣,岐阜,大垣,大垣,岐阜,大垣
,7,5,5,7,5,7
19,新快速 三谷,普通,特別快速,新快速 幸,普通,特別快速,普通
,1,8,15,31,34,49,55
,大垣,岐阜,関ケ原,米原,岐阜,大垣,岐阜
,6,5,7,6,5,7,6
20,新快速,特別快速,普通,新快速,特別快速,区間快速
,4,19,26,34,50,55
,米原,大垣,岐阜,米原,大垣,米原
,7,7,5,7,7,6
21,新快速,区間快速,新快速,区間快速
,17,23,47,55
,大垣,大垣,米原,大垣
,4,5,5,7
22,区間快速,新快速,普通,新快速
,14,19,38,56
,関ケ原,大垣,大垣,大垣
,5,7,6,5
23,普通
,9
,岡崎
,8
