Aダイヤ 豊橋駅 下り時刻表,
5,新快速 三谷 幸,区間快速
,47,49
,大垣,米原
,7,5
6,新快速,普通,普通,特別快速,普通,新快速
,14,18,29,34,49,54
,大垣,岐阜,岐阜,米原,岐阜,大垣
,5,4,5,7,4,6
7,普通,特別快速,普通,特別快速,普通,特別快速,普通,新快速
,3,9,19,24,34,39,49,52
,岐阜,米原,岐阜,大垣,岐阜,米原,岐阜,大垣
,4,5,7,6,7,8,6,5
8,普通,特別快速,新快速 三谷 幸,普通,特別快速,新快速,普通
,1,8,19,27,39,49,55
,岐阜,米原,大垣,岐阜,米原,大垣,岐阜
,5,7,5,7,5,7,4
9,新快速 三谷 幸,普通,特別快速,新快速,普通,特別快速
,2,12,19,32,37,50
,大垣,岐阜,大垣,大垣,岐阜,大垣
,8,4,6,7,6,6
10,新快速 三谷,普通,特別快速,普通,新快速 幸,新快速 三谷
,2,4,21,29,32,50
,大垣,岐阜,大垣,岐阜,大垣,大垣
,5,6,7,4,5,7
11,特別快速,普通,新快速,普通,快速 幸,新快速
,2,4,21,29,32,50
,大垣,岐阜,大垣,岐阜,大垣,大垣
,7,4,7,4,6,7
12,快速 三谷,普通,新快速,普通,快速 幸,新快速
,2,4,20,28,32,50
,大垣,岐阜,大垣,岐阜,大垣,大垣
,7,5,6,7,6,7
13,快速 三谷,普通,新快速,普通,快速 幸,新快速
,2,4,20,28,32,50
,大垣,岐阜,大垣,岐阜,米原,大垣
,7,6,7,4,5,7
14,快速 三谷,普通,新快速,普通,快速 幸,新快速
,2,4,20,28,32,50
,米原,岐阜,大垣,岐阜,米原,大垣
,7,5,6,7,5,7
15,快速 三谷,普通,新快速,普通,快速 幸,新快速
,2,4,20,28,32,50
,米原,岐阜,大垣,岐阜,米原,大垣
,7,5,5,7,5,7
16,新快速 三谷,普通,特別快速,普通,新快速 幸,特別快速,普通
,2,4,20,23,32,50,52
,米原,岐阜,大垣,岐阜,米原,大垣,岐阜
,7,5,7,5,7,7,5
17,新快速 三谷,特別快速,普通,新快速 幸,特別快速,普通
,1,21,23,36,48,54
,米原,大垣,岐阜,米原,大垣,岐阜
,7,7,5,7,7,5
18,新快速 三谷 幸,特別快速,普通,新快速 三谷 幸,特別快速,普通
,2,16,20,31,46,54
,米原,大垣,岐阜,米原,大垣,岐阜
,7,8,4,5,7,6
19,新快速 三谷 幸,普通,特別快速,新快速,普通,特別快速,普通
,1,14,19,31,35,49,55
,米原,岐阜,大垣,米原,岐阜,大垣,岐阜
,6,4,7,5,6,7,6
20,新快速,特別快速,普通,新快速,特別快速,区間快速
,4,19,26,34,50,55
,米原,大垣,岐阜,米原,大垣,米原
,7,4,5,7,7,6
21,新快速,区間快速,新快速,区間快速
,17,23,47,55
,大垣,大垣,米原,大垣
,6,5,5,7
22,区間快速,新快速,普通,新快速
,14,19,38,56
,関ケ原,大垣,大垣,大垣
,5,7,6,5
23,普通
,9
,岡崎
,8
