Aダイヤ 浜松駅 上り時刻表,,,,
6,こだま908,こだま914,こだま918,ひかり630
,20,43,55,58
,東京,東京,東京,東京
,5,5,5,5
7,ひかり632,こだま,ひかり634,
,23,30,50,
,東京,東京,東京,
,5,5,5,
8,ひかり636,こだま,こだま,
,17,26,55,
,東京,東京,東京,
,5,5,5,
9,ひかり640,こだま,こだま,
,17,25,58,
,東京,東京,東京,
,5,5,5,
10,ひかり,こだま,こだま,
,17,25,55,
,東京,東京,東京,
,5,5,5,
11,ひかり,こだま,こだま,
,17,25,58,
,東京,東京,東京,
,5,5,5,
12,ひかり,こだま,こだま,
,17,25,55,
,東京,東京,東京,
,5,5,5,
13,ひかり,こだま,こだま,
,17,25,58,
,東京,東京,東京,
,5,5,5,
14,ひかり,こだま,こだま,
,17,25,55,
,東京,東京,東京,
,5,5,5,
15,ひかり,こだま,こだま,
,17,25,56,
,東京,東京,東京,
,5,5,5,
16,ひかり,こだま,こだま,
,17,26,56,
,東京,東京,東京,
,5,5,5,
17,ひかり,こだま,こだま,
,17,26,56,
,東京,東京,東京,
,5,5,5,
18,ひかり,こだま,こだま,
,17,26,56,
,東京,東京,東京,
,5,5,5,
19,ひかり,こだま,こだま,
,17,26,58,
,東京,東京,東京,
,5,5,5,
20,ひかり,こだま,こだま,
,17,23,54,
,東京,東京,東京,
,5,5,5,
21,ひかり,こだま,こだま860,
,4,35,50,
,東京,東京,三島,
,5,5,5,
22,ひかり,こだま862,こだま864,
,7,32,59,
,東京,三島,静岡,
,5,5,5,
