Aダイヤ 浜松駅 下り時刻表,,,,
6,こだま763,,,
,28,,,
,新大阪,,,
,6,,,
7,こだま765,こだま767,,
,9,45,,
,新大阪,新大阪,,
,6,6,,
8,こだま,ひかり,こだま,
,23,31,51,
,名古屋,岡山,新大阪,
,6,6,6,
9,こだま,ひかり,こだま,
,23,31,51,
,名古屋,岡山,新大阪,
,6,6,6,
10,こだま,ひかり,こだま,
,23,31,51,
,名古屋,岡山,新大阪,
,6,6,6,
11,こだま,ひかり,こだま,
,23,31,51,
,名古屋,岡山,新大阪,
,6,6,6,
12,こだま,ひかり,こだま,
,23,31,51,
,名古屋,岡山,新大阪,
,6,6,6,
13,こだま,ひかり,こだま,
,23,31,51,
,名古屋,岡山,新大阪,
,6,6,6,
14,こだま,ひかり,こだま,
,23,31,51,
,名古屋,岡山,新大阪,
,6,6,6,
15,こだま,ひかり,こだま,
,23,31,51,
,名古屋,岡山,新大阪,
,6,6,6,
16,こだま,ひかり,こだま,
,23,31,51,
,名古屋,岡山,新大阪,
,6,6,6,
17,こだま,ひかり,こだま,
,23,31,51,
,名古屋,岡山,新大阪,
,6,6,6,
18,こだま,ひかり,こだま,
,23,31,51,
,名古屋,岡山,名古屋,
,6,6,6,
19,こだま,ひかり655,こだま,
,23,31,51,
,名古屋,新大阪,名古屋,
,6,6,6,
20,こだま,ひかり659,ひかり661,こだま
,23,31,47,54
,名古屋,新大阪,新大阪,名古屋
,6,6,6,6
21,こだま,ひかり663,こだま,
,23,39,53,
,名古屋,新大阪,新大阪,
,6,6,6,
22,こだま,ひかり665,,
,23,33,,
,名古屋,名古屋,,
,6,6,,
23,ひかり669,,,
,18,,,
,名古屋,,,
,6,,,
