Aダイヤ 千葉駅 上り時刻表,,,,,,,,,,,,,
4,各駅停車,各駅停車,,,,,,,,,,,
,30,45,,,,,,,,,,,
,三鷹,三鷹,,,,,,,,,,,
,1,2,,,,,,,,,,,
5,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,,,,,,,,
,06,28,34,41,55,,,,,,,,
,三鷹,三鷹,中野,中野,三鷹,,,,,,,,
,1,1,2,1,2,,,,,,,,
6,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,,,
,09,17,27,32,35,43,47,51,55,59,,,
,三鷹,三鷹,三鷹,三鷹,三鷹,中野,中野,三鷹,三鷹,三鷹,,,
,1,2,1,2,1,1,2,1,2,1,,,
7,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車
,03,07,12,17,21,24,28,32,37,40,44,47,54
,三鷹,三鷹,中野,三鷹,中野,三鷹,中野,中野,三鷹,中野,中野,三鷹,三鷹
,2,1,2,1,2,1,2,1,2,1,2,1,2
8,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,,,,,
,01,06,15,26,33,38,46,57,,,,,
,中野,中野,三鷹,三鷹,三鷹,中野,三鷹,三鷹,,,,,
,1,2,1,2,1,2,1,2,,,,,
9,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,,,,,
,05,12,23,32,39,47,53,58,,,,,
,中野,中野,中野,中野,三鷹,中野,中野,三鷹,,,,,
,1,2,1,2,1,2,1,2,,,,,
10,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,,,,,,,
,06,12,23,31,43,50,,,,,,,
,三鷹,中野,三鷹,中野,中野,中野,,,,,,,
,1,2,2,1,2,1,,,,,,,
11,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,,,,,,
,01,12,23,29,34,45,56,,,,,,
,中野,中野,三鷹,中野,中野,中野,三鷹,,,,,,
,2,1,2,1,2,2,2,,,,,,
12,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,,,,,,,,
,07,19,29,40,51,,,,,,,,
,三鷹,中野,中野,三鷹,中野,,,,,,,,
,2,2,2,2,2,,,,,,,,
13,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,,,,,,,
,02,13,24,35,46,57,,,,,,,
,中野,中野,三鷹,中野,中野,中野,,,,,,,
,2,2,2,2,2,2,,,,,,,
14,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,,,,,,,,
,08,19,30,41,51,,,,,,,,
,三鷹,中野,中野,三鷹,三鷹,,,,,,,,
,2,2,2,2,2,,,,,,,,
15,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,,,,,,,
,01,12,24,35,46,58,,,,,,,
,三鷹,三鷹,三鷹,中野,三鷹,中野,,,,,,,
,2,2,2,2,2,2,,,,,,,
16,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,,,,,,,,
,09,21,31,41,51,,,,,,,,
,三鷹,中野,三鷹,三鷹,三鷹,,,,,,,,
,2,1,2,1,2,,,,,,,,
17,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,,,,,,
,00,08,17,25,31,41,51,,,,,,
,中野,中野,中野,三鷹,三鷹,中野,中野,,,,,,
,1,2,1,2,1,2,1,,,,,,
18,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,,,,
,01,09,18,23,27,34,42,51,58,,,,
,中野,三鷹,中野,三鷹,三鷹,三鷹,三鷹,三鷹,三鷹,,,,
,2,1,2,1,2,1,2,1,2,,,,
19,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,,,,
,06,14,22,26,30,35,43,49,54,,,,
,中野,中野,三鷹,中野,三鷹,中野,三鷹,三鷹,中野,,,,
,1,2,1,2,1,2,1,2,1,,,,
20,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,,,,,
,03,09,19,25,31,42,49,56,,,,,
,三鷹,中野,中野,三鷹,中野,中野,三鷹,三鷹,,,,,
,2,1,2,1,2,1,2,1,,,,,
21,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,,,,,
,03,10,17,23,31,37,51,57,,,,,
,三鷹,中野,三鷹,中野,三鷹,中野,三鷹,三鷹,,,,,
,2,1,2,1,2,1,2,1,,,,,
22,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,,,,,,
,08,17,25,32,40,47,54,,,,,,
,三鷹,中野,三鷹,中野,三鷹,三鷹,三鷹,,,,,,
,2,1,2,1,2,1,2,,,,,,
23,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,,,,,,,,
,09,16,24,34,41,,,,,,,,
,中野,三鷹,三鷹,中野,中野,,,,,,,,
,1,2,1,2,1,,,,,,,,
0,各駅停車,各駅停車,各駅停車,,,,,,,,,,
,00,14,30,,,,,,,,,,
,津田沼,津田沼,津田沼,,,,,,,,,,
,1,1,1,,,,,,,,,,
