Bダイヤ 千葉駅 上り時刻表,,,,,,,
4,各駅停車,各駅停車,,,,,
,28,44,,,,,
,三鷹,三鷹,,,,,
,1,2,,,,,
5,各駅停車,各駅停車,各駅停車,各駅停車,,,
,05,18,33,52,,,
,三鷹,三鷹,三鷹,中野,,,
,1,1,1,1,,,
6,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,
,05,20,33,41,50,58,
,中野,中野,中野,中野,三鷹,三鷹,
,2,1,2,1,2,1,
7,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車
,04,09,19,29,39,44,53
,中野,三鷹,三鷹,三鷹,中野,中野,三鷹
,2,1,2,1,2,1,2
8,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車
,00,07,17,27,37,47,57
,三鷹,三鷹,三鷹,中野,三鷹,三鷹,中野
,1,2,1,2,1,2,1
9,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,
,07,17,27,37,47,57,
,三鷹,三鷹,中野,三鷹,三鷹,中野,
,2,1,2,1,2,1,
10,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,
,07,17,27,37,47,57,
,三鷹,三鷹,中野,三鷹,三鷹,中野,
,2,1,2,1,2,1,
11,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,
,07,17,27,37,47,57,
,三鷹,三鷹,中野,三鷹,三鷹,中野,
,2,1,2,1,2,1,
12,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,
,07,17,27,37,47,57,
,三鷹,三鷹,中野,三鷹,三鷹,中野,
,2,1,2,1,2,1,
13,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,
,07,17,27,37,47,57,
,三鷹,三鷹,中野,三鷹,三鷹,中野,
,2,1,2,1,2,1,
14,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,
,07,17,27,37,47,57,
,三鷹,三鷹,中野,三鷹,三鷹,中野,
,2,1,2,1,2,1,
15,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,
,07,17,27,37,47,57,
,三鷹,三鷹,中野,三鷹,三鷹,三鷹,
,2,1,2,1,2,1,
16,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,
,07,17,27,37,47,57,
,三鷹,三鷹,三鷹,三鷹,三鷹,三鷹,
,2,1,2,1,2,1,
17,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,
,07,17,27,37,47,57,
,中野,三鷹,中野,三鷹,三鷹,三鷹,
,2,1,2,1,2,1,
18,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,
,07,17,27,37,47,57,
,三鷹,三鷹,三鷹,三鷹,三鷹,三鷹,
,2,1,2,1,2,1,
19,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,
,07,17,27,37,48,59,
,三鷹,三鷹,三鷹,中野,三鷹,中野,
,2,1,2,1,2,1,
20,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,,
,11,23,34,42,50,,
,三鷹,三鷹,三鷹,三鷹,中野,,
,2,1,2,1,2,,
21,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,
,02,15,24,33,47,57,
,三鷹,三鷹,三鷹,三鷹,三鷹,三鷹,
,1,2,1,2,1,2,
22,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,
,06,15,24,33,43,53,
,三鷹,三鷹,三鷹,三鷹,三鷹,三鷹,
,1,2,1,2,1,2,
23,各駅停車,各駅停車,各駅停車,各駅停車,各駅停車,,
,03,13,22,31,41,,
,三鷹,三鷹,三鷹,中野,中野,,
,1,2,1,2,1,,
0,各駅停車,各駅停車,各駅停車,,,,
,00,14,30,,,,
,津田沼,津田沼,津田沼,,,,
,1,1,1,,,,
