Aダイヤ 千葉駅 下り時刻表,,,,,,,,,
4,始発成田線経由普通,,,,,,,,
,50,,,,,,,,
,銚子,,,,,,,,
,9,,,,,,,,
5,始発総武本線経由普通,快速,,,,,,,
,33,43,,,,,,,
,銚子,成田空港,,,,,,,
,7,10,,,,,,,
6,始発成田線経由普通,快速,始発総武本線経由普通,快速,始発総武本線経由普通,快速,成田エクスプレス,始発成田線経由普通,快速
,04,11,15,21,30,35,44,46,52
,銚子,成田空港,銚子,佐倉,銚子,佐倉,成田空港,銚子,成田空港
,10,10,8,10,7,10,10,9,10
7,始発普通,始発総武本線経由普通,成田エクスプレス,始発普通,快速,成田エクスプレス,,,
,09,15,26,34,53,58,,,
,成田,銚子,成田空港,成田空港,成田空港,成田空港,,,
,10,8,10,9,10,10,,,
8,始発普通,しおさい,始発普通,成田エクスプレス,始発総武本線経由普通,快速,,,
,03,8,21,30,38,51,,,
,成東,銚子,成田,成田空港,銚子,成田空港,,,
,8,9,9,10,7,10,,,
9,始発普通,始発総武本線経由普通,成田エクスプレス,始発普通,始発普通,,,,
,06,16,29,35,47,,,,
,佐倉,銚子,成田空港,成田,成東,,,,
,8,7,10,9,7,,,,
10,快速,始発総武本線経由普通,成田エクスプレス,始発普通,しおさい,始発普通,,,
,00,17,28,31,40,46,,,
,成田空港,銚子,成田空港,成田,銚子,成東,,,
,9,8,10,9,7,8,,,
11,快速,始発総武本線経由普通,成田エクスプレス,始発普通,始発普通,,,,
,00,14,28,31,42,,,,
,成田空港,銚子,成田空港,成田空港,成東,,,,
,9,7,10,9,8,,,,
12,快速,始発総武本線経由普通,成田エクスプレス,始発普通,始発普通,,,,
,00,14,28,31,42,,,,
,成田空港,銚子,成田空港,成田,成東,,,,
,9,7,10,9,7,,,,
13,快速,始発総武本線経由普通,成田エクスプレス,始発普通,始発総武本線経由普通,,,,
,00,12,28,31,42,,,,
,成田空港,銚子,成田空港,成田空港,銚子,,,,
,9,7,10,9,8,,,,
14,快速,始発普通,成田エクスプレス,始発普通,始発総武本線経由普通,,,,
,00,14,28,31,42,,,,
,成田空港,成東,成田空港,成田,銚子,,,,
,9,7,10,9,7,,,,
15,快速,しおさい,始発普通,成田エクスプレス,始発普通,始発総武本線経由普通,,,
,00,8,12,27,31,42,,,
,成田空港,銚子,成東,成田空港,成田空港,銚子,,,
,9,8,7,10,9,7,,,
16,快速,始発普通,始発普通,成田エクスプレス,始発普通,始発総武本線経由普通,快速,,
,00,11,21,28,35,42,49,,
,成田空港,成東,成田空港,成田空港,佐原,銚子,成田空港,,
,9,7,10,10,9,8,10,,
17,始発成田線経由普通,始発普通,快速,成田エクスプレス,始発総武本線経由普通,始発普通,快速,,
,02,8,19,28,34,44,50,,
,銚子,成東,成田空港,成田空港,銚子,四街道,成田空港,,
,8,7,9,9,7,9,10,,
18,始発普通,始発成田線経由普通,始発総武本線経由普通,成田エクスプレス,快速,始発普通,始発総武本線経由普通,快速,成田エクスプレス
,02,10,18,28,34,37,43,52,59
,成東,銚子,銚子,成田空港,成田空港,四街道,銚子,成田空港/鹿島神宮,成田空港
,8,8,8,10,10,9,8,10,10
19,始発普通,始発普通,しおさい,快速,成田エクスプレス,始発成田線経由普通,始発総武本線経由普通,快速,始発普通
,02,11,19,26,31,36,40,50,57
,成東,成田,銚子,成田空港/成東,成田空港,銚子,銚子,成田空港,四街道
,8,9,8,10,10,9,8,10,8
20,快速,始発普通,始発普通,成田エクスプレス,始発成田線経由普通,始発総武本線経由普通,,,
,09,13,27,36,42,54,,,
,成田,成東,成田空港,成田空港,銚子,銚子,,,
,10,8,9,10,9,8,,,
21,快速,始発普通,しおさい,快速,始発普通,始発総武本線経由普通,快速,始発普通,
,01,12,20,25,30,35,40,57,
,成田空港,成東,佐倉,佐倉,佐原,銚子,佐倉,横芝,
,9,8,8,8,9,8,10,8,
22,快速,しおさい,快速,始発成田線経由普通,始発総武本線経由普通,快速,快速,,
,04,12,21,26,33,39,50,,
,成田空港,成東,成田,銚子,銚子,佐倉,成田空港,,
,10,8,10,9,7,10,10,,
23,始発普通,始発普通,快速,始発普通,,,,,
,05,24,37,50,,,,,
,八街,成田,佐倉,成東,,,,,
,8,10,10,8,,,,,
0,始発普通,,,,,,,,
,05,,,,,,,,
,成田,,,,,,,,
,9,,,,,,,,
