Aダイヤ 千葉駅 下り時刻表,,,,,
5,快速,始発普通,始発普通,,
,21,41,55,,
,上総一ノ宮,成東,上総一ノ宮,,
,6,5,5,,
6,始発普通,始発普通,始発普通,始発普通,
,05,27,41,50,
,成東,上総一ノ宮,誉田,上総一ノ宮,
,6,5,6,5,
7,始発普通,始発普通,始発普通,,
,5,32,45,,
,上総一ノ宮,成東,上総一ノ宮,,
,6,6,6,,
8,始発普通,始発普通,始発普通,始発普通,
,01,19,34,55,
,成東,上総一ノ宮,上総一ノ宮,上総一ノ宮,
,5,6,5,5,
9,始発普通,快速,始発普通,,
,16,27,50,,
,成東,上総一ノ宮,成東,,
,6,6,5,,
10,始発普通,快速,始発普通,,
,5,26,55,,
,上総一ノ宮,上総一ノ宮,成東,,
,6,5,5,,
11,始発普通,始発普通,始発普通,,
,11,27,54,,
,上総一ノ宮,茂原,成東,,
,5,6,6,,
12,始発普通,始発普通,始発普通,,
,11,27,54,,
,上総一ノ宮,茂原,成東,,
,5,5,5,,
13,始発普通,始発普通,始発普通,,
,11,27,54,,
,上総一ノ宮,茂原,成東,,
,6,5,6,,
14,始発普通,始発普通,,,
,11,27,,,
,上総一ノ宮,茂原,,,
,5,6,,,
15,始発普通,始発普通,快速,始発普通,
,03,15,23,44,
,成東,大原,上総一ノ宮,茂原,
,5,6,6,5,
16,始発普通,始発普通,快速,始発普通,始発普通
,00,09,24,35,50
,上総一ノ宮,茂原,上総一ノ宮,大原,茂原
,5,6,6,5,5
17,始発普通,始発普通,快速,始発普通,始発普通
,07,20,39,48,55
,上総一ノ宮,安房鴨川,上総一ノ宮,誉田,上総一ノ宮
,6,6,6,5,6
18,始発普通,始発普通,始発普通,快速,始発普通
,06,14,34,39,54
,成東,上総一ノ宮,茂原,上総一ノ宮,茂原
,5,5,6,6,6
19,始発普通,始発普通,快速,始発普通,
,5,37,43,58,
,上総一ノ宮,安房鴨川,上総一ノ宮,上総一ノ宮,
,5,5,6,6,
20,始発普通,始発普通,始発普通,快速,
,09,24,38,44,
,茂原,上総一ノ宮,安房鴨川,上総一ノ宮,
,6,5,6,5,
21,始発普通,始発普通,始発普通,快速,始発普通
,00,27,41,49,55
,勝浦,東金,勝浦,上総一ノ宮,上総一ノ宮
,6,6,5,5,6
22,始発普通,始発普通,,,
,21,44,,,
,安房鴨川,勝浦,,,
,5,6,,,
23,始発普通,始発普通,始発普通,始発普通,
,04,29,46,59,
,大原,大原,茂原,大網,
,6,5,5,5,
