Aダイヤ 千葉駅 上り時刻表,,,,,,,,,,,
4,始発快速,,,,,,,,,,
,45,,,,,,,,,,
,逗子,,,,,,,,,,
,9,,,,,,,,,,
5,始発快速,始発快速,快速,,,,,,,,
,06,37,53,,,,,,,,
,逗子,久里浜,久里浜,,,,,,,,
,8,4,7,,,,,,,,
6,快速,始発快速,始発快速,始発あずさ･富士回遊,快速,快速,快速,,,,
,14,24,33,38,42,51,57,,,,
,逗子,東京,逗子,松本･河口湖,逗子,東京,逗子,,,,
,7,3,4,8,7,3,7,,,,
7,快速,始発快速,快速,快速,a,快速,快速,快速,快速,快速,快速
,02,07,14,18,23,30,36,42,46,51,56
,東京,久里浜,大船,逗子,東京,逗子,大船,大船,逗子,逗子,東京
,5,4,7,4,5,3,7,7,3,3,6
8,快速,快速,成田エクスプレス,快速,始発快速,始発快速,快速,成田エクスプレス,始発快速,,
,03,09,14,17,25,35,46,51,56,,
,逗子,東京,新宿/大船,逗子,東京,大船,逗子,新宿,逗子,,
,7,7,7,4,8,9,7,7,8,,
9,しおさい,始発快速,始発快速,始発快速*,成田エクスプレス,快速,快速,快速,,,
,03,09,19,25,29,33,43,54,,,
,東京,逗子,逗子,久里浜,新宿/大船,東京,逗子,逗子,,,
,7,5,10,5,7,3,6,10,,,
10,始発快速,始発快速,成田エクスプレス,始発快速*,快速,快速,始発快速*,,,,
,08,14,19,27,41,52,57,,,,
,逗子,東京,新宿/大船,久里浜,逗子,東京,逗子,,,,
,8,5,7,6,6,10,4,,,,
11,快速,始発快速,成田エクスプレス,始発快速,しおさい,快速,快速*,,,,
,02,12,19,26,37,41,52,,,,
,東京,逗子,新宿/大船,久里浜,東京,逗子,逗子,,,,
,5,4,7,8,7,5,10,,,,
12,快速,始発快速*,成田エクスプレス,始発快速,快速,快速,,,,,
,02,12,19,26,41,52,,,,,
,東京,逗子,新宿/大船,久里浜,逗子,逗子,,,,,
,3,8,7,6,6,10,,,,,
13,始発快速,始発快速,成田エクスプレス,始発快速,しおさい,快速*,快速,,,,
,02,12,20,26,38,41,52,,,,
,東京,逗子,新宿/大船,久里浜,東京,逗子,逗子,,,,
,8,4,7,6,7,5,10,,,,
14,始発快速,始発快速,成田エクスプレス,始発快速,快速,快速,,,,,
,02,12,19,26,41,52,,,,,
,東京,横須賀,新宿/大船,久里浜,久里浜,逗子,,,,,
,8,10,7,5,6,10,,,,,
15,始発快速,始発快速,成田エクスプレス,始発快速,快速,快速,,,,,
,02,12,20,26,41,52,,,,,
,東京,横須賀,新宿/大船,久里浜,久里浜,逗子,,,,,
,8,9,7,8,6,10,,,,,
16,始発快速,始発快速,成田エクスプレス,始発快速,快速*,快速*,始発快速,,,,
,02,12,19,23,33,44,58,,,,
,久里浜,逗子,新宿/大船,久里浜,久里浜,東京,久里浜,,,,
,8,8,7,8,6,7,3,,,,
17,快速,成田エクスプレス,快速*,新宿さざなみ4号,始発快速,新宿わかしお2号,快速,,,,
,09,19,22,24,33,39,45,,,,
,久里浜,新宿/大船,久里浜,新宿,横須賀,新宿,久里浜,,,,
,3,7,4,3,9,3,7,,,,
18,始発快速,始発快速,成田エクスプレス,快速*,始発快速,快速,快速,始発快速,しおさい,,
,00,13,20,22,30,36,45,54,58,,
,久里浜,大船,大船,東京,東京,久里浜,久里浜,大船,東京,,
,7,5,7,3,5,3,7,9,7,,
19,始発快速,快速,成田エクスプレス,快速*,始発快速,快速,快速,,,,
,03,15,20,25,33,39,50,,,,
,久里浜,東京,新宿/大船,東京,横須賀,東京,久里浜,,,,
,3,3,7,9,5,4,9,,,,
20,始発快速,快速,成田エクスプレス,快速*,始発快速,快速,快速*,,,,
,05,14,22,25,35,44,53,,,,
,久里浜,久里浜,新宿/大船,久里浜,久里浜,東京,逗子,,,,
,5,4,7,10,4,3,7,,,,
21,始発快速,成田エクスプレス,快速,快速,始発快速,快速,,,,,
,01,14,16,24,36,50,,,,,
,久里浜,新宿/大船,久里浜,逗子,久里浜,久里浜,,,,,
,4,7,3,7,10,4,,,,,
22,快速*,快速,始発快速,快速,,,,,,,
,03,22,39,54,,,,,,,
,久里浜,久里浜,大船,逗子,,,,,,,
,9,3,6,7,,,,,,,
23,始発快速,始発快速,始発快速,快速,始発快速,,,,,,
,03,11,27,50,56,,,,,,
,東京,大船,東京,東京,津田沼,,,,,,
,9,9,9,7,6,,,,,,
0,始発快速,,,,,,,,,,
,15,,,,,,,,,,
,津田沼,,,,,,,,,,
,9,,,,,,,,,,
