Aダイヤ 千葉駅 上り時刻表,,,,,,
5,始発普通,,,,,
,47,,,,,
,君津,,,,,
,3,,,,,
6,快速,始発普通,始発普通,始発快速,,
,00,18,33,45,,
,君津,姉ケ崎,君津,木更津,,
,3,4,3,3,,
7,始発普通,始発普通,始発普通,快速*,始発普通,快速
,01,15,27,38,50,58
,上総湊,上総湊,君津,君津,上総湊,君津
,3,3,4,3,4,4
8,始発普通,始発普通,快速,,,
,06,25,44,,,
,君津,木更津,君津,,,
,3,3,4,,,
9,始発普通,始発普通,快速,,,
,05,23,39,,,
,君津,君津,君津,,,
,3,3,4,,,
10,始発普通,始発普通,快速*,,,
,04,20,40,,,
,木更津,君津,君津,,,
,3,4,4,,,
11,始発普通,始発普通,快速,,,
,04,20,40,,,
,君津,君津,君津,,,
,3,3,3,,,
12,始発普通,始発普通,快速,,,
,01,20,40,,,
,木更津,君津,君津,,,
,4,4,4,,,
13,始発普通,始発普通,快速*,,,
,00,20,40,,,
,木更津,君津,君津,,,
,4,3,3,,,
14,始発普通,始発普通,快速,始発普通,,
,01,19,40,53,,
,木更津,上総湊,君津,木更津,,
,4,3,3,4,,
15,始発普通,始発普通,快速,始発普通,,
,10,31,39,54,,
,君津,上総湊,君津,君津,,
,4,3,4,4,,
16,始発普通,始発普通,快速,始発普通,,
,16,29,38,59,,
,君津,上総湊,君津,君津,,
,3,4,4,4,,
17,始発普通,快速,始発普通,,,
,15,26,43,,,
,君津,君津,上総湊,,,
,3,4,4,,,
18,始発普通,始発普通,快速,始発普通,始発普通,
,01,11,19,28,45,
,君津,姉ケ崎,君津,上総湊,木更津,
,3,4,4,4,4,
19,始発普通,快速,始発普通,始発普通,,
,03,17,29,52,,
,館山,君津,君津,君津,,
,4,4,4,3,,
20,始発普通,快速,始発普通,快速,,
,04,15,29,52,,
,君津,君津,館山,君津,,
,4,3,3,3,,
21,始発普通,快速,始発普通,,,
,04,17,37,,,
,君津,君津,木更津,,,
,3,4,4,,,
22,始発普通,快速,始発普通,始発普通,,
,04,12,33,48,,
,館山,君津,館山,君津,,
,3,3,4,4,,
23,始発普通,始発普通,,,,
,25,50,,,,
,君津,君津,,,,
,4,3,,,,
0,始発普通,,,,,
,09,,,,,
,木更津,,,,,
,4,,,,,
