Aダイヤ 武蔵小杉駅 下り時刻表,,,,,
4,,,,,
,,,,,
,,,,,
,,,,,
5,,,,,
,,,,,
,,,,,
,,,,,
6,各駅停車,,,,
,54,,,,
,海老名,,,,
,3,,,,
7,各駅停車,各駅停車,,,
,19,46,,,
,海老名,海老名,,,
,3,3,,,
8,各駅停車,各駅停車,各駅停車,各駅停車,
,02,14,29,43,
,海老名,海老名,海老名,海老名,
,3,3,3,3,
9,各駅停車,特急成田ｴｸｽﾌﾟﾚｽ,各駅停車,各駅停車,各駅停車
,00,12,17,36,59
,海老名,大船,海老名,海老名,海老名
,3,3,3,3,3
10,特急成田ｴｸｽﾌﾟﾚｽ,各駅停車,各駅停車,各駅停車,
,14,17,34,56,
,大船,海老名,海老名,海老名,
,3,3,3,3,
11,特急成田ｴｸｽﾌﾟﾚｽ,各駅停車,各駅停車,,
,03,16,40,,
,大船,海老名,海老名,,
,3,3,3,,
12,各駅停車,特急成田ｴｸｽﾌﾟﾚｽ,各駅停車,各駅停車,
,02,04,23,53,
,海老名,大船,海老名,海老名,
,3,3,3,3,
13,特急成田ｴｸｽﾌﾟﾚｽ,各駅停車,各駅停車,,
,04,23,53,,
,大船,海老名,海老名,,
,3,3,3,,
14,特急成田ｴｸｽﾌﾟﾚｽ,各駅停車,各駅停車,,
,04,24,53,,
,大船,海老名,海老名,,
,3,3,3,,
15,特急成田ｴｸｽﾌﾟﾚｽ,各駅停車,各駅停車,,
,04,23,53,,
,大船,海老名,海老名,,
,3,3,3,,
16,特急成田ｴｸｽﾌﾟﾚｽ,各駅停車,各駅停車,,
,04,25,55,,
,大船,海老名,海老名,,
,3,3,3,,
17,特急成田ｴｸｽﾌﾟﾚｽ,各駅停車,各駅停車,,
,04,15,34,,
,大船,海老名,海老名,,
,3,3,3,,
18,各駅停車,特急成田ｴｸｽﾌﾟﾚｽ,各駅停車,各駅停車,特急成田ｴｸｽﾌﾟﾚｽ
,00,04,17,37,40
,海老名,大船,海老名,海老名,大船
,3,3,3,3,3
19,各駅停車,特急成田ｴｸｽﾌﾟﾚｽ,各駅停車,各駅停車,各駅停車
,00,07,18,38,59
,海老名,大船,海老名,海老名,海老名
,3,3,3,3,3
20,特急成田ｴｸｽﾌﾟﾚｽ,各駅停車,各駅停車,各駅停車,
,08,19,39,59,
,大船,海老名,海老名,海老名,
,3,3,3,3,
21,特急成田ｴｸｽﾌﾟﾚｽ,各駅停車,各駅停車,各駅停車,
,11,18,37,57,
,大船,海老名,海老名,海老名,
,3,3,3,3,
22,特急成田ｴｸｽﾌﾟﾚｽ,各駅停車,各駅停車,特急成田ｴｸｽﾌﾟﾚｽ,
,03,18,48,57,
,大船,海老名,海老名,大船,
,3,3,3,3,
23,各駅停車,各駅停車,,,
,13,36,,,
,海老名,海老名,,,
,3,3,,,
0,普通,,,,
,09,,,,
,大船,,,,
,3,,,,
