Aダイヤ 武蔵小杉駅 下り時刻表,,,,,
5,特急成田ｴｸｽﾌﾟﾚｽ,,,,
,55,,,,
,成田空港,,,,
,4,,,,
6,各駅停車,各駅停車,特急成田ｴｸｽﾌﾟﾚｽ,各駅停車,
,03,20,34,54,
,新宿,新宿,成田空港,新宿,
,4,4,4,4,
7,特急成田ｴｸｽﾌﾟﾚｽ,各駅停車,特急成田ｴｸｽﾌﾟﾚｽ,各駅停車,各駅停車
,08,11,29,31,47
,成田空港,川越,成田空港,大宮,大宮
,4,4,4,4,4
8,各駅停車,各駅停車,各駅停車,特急成田ｴｸｽﾌﾟﾚｽ,各駅停車
,09,23,36,38,53
,赤羽,川越,池袋,成田空港,池袋
,4,4,4,4,4
9,各駅停車,各駅停車,各駅停車,特急成田ｴｸｽﾌﾟﾚｽ,
,07,20,37,40,
,新宿,新宿,新宿,成田空港,
,4,4,4,4,
10,各駅停車,各駅停車,特急成田ｴｸｽﾌﾟﾚｽ,各駅停車,
,04,21,39,42,
,新宿,新宿,成田空港,新宿,
,4,4,4,4,
11,各駅停車,各駅停車,特急成田ｴｸｽﾌﾟﾚｽ,,
,10,32,39,,
,新宿,新宿,成田空港,,
,4,4,4,,
12,各駅停車,各駅停車,特急成田ｴｸｽﾌﾟﾚｽ,,
,03,33,40,,
,新宿,新宿,成田空港,,
,4,4,4,,
13,各駅停車,各駅停車,特急成田ｴｸｽﾌﾟﾚｽ,,
,03,33,40,,
,新宿,新宿,成田空港,,
,4,4,4,,
14,各駅停車,各駅停車,特急成田ｴｸｽﾌﾟﾚｽ,,
,03,33,39,,
,新宿,新宿,成田空港,,
,4,4,4,,
15,各駅停車,各駅停車,特急成田ｴｸｽﾌﾟﾚｽ,,
,03,33,39,,
,新宿,新宿,成田空港,,
,4,4,4,,
16,各駅停車,各駅停車,特急成田ｴｸｽﾌﾟﾚｽ,各駅停車,
,03,23,39,43,
,新宿,新宿,成田空港,新宿,
,4,4,4,4,
17,各駅停車,各駅停車,特急成田ｴｸｽﾌﾟﾚｽ,各駅停車,
,03,23,39,42,
,新宿,新宿,成田空港,新宿,
,4,4,4,4,
18,各駅停車,各駅停車,特急成田ｴｸｽﾌﾟﾚｽ,各駅停車,
,03,26,39,42,
,新宿,新宿,成田空港,新宿,
,4,4,4,4,
19,各駅停車,各駅停車,特急成田ｴｸｽﾌﾟﾚｽ,各駅停車,
,05,25,39,44,
,新宿,新宿,成田空港,新宿,
,4,4,4,4,
20,各駅停車,各駅停車,各駅停車,,
,09,24,39,,
,新宿,新宿,新宿,,
,4,4,4,,
21,各駅停車,各駅停車,各駅停車,,
,03,23,41,,
,新宿,新宿,新宿,,
,4,4,4,,
22,各駅停車,各駅停車,,,
,16,48,,,
,新宿,新宿,,,
,4,4,,,
23,,,,,
,,,,,
,,,,,
,,,,,
0,各駅停車,,,,
,17,,,,
,品川,,,,
,4,,,,
