Aダイヤ 武蔵小杉駅 下り時刻表,,,,,,,
4,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
5,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
6,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
7,快速,湘南新宿ﾗｲﾝ普通,快速,,,,
,00,37,57,,,,
,平塚,大船,平塚,,,,
,3,3,3,,,,
8,湘南新宿ﾗｲﾝ普通,快速,湘南新宿ﾗｲﾝ普通,快速,湘南新宿ﾗｲﾝ普通,快速,湘南新宿ﾗｲﾝ普通
,08,16,27,35,41,48,54
,大船,小田原,大船,国府津,逗子,平塚,大船
,3,3,3,3,3,3,3
9,快速,湘南新宿ﾗｲﾝ普通,快速,湘南新宿ﾗｲﾝ普通,快速,,
,02,14,26,41,51,,
,小田原,逗子,国府津,大船,国府津,,
,3,3,3,3,3,,
10,湘南新宿ﾗｲﾝ普通,快速,湘南新宿ﾗｲﾝ普通,快速,,,
,11,22,37,50,,,
,逗子,小田原,逗子,平塚,,,
,3,3,3,3,,,
11,湘南新宿ﾗｲﾝ普通,特別快速,快速,快速,,,
,07,19,37,50,,,
,逗子,小田原,逗子,平塚,,,
,3,3,3,3,,,
12,湘南新宿ﾗｲﾝ普通,特別快速,快速,快速,,,
,07,20,37,50,,,
,逗子,小田原,逗子,平塚,,,
,3,3,3,3,,,
13,湘南新宿ﾗｲﾝ普通,特別快速,快速,快速,,,
,07,19,37,50,,,
,逗子,小田原,逗子,平塚,,,
,3,3,3,3,,,
14,湘南新宿ﾗｲﾝ普通,特別快速,快速,快速,,,
,07,19,37,50,,,
,逗子,小田原,逗子,国府津,,,
,3,3,3,3,,,
15,湘南新宿ﾗｲﾝ普通,特別快速,快速,快速,,,
,07,19,37,50,,,
,逗子,小田原,逗子,平塚,,,
,3,3,3,3,,,
16,湘南新宿ﾗｲﾝ普通,特別快速,快速,快速,,,
,07,19,37,50,,,
,逗子,小田原,逗子,平塚,,,
,3,3,3,3,,,
17,湘南新宿ﾗｲﾝ普通,特別快速,快速,快速,,,
,07,20,40,53,,,
,逗子,小田原,逗子,平塚,,,
,3,3,3,3,,,
18,湘南新宿ﾗｲﾝ普通,快速,快速,快速,,,
,07,24,42,53,,,
,逗子,小田原,逗子,小田原,,,
,3,3,3,3,,,
19,湘南新宿ﾗｲﾝ普通,快速,湘南新宿ﾗｲﾝ普通,,,,
,11,28,46,,,,
,逗子,国府津,大船,,,,
,3,3,3,,,,
20,快速,湘南新宿ﾗｲﾝ普通,快速,湘南新宿ﾗｲﾝ普通,快速,,
,05,23,30,43,54,,
,平塚,逗子,平塚,大船,国府津,,
,3,3,3,3,3,,
21,湘南新宿ﾗｲﾝ普通,快速,湘南新宿ﾗｲﾝ普通,,,,
,06,28,40,,,,
,大船,小田原,逗子,,,,
,3,3,3,,,,
22,湘南新宿ﾗｲﾝ普通,快速,湘南新宿ﾗｲﾝ普通,,,,
,06,20,45,,,,
,逗子,小田原,大船,,,,
,3,3,3,,,,
23,快速,快速,,,,,
,04,18,,,,,
,小田原,国府津,,,,,
,3,3,,,,,
0,湘南新宿ﾗｲﾝ普通,,,,,,
,09,,,,,,
,大船,,,,,,
,3,,,,,,
