Aダイヤ 東京駅 上り時刻表,,,,,,,,,,,,,,,,,
5,普通,,,,,,,,,,,,,,,,
,53,,,,,,,,,,,,,,,,
,高崎,,,,,,,,,,,,,,,,
,7,,,,,,,,,,,,,,,,
6,普通,始発普通,快速ラビット,普通,始発普通,ひたち,,,,,,,,,,,
,20,30,41,44,48,53,,,,,,,,,,,
,高崎,小金井,宇都宮,勝田,籠原,いわき,,,,,,,,,,,
,7,5,7,7,5,7,,,,,,,,,,,
7,普通,普通,ときわ,普通,普通,普通,普通,快速ラビット,普通,ひたち,普通,,,,,,
,07,18,24,30,32,37,43,47,50,52,56,,,,,,
,宇都宮,高崎,高萩,小金井,土浦,宇都宮,高崎,宇都宮,籠原,仙台,上野,,,,,,
,7,7,7,7,7,7,7,7,7,7,7,,,,,,
8,普通,普通,普通,普通,普通,普通,快速アーバン,普通,普通,普通,普通,普通,普通,普通,ひたち,普通,普通
,02,05,09,14,17,22,25,29,33,36,40,45,48,51,53,55,59
,宇都宮,上野,籠原,上野,小金井,上野,高崎,宇都宮,上野,高崎,宇都宮,上野,小金井,上野,いわき,籠原,上野
,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
9,普通,普通,普通,普通,普通,快速アーバン,ときわ,普通,普通,普通,普通,普通,普通,ひたち,普通,,
,02,06,11,14,18,21,24,28,31,39,43,47,50,53,59,,
,古河,籠原,宇都宮,上野,土浦,高崎,勝田,上野,小金井,高崎,土浦,小金井,高崎,いわき,宇都宮,,
,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,,
10,普通,普通,普通,ときわ,普通,普通,普通,普通,普通,ひたち,普通,,,,,,
,01,09,19,23,26,31,39,45,49,53,59,,,,,,
,土浦,高崎,小金井,勝田,土浦,宇都宮,高崎,土浦,小金井,いわき,籠原,,,,,,
,7,7,7,7,7,7,7,7,7,7,7,,,,,,
11,普通,普通,普通,ときわ,普通,普通,普通,普通,普通,ひたち,普通,,,,,,
,05,09,19,23,26,29,39,45,49,53,59,,,,,,
,土浦,宇都宮,高崎,勝田,土浦,古河,高崎,土浦,小金井,いわき,籠原,,,,,,
,7,7,7,7,7,7,7,7,7,7,7,,,,,,
12,普通,普通,普通,ときわ,普通,普通,普通,普通,普通,ひたち,普通,,,,,,
,05,09,19,23,26,29,39,45,49,53,59,,,,,,
,土浦,宇都宮,高崎,勝田,土浦,古河,高崎,土浦,小金井,仙台,籠原,,,,,,
,7,7,7,7,7,7,7,7,7,7,7,,,,,,
13,普通,普通,普通,ときわ,普通,普通,普通,普通,普通,ひたち,普通,,,,,,
,05,09,19,23,26,29,39,45,49,53,59,,,,,,
,土浦,宇都宮,高崎,勝田,土浦,古河,高崎,土浦,宇都宮,いわき,籠原,,,,,,
,7,7,7,7,7,7,7,7,7,7,7,,,,,,
14,普通,普通,普通,ときわ,普通,普通,普通,普通,普通,ひたち,普通,,,,,,
,05,09,19,23,26,29,39,45,49,53,59,,,,,,
