Aダイヤ 赤羽駅 下り時刻表,,,,,,,,
5,普通,普通,,,,,,
,23,54,,,,,,
,高崎,高崎,,,,,,
,4,4,,,,,,
6,普通,普通,普通,普通,,,,
,10,23,36,50,,,,
,高崎,高崎,高崎,高崎,,,,
,4,4,4,4,,,,
7,普通,普通,普通,普通,,,,
,05,22,34,41,,,,
,籠原,籠原,高崎,高崎,,,,
,4,4,4,4,,,,
8,普通,普通,普通,アーバン,普通,,,
,00,12,27,42,55,,,
,高崎,籠原,籠原,高崎,高崎,,,
,4,4,4,4,4,,,
9,普通,普通,アーバン,普通,,,,
,12,26,38,55,,,,
,籠原,籠原,高崎,高崎,,,,
,4,4,4,4,,,,
10,普通,草津･四万,普通,普通,普通,,,
,07,10,25,40,56,,,
,高崎,長野原草津口,高崎,籠原,高崎,,,
,4,4,4,4,4,,,
11,普通,普通,普通,,,,,
,16,36,55,,,,,
,籠原,高崎,高崎,,,,,
,4,4,4,,,,,
12,普通,草津･四万,普通,普通,,,,
,15,19,38,55,,,,
,籠原,長野原草津口,高崎,高崎,,,,
,4,4,4,4,,,,
13,普通,普通,普通,,,,,
,15,38,55,,,,,
,籠原,高崎,高崎,,,,,
,4,4,4,,,,,
14,普通,普通,普通,,,,,
,15,38,55,,,,,
,籠原,高崎,高崎,,,,,
,4,4,4,,,,,
15,普通,普通,普通,,,,,
,15,36,55,,,,,
,籠原,高崎,高崎,,,,,
,4,4,4,,,,,
16,普通,普通,普通,普通,,,,
,15,37,42,55,,,,
,高崎,籠原,高崎,高崎,,,,
,4,4,4,4,,,,
17,普通,普通,普通,普通,普通,,,
,16,22,36,43,55,,,
,高崎,籠原,籠原,高崎,高崎,,,
,4,4,4,4,4,,,
18,あかぎ,普通,普通,普通,あかぎ,普通,アーバン,
,11,15,20,33,40,49,53,
,鴻巣,高崎,高崎,籠原,本庄,高崎,高崎,
,4,4,4,4,4,4,4,
19,普通,あかぎ,普通,普通,あかぎ,普通,アーバン,普通
,02,09,20,25,39,44,52,58
,籠原,高崎,高崎,高崎,本庄,高崎,高崎,籠原
,4,4,4,4,4,4,4,4
20,あかぎ,普通,普通,普通,普通,普通,,
,09,14,25,34,43,54,,
,高崎,籠原,籠原,高崎,高崎,高崎,,
,4,4,4,4,4,4,,
21,普通,普通,普通,普通,,,,
,13,18,37,55,,,,
,籠原,籠原,高崎,高崎,,,,
,4,4,4,4,,,,
22,普通,普通,普通,,,,,
,18,29,46,,,,,
,籠原,前橋,籠原,,,,,
,4,4,4,,,,,
23,普通,普通,普通,普通,,,,
,04,17,35,56,,,,
,籠原,籠原,高崎,籠原,,,,
,4,4,4,4,,,,
