Aダイヤ 赤羽駅 下り時刻表,,,,,,
5,,,,,,
,,,,,,
,,,,,,
,,,,,,
6,,,,,,
,,,,,,
,,,,,,
,,,,,,
7,快速,普通,快速,,,
,14,38,55,,,
,高崎,宇都宮,籠原,,,
,6,6,6,,,
8,普通,快速,普通,快速,普通,快速
,15,24,33,41,54,59
,小金井,高崎,宇都宮,籠原,小金井,高崎
,6,6,6,6,6,6
9,普通,快速:大宮から小山間,快速,普通,,
,11,27,43,57,,
,小金井,宇都宮,籠原,宇都宮,,
,6,6,6,6,,
10,普通,特別快速,快速:大宮から小山間,,,
,11,28,52,,,
,古河,高崎,宇都宮,,,
,6,6,6,,,
11,普通,快速,快速:大宮から小山間,特別快速,普通,
,01,06,25,36,55,
,小金井,籠原,宇都宮,高崎,宇都宮,
,6,6,6,6,6,
12,快速,快速:大宮から小山間,特別快速,普通,,
,05,25,35,55,,
,籠原,宇都宮,高崎,宇都宮,,
,6,6,6,6,,
13,快速,快速:大宮から小山間,特別快速,普通,,
,05,25,35,55,,
,籠原,宇都宮,高崎,宇都宮,,
,6,6,6,6,,
14,快速,快速:大宮から小山間,特別快速,普通,,
,05,25,35,55,,
,籠原,宇都宮,高崎,宇都宮,,
,6,6,6,6,,
15,快速,快速:大宮から小山間,特別快速,普通,,
,05,25,35,55,,
,籠原,宇都宮,高崎,宇都宮,,
,6,6,6,6,,
16,快速,快速:大宮から小山間,特別快速,普通,,
,05,24,36,56,,
,籠原,宇都宮,高崎,古河,,
,6,6,6,6,,
17,快速,快速:大宮から小山間,特別快速,普通,,
,05,25,40,56,,
,籠原,宇都宮,高崎,小金井,,
,6,6,6,6,,
18,快速,普通,快速,普通,,
,07,28,40,55,,
,籠原,宇都宮,高崎,小金井,,
,6,6,6,6,,
19,快速,普通,快速,快速,普通,
,10,25,30,41,55,
,籠原,古河,籠原,籠原,宇都宮,
,6,6,6,6,6,
20,快速,普通,快速,普通,,
,11,26,40,56,,
,前橋,古河,籠原,古河,,
,6,6,6,6,,
21,快速,快速,普通,,,
,10,27,40,,,
,前橋,籠原,宇都宮,,,
,6,6,6,,,
22,快速,快速,普通,快速,,
,00,15,31,47,,
,籠原,高崎,小金井,高崎,,
,6,6,6,6,,
23,普通,快速,,,,
,17,51,,,,
,小金井,籠原,,,,
,6,6,,,,
