Aダイヤ 赤羽駅 上り時刻表,
6,快速,普通
,22,57
,平塚,大船
,5,5
7,快速,普通,快速,普通,快速
,18,29,37,47,54
,平塚,大船,小田原,大船,国府津
,5,5,5,5,5
8,普通,快速,普通,快速,普通,快速
,01,08,15,22,31,45
,逗子,平塚,大船,国府津,逗子,小田原
,5,5,5,5,5,5
9,普通,快速,普通,快速,普通
,02,13,32,40,58
,大船,国府津,逗子,小田原,逗子
,5,5,5,5,5
10,快速,普通,特別快速,快速:大宮から小山間
,11,26,42,57
,平塚,逗子,小田原,逗子
,5,5,5,5
11,快速,普通,特別快速,快速:大宮から小山間
,11,27,44,57
,平塚,逗子,小田原,逗子
,5,5,5,5
12,快速,普通,特別快速,快速:大宮から小山間
,12,26,41,57
,平塚,逗子,小田原,逗子
,5,5,5,5
13,快速,普通,特別快速,快速:大宮から小山間
,11,27,42,57
,平塚,逗子,小田原,逗子
,5,5,5,5
14,快速,普通,特別快速,快速:大宮から小山間
,11,27,41,56
,国府津,逗子,小田原,逗子
,5,5,5,5
15,快速,普通,特別快速,快速:大宮から小山間
,12,26,42,57
,平塚,逗子,小田原,逗子
,5,5,5,5
16,快速,普通,特別快速
,11,27,41
,平塚,逗子,小田原
,5,5,5
17,快速:大宮から小山間,快速,普通,快速
,01,15,27,43
,逗子,平塚,逗子,小田原
,5,5,5,5
18,快速:大宮から小山間,快速,普通,快速
,01,12,33,48
,逗子,小田原,逗子,国府津
,5,5,5,5
19,普通,快速,普通,快速
,05,27,39,50
,大船,平塚,逗子,平塚
,5,5,5,5
20,普通,快速,普通,快速
,01,16,26,50
,大船,国府津,大船,小田原
,5,5,5,5
21,普通,普通,快速
,01,24,41
,逗子,逗子,小田原
,5,5,5
22,普通,快速,快速
,07,25,40
,大船,小田原,国府津
,5,5,5
