Aダイヤ 熱海駅 下り時刻表,,,
5,伊東線 普通 6両,伊東線 普通 6両,
,3,50,
,伊東,伊東,
,1,1,
6,伊東線 普通 6両,,
,29,,
,伊豆急下田,,
,1,,
7,伊東線 普通 6両,伊東線 普通 6両,
,22,56,
,伊東,伊東,
,1,1,
8,伊東線 普通 7両,,
,26,,
,伊豆急下田,,
,1,,
9,伊東線 普通 6両,伊東線 普通 6両,
,3,40,
,伊豆急下田,伊豆急下田,
,1,1,
10,伊東線 普通 4両,特急踊り子3号,伊東線 普通 6両
,10,23,45
,伊豆急下田,伊豆急下田,伊豆急下田
,1,2,1
11,特急踊り子7号,伊東線 普通 6両,
,21,32,
,伊豆急下田,伊豆急下田,
,2,1,
12,特急サフィール踊り子1号,伊東線 普通 7両,
,19,24,
,伊豆急下田,伊豆急下田,
,2,1,
13,伊東線 普通 7両,特急踊り子13号,伊東線 普通 6両
,10,23,41
,伊豆高原,伊豆急下田,伊豆急下田
,1,2,1
14,特急踊り子15号9両,伊東線 普通 4両,
,22,29,
,伊豆急下田,伊豆急下田,
,2,1,
15,伊東線 普通 6両,伊東線 普通 7両,伊東線 普通 6両
,5,27,57
,伊豆急下田,伊東,伊豆急下田
,1,1,1
16,伊東線 普通 7両,伊東線 普通 10両,
,33,53,
,伊豆高原,伊東,
,1,2,
17,伊東線 普通 7両,伊東線 普通 6両,
,5,30,
,伊豆高原,伊東,
,1,1,
18,伊東線 普通 10両,伊東線 普通 6両,
,4,30,
,伊東,伊東,
,2,1,
19,伊東線 普通 6両,伊東線 普通 10両,
,2,30,
,伊豆急下田,伊東,
,1,2,
20,伊東線 普通 6両,伊東線 普通 6両,
,3,33,
,伊東,伊東,
,1,1,
21,伊東線 普通 10両,伊東線 普通 6両,
,0,30,
,伊東,伊東,
,2,1,
22,伊東線 普通 6両,伊東線 普通 6両,
,12,48,
,伊東,伊東,
,1,1,
23,伊東線 普通 10両,,
,5,,
,伊東,,
,2,,
