Aダイヤ 熱海駅 下り時刻表,,,,
5,普通 6両,普通 6両,,
,3,50,,
,伊東,伊東,,
,1,1,,
6,普通 6両,,,
,29,,,
,伊豆急下田,,,
,1,,,
7,普通 6両,普通 6両,,
,23,57,,
,伊東,伊東,,
,1,1,,
8,普通 7両,,,
,26,,,
,伊豆急下田,,,
,1,,,
9,普通 6両,普通 6両,,
,3,40,,
,伊豆急下田,伊豆急下田,,
,1,1,,
10,普通 4両,特急踊り子1号,普通 6両,特急踊り子3号
,10,23,45,56
,伊豆急下田,伊豆急下田,伊豆急下田,伊豆急下田
,1,2,1,2
11,特急踊り子7号,普通 6両,,
,21,32,,
,伊豆急下田,伊豆急下田,,
,2,1,,
12,特急ｻﾌｨｰﾙ踊り子1号,普通 7両,,
,19,24,,
,伊豆急下田,伊豆急下田,,
,2,1,,
13,普通 7両,特急踊り子9号,普通 6両,特急ｻﾌｨｰﾙ踊り子5号
,10,23,41,52
,伊豆高原,伊豆急下田,伊豆急下田,伊豆急下田
,1,2,1,2
14,特急踊り子11号,普通 4両,,
,22,29,,
,伊豆急下田,伊豆急下田,,
,2,1,,
15,普通 6両,普通 7両,普通 6両,
,5,27,57,
,伊豆急下田,伊東,伊豆急下田,
,1,1,1,
16,普通 7両,普通 10両,,
,33,53,,
,伊豆高原,伊東,,
,1,2,,
17,普通 7両,普通 6両,,
,5,30,,
,伊豆高原,伊東,,
,1,1,,
18,普通 10両,普通 6両,,
,4,30,,
,伊東,伊東,,
,2,1,,
19,普通 6両,普通 10両,,
,2,30,,
,伊豆急下田,伊東,,
,1,2,,
20,普通 6両,普通 6両,,
,3,32,,
,伊東,伊東,,
,1,1,,
21,普通 6両,普通 6両,,
,4,37,,
,伊東,伊東,,
,2,1,,
22,普通 6両,普通 6両,,
,12,48,,
,伊東,伊東,,
,1,1,,
23,普通 10両,,,
,5,,,
,伊東,,,
,2,,,
