Bダイヤ 熱海駅 下り時刻表,,,,,
4,普通 15両,,,,
,35,,,,
,高崎,,,,
,4,,,,
5,普通 15両,普通 15両,特急ｻﾝﾗｲｽﾞ瀬戸出雲,,
,18,39,45,,
,宇都宮,宇都宮,東京,,
,4,4,5,,
6,普通 15両,普通 10両,普通 10両,普通 15両,普通 10両
,4,16,30,49,57
,宇都宮,上野,宇都宮,上野,上野
,4,5,5,5,5
7,普通 10両,普通 10両,普通 10両,,
,13,30,54,,
,上野,上野,小金井,,
,3,5,5,,
8,普通 15両,普通 15両,普通 10両,,
,10,23,51,,
,宇都宮,高崎,小田原,,
,4,5,5,,
9,普通 10両,普通 15両,普通 15両,,
,9,26,39,,
,籠原,宇都宮,古河,,
,4,5,4,,
10,普通 15両,普通 15両,普通 15両,,
,1,18,38,,
,小金井,宇都宮,古河,,
,5,4,4,,
11,普通 15両,特急踊り子2号,普通 15両,普通 10両,
,4,29,34,53,
,小金井,東京,高崎,高崎,
,4,4,5,5,
12,普通 10両,普通 10両,普通 15両,,
,6,31,50,,
,宇都宮,高崎,高崎,,
,4,5,5,,
13,普通 15両,特急踊り子4号,普通 10両,普通 15両,
,10,32,35,50,
,小金井,東京,高崎,高崎,
,5,4,5,5,
14,普通 15両,特急踊り子6号,普通 15両,普通 15両,
,8,30,33,50,
,小金井,東京,籠原,高崎,
,5,4,5,4,
15,普通 15両,特急踊り子8号,普通 15両,特急ｻﾌｨｰﾙ踊り子2号,普通 15両
,0,8,26,31,49
,宇都宮,東京,宇都宮,東京,高崎
,5,4,5,4,5
16,特急踊り子60号,普通 10両,普通 15両,特急踊り子10号,普通 15両
,0,6,21,29,46
,東京,小金井,小金井,東京,高崎
,4,5,5,4,5
17,普通 10両,特急踊り子12号,普通 15両,普通 15両,
,7,28,31,51,
,高崎,池袋,高崎,前橋,
,5,4,5,4,
18,普通 10両,普通 10両,普通 15両,,
,12,40,55,,
,宇都宮,古河,宇都宮,,
,4,5,5,,
19,普通 10両,普通 10両,普通 15両,,
,9,26,42,,
,籠原,小金井,小金井,,
,4,5,5,,
20,普通 15両,普通 10両,普通 10両,,
,4,18,35,,
,宇都宮,高崎,小金井,,
,5,4,4,,
21,普通 15両,普通 15両,普通 15両,,
,2,26,40,,
,宇都宮,宇都宮,東京,,
,5,5,4,,
22,普通 15両,普通 10両,,,
,9,35,,,
,東京,品川,,,
,5,4,,,
23,普通 15両,,,,
,7,,,,
,国府津,,,,
,4,,,,
0,普通 10両,,,,
,18,,,,
,沼津,,,,
,2,,,,
