Aダイヤ 水戸駅 下り時刻表,,,,,,,,
5,始発普通,始発普通,,,,,,
,09,50,,,,,,
,いわき,いわき,,,,,,
,3,3,,,,,,
6,始発普通,始発普通,普通,,,,,
,10,30,46,,,,,
,いわき,いわき,高萩,,,,,
,3,3,4,,,,,
7,普通,始発普通,始発普通,普通,普通,普通,普通,
,00,03,19,27,40,45,55,
,勝田,いわき,原ノ町,高萩,いわき,勝田,勝田,
,4,3,3,4,4,4,4,
8,普通,ひたち,始発普通,普通,普通,普通,ときわ,普通
,01,11,18,28,38,46,50,56
,高萩,いわき,いわき,勝田,高萩,勝田,高萩,勝田
,4,4,3,4,4,4,4,4
9,始発普通,ひたち,始発普通,普通,ときわ,,,
,09,19,36,42,50,,,
,広野,仙台,高萩,勝田,勝田,,,
,3,4,3,4,4,,,
10,始発普通,普通,ひたち,普通,始発普通,普通,ときわ,普通
,05,11,17,25,32,40,48,59
,原ノ町,勝田,いわき,勝田,高萩,勝田,勝田,勝田
,3,4,4,4,3,4,4,4
11,ひたち,始発普通,始発普通,ときわ,,,,
,06,10,40,49,,,,
,いわき,いわき,高萩,勝田,,,,
,4,3,3,4,,,,
12,普通,ひたち,始発普通,普通,始発普通,ときわ,,
,02,07,10,19,40,45,,
,勝田,いわき,いわき,勝田,高萩,勝田,,
,4,4,3,4,3,4,,
13,普通,ひたち,始発普通,始発普通,ときわ,,,
,02,07,10,40,45,,,
,勝田,いわき,いわき,高萩,勝田,,,
,4,4,3,3,4,,,
14,普通,ひたち,始発普通,始発普通,ときわ,,,
,02,06,10,40,45,,,
,勝田,仙台,高萩,いわき,勝田,,,
,4,4,3,3,4,,,
15,普通,ひたち,始発普通,普通,始発普通,ときわ,,
,02,09,12,34,40,46,,
,勝田,いわき,いわき,勝田,原ノ町,勝田,,
,4,4,3,4,3,4,,
16,普通,ひたち,始発普通,始発普通,普通,ときわ,始発普通,
,00,07,10,30,42,47,54,
,勝田,いわき,原ノ町,高萩,勝田,勝田,いわき,
,4,4,3,3,4,4,3,
17,ひたち,始発普通,普通,始発普通,ときわ,普通,,
,06,13,25,35,47,56,,
,いわき,高萩,勝田,いわき,勝田,勝田,,
,4,3,4,3,4,4,,
18,ひたち,始発普通,始発普通,ときわ,普通,,,
,08,15,40,51,56,,,
,仙台,いわき,原ノ町,勝田,高萩,,,
,4,3,3,4,4,,,
19,普通,ひたち,普通,始発普通,普通,ときわ,普通,普通
,03,11,15,25,35,48,51,59
,勝田,いわき,勝田,久ノ浜,勝田,高萩,勝田,勝田
,4,4,4,3,4,4,4,4
20,ひたち,始発普通,始発普通,普通,ときわ,,,
,09,15,39,47,52,,,
,いわき,高萩,いわき,勝田,勝田,,,
,4,3,3,4,4,,,
21,普通,ひたち,始発普通,普通,ときわ,,,
,03,09,28,37,51,,,
,勝田,いわき,いわき,勝田,高萩,,,
,4,4,3,4,4,,,
22,普通,ひたち,始発普通,ときわ,,,,
,00,11,28,55,,,,
,勝田,いわき,大津港,勝田,,,,
,4,4,3,4,,,,
23,普通,ときわ,始発普通,普通,,,,
,02,15,38,45,,,,
,勝田,高萩,高萩,勝田,,,,
,4,4,3,4,,,,
0,普通,ときわ,普通,,,,,
,13,20,48,,,,,
,勝田,勝田,勝田,,,,,
,4,4,4,,,,,
