Aダイヤ 水戸駅 下り時刻表,,,
6,普通,普通,
,00,46,
,鹿島神宮,鹿島神宮,
,8,8,
7,普通,普通,普通
,11,33,55
,新鉾田,鹿島神宮,大洗
,8,8,8
8,普通,普通,
,18,54,
,大洗,鹿島神宮,
,8,8,
9,普通,普通,
,24,54,
,大洗,鹿島神宮,
,8,8,
10,普通,普通,
,20,50,
,大洗,大洗,
,8,8,
11,普通,普通,
,20,50,
,鹿島神宮,大洗,
,8,8,
12,普通,普通,
,20,50,
,大洗,大洗,
,8,8,
13,普通,普通,
,20,50,
,鹿島神宮,大洗,
,8,8,
14,普通,普通,
,30,54,
,大洗,鹿島神宮,
,8,8,
15,普通,,
,34,,
,鹿島神宮,,
,8,,
16,普通,普通,普通
,03,29,50
,新鉾田,鹿島神宮,大洗
,8,8,8
17,普通,普通,普通
,11,35,59
,鹿島神宮,大洗,鹿島神宮
,8,8,8
18,普通,普通,
,24,52,
,大洗,鹿島神宮,
,8,8,
19,普通,普通,
,25,57,
,鹿島神宮,鹿島神宮,
,8,8,
20,普通,普通,
,18,46,
,大洗,鹿島神宮,
,8,8,
21,普通,普通,
,27,56,
,大洗,鹿島神宮,
,8,8,
22,普通,,
,41,,
,新鉾田,,
,8,,
23,普通,,
,21,,
,大洗,,
,8,,
