Aダイヤ 水戸駅 下り時刻表,,,,,,
4,普通,普通,,,,
,33,58,,,,
,品川,小山,,,,
,6,5,,,,
5,普通,普通,ときわ,始発普通,普通,
,16,37,50,53,59,
,品川,上野,品川,上野,小山,
,5,5,7,5,6,
6,普通,ときわ,始発普通,普通,普通,
,10,25,28,41,53,
,上野,品川,上野,品川,小山,
,5,7,5,6,6,
7,ひたち,普通,普通,ときわ,始発普通,普通
,02,05,21,33,36,49
,品川,品川,品川,品川,小山,品川
,7,5,5,7,6,5
8,ひたち,普通,普通,普通,ときわ,
,10,13,35,39,48,
,品川,品川,上野,小山,品川,
,7,5,5,6,7,
9,始発普通,ひたち,普通,ときわ,,
,11,27,32,53,,
,品川,品川,土浦,品川,,
,5,7,6,7,,
10,始発普通,普通,ひたち,普通,ときわ,
,03,07,27,37,53,
,小山,土浦,品川,土浦,品川,
,5,5,7,5,7,
11,普通,ひたち,普通,ときわ,,
,05,27,37,53,,
,土浦,品川,土浦,品川,,
,5,7,5,7,,
12,始発普通,ひたち,普通,ときわ,,
,05,27,37,53,,
,土浦,品川,土浦,品川,,
,6,7,5,7,,
13,始発普通,ひたち,普通,ときわ,,
,04,27,37,53,,
,土浦,品川,土浦,品川,,
,6,7,5,7,,
14,始発普通,ひたち,普通,ときわ,,
,05,27,37,53,,
,土浦,品川,土浦,品川,,
,6,7,5,7,,
15,始発普通,普通,ひたち,普通,ときわ,
,00,13,27,31,53,
,土浦,小山,品川,上野,品川,
,6,6,7,5,7,
16,普通,ひたち,始発普通,ときわ,,
,06,27,31,53,,
,上野,品川,上野,品川,,
,5,70,5,7,,
17,普通,普通,ひたち,始発普通,ときわ,
,01,06,27,36,53,
,小山,上野,品川,上野,品川,
,6,6,7,5,7,
18,普通,普通,ひたち,普通,始発普通,ときわ
,00,15,27,30,38,53
,品川,品川,品川,小山,品川,品川
,5,5,7,6,5,7
19,普通,ひたち,普通,普通,ときわ,
,11,27,30,40,53,
,土浦,品川,小山,上野,品川,
,5,7,6,5,7,
20,始発普通,普通,ひたち,ときわ,,
,11,16,27,53,,
,小山,品川,品川,品川,,
,6,5,7,7,,
21,始発普通,始発普通,ひたち,普通,ときわ,普通
,00,10,27,30,53,56
,上野,小山,品川,上野,品川,上野
,5,6,7,5,7,5
22,普通,普通,,,,
,30,40,,,,
,下館,我孫子,,,,
,6,5,,,,
23,普通,,,,,
,35,,,,,
,土浦,,,,,
,5,,,,,
