Aダイヤ 長野駅 下り時刻表,,,
5,普通,普通,
,10,51,
,越後川口,戸狩野沢温泉*,
,4,4,
6,普通,普通,普通
,0,23,58
,妙高高原,妙高高原,戸狩野沢温泉
,5,5,4
7,普通,普通,
,17,45,
,豊野,妙高高原,
,5,2,
8,普通,普通,
,14,37,
,豊野,戸狩野沢温泉,
,2,4,
9,普通,,
,23,,
,妙高高原,,
,7,,
10,普通,普通,
,29,49,
,越後川口,妙高高原,
,4,7,
11,普通,,
,47,,
,飯山,,
,4,,
12,普通,普通,
,11,33,
,妙高高原,十日町,
,2,4,
13,普通,,
,17,,
,妙高高原,,
,7,,
14,普通,普通,
,5,11,
,戸狩野沢温泉,妙高高原,
,4,2,
15,普通,普通,普通
,4,28,43
,越後川口,妙高高原,豊野
,4,5,7
16,普通,普通,
,8,29,
,妙高高原,越後川口,
,7,4,
17,普通,普通,
,6,20,
,妙高高原,豊野,
,2,2,
18,普通,普通,普通
,3,11,47
,戸狩野沢温泉*,妙高高原,妙高高原
,4,2,5
19,普通,普通,
,6,50,
,戸狩野沢温泉,妙高高原,
,4,7,
20,普通,,
,26,,
,戸狩野沢温泉+,,
,4,,
21,普通,普通,
,10,40,
,妙高高原,飯山,
,7,4,
22,普通,普通,
,3,53,
,妙高高原,戸狩野沢温泉,
,7,4,
23,普通,,
,19,,
,豊野,,
,5,,
