Aダイヤ 長野駅 下り時刻表,,,,,,
5,普通,普通,,,,
,24,57,,,,
,軽井沢,軽井沢,,,,
,7,3,,,,
6,特急しなの,普通,普通,普通,快速,普通
,9,19,31,39,54,59
,名古屋,小諸,飯田,小諸,松本,小諸
,6,2,6,3,6,3
7,普通,快速,特急しなの,普通,普通,
,21,39,45,48,55,
,軽井沢,上田,名古屋,松本,上田,
,3,7,6,5,3,
8,普通,普通,普通,普通,,
,6,13,27,41,,
,戸倉,松本,戸倉,上田,,
,6,7,3,3,,
9,特急しなの,普通,普通,普通,,
,1,5,19,45,,
,名古屋,軽井沢,松本,軽井沢,,
,6,3,6,3,,
10,特急しなの,普通,普通,,,
,0,10,25,,,
,名古屋,甲府,上田,,,
,6,3,5,,,
11,特急しなの,普通,普通,普通,,
,0,5,10,45,,
,名古屋,軽井沢,松本,戸倉,,
,6,3,5,3,,
12,特急しなの,普通,普通,,,
,0,10,25,,,
,名古屋,篠ノ井,戸倉,,,
,6,5,3,,,
13,特急しなの,普通,普通,普通,,
,0,5,10,45,,
,名古屋,戸倉,松本,軽井沢,,
,6,3,5,3,,
14,特急しなの,普通,普通,,,
,0,10,25,,,
,名古屋,松本,小諸,,,
,6,5,3,,,
15,特急しなの,普通,普通,普通,,
,0,5,10,45,,
,名古屋,小諸,松本,軽井沢,,
,6,3,5,3,,
16,特急しなの,普通,普通,普通,,
,0,6,21,45,,
,名古屋,甲府,小諸,小諸,,
,6,2,3,2,,
17,特急しなの,普通,普通,普通,,
,0,13,18,41,,
,名古屋,大月,軽井沢,小諸,,
,6,6,3,3,,
18,普通,特急しなの,普通,快速しなの,普通,
,2,11,17,25,39,
,小諸,名古屋,甲府,上田,小諸,
,3,6,5,3,2,
19,普通,普通,普通,特急しなの,快速しなの,普通
,0,6,27,40,48,52
,上田,茅野,小諸,名古屋,上田,松本
,5,7,3,6,3,6
20,普通,普通,特急信州2号,普通,,
,3,39,47,51,,
,小諸,軽井沢,塩尻,甲府,,
,5,5,7,6,,
21,普通,普通,普通,,,
,22,52,59,,,
,軽井沢,上諏訪,上田,,,
,3,6,5,,,
22,普通,普通,,,,
,39,56,,,,
,小諸,松本,,,,
,3,6,,,,
23,普通,,,,,
,20,,,,,
,上田,,,,,
,3,,,,,
