土曜･休日ダイヤ 小田原駅 下り時刻表,,,,,,,
5,普通15両,,,,,,
,52,,,,,,
,熱海,,,,,,
,3,,,,,,
6,普通5両,普通10両,,,,,
,22,44,,,,,
,熱海,沼津,,,,,
,3,3,,,,,
7,普通10両,普通15両,普通15両,,,,
,16,36,56,,,,
,沼津,熱海,熱海,,,,
,3,3,3,,,,
8,普通5両,普通10両,普通15両,,,,
,20,30,50,,,,
,熱海,熱海,熱海,,,,
,3,3,3,,,,
9,普通15両,普通15両,普通15両,,,,
,08,31,43,,,,
,熱海,熱海,熱海,,,,
,3,3,3,,,,
10,特急踊り子,普通15両,普通15両,普通15両,,,
,01,05,25,43,,,
,伊豆急下田･修善寺,熱海,熱海,熱海,,,
,3,4,3,3,,,
11,特急踊り子,普通15両,普通10両,普通10両,特急踊り子7号,普通15両,
,01,04,21,27,31,48,
,伊豆急下田,熱海,熱海,熱海,伊豆急下田･修善寺,熱海,
,3,4,3,3,3,3,
12,普通15両,普通10両,特急踊り子61号,普通15両,,,
,03,26,31,49,,,
,熱海,熱海,伊豆急下田,熱海,,,
,3,3,3,3,,,
13,特急踊り子,普通15両,普通15両,普通15両,,,
,01,04,28,48,,,
,伊豆急下田･修善寺,熱海,熱海,熱海,,,
,3,4,3,3,,,
14,特急踊り子,普通15両,普通15両,普通15両,,,
,01,02,27,48,,,
,伊豆急下田,熱海,熱海,熱海,,,
,3,4,3,3,,,
15,普通10両,普通15両,普通15両,,,,
,00,26,43,,,,
,熱海,熱海,熱海,,,,
,3,3,3,,,,
16,普通10両,普通10両,普通15両,,,,
,01,29,44,,,,
,熱海,伊東,熱海,,,,
,3,3,3,,,,
17,普通5両,普通15両,普通10両,普通15両,,,
,00,18,40,53,,,
,沼津,熱海,伊東,熱海,,,
,3,3,3,3,,,
18,普通15両,普通15両,普通10両,,,,
,24,35,58,,,,
,熱海,熱海,伊東,,,,
,3,3,3,,,,
19,普通15両,普通10両,,,,,
,16,44,,,,,
,熱海,熱海,,,,,
,3,3,,,,,
20,普通15両,普通10両,普通15両,普通10両,,,
,02,22,33,46,,,
,熱海,伊東,熱海,沼津,,,
,3,3,3,3,,,
21,普通15両,普通15両,,,,,
,03,29,,,,,
,熱海,沼津,,,,,
,3,3,,,,,
22,普通10両,普通15両,普通10両,普通10両,,,
,01,15,37,53,,,
,熱海,熱海,伊東,沼津,,,
,3,3,3,3,,,
23,普通15両,普通10両,,,,,
,29,55,,,,,
,熱海,沼津,,,,,
,3,3,,,,,
0,普通15両,,,,,,
,19,,,,,,
,熱海,,,,,,
,3,,,,,,
