Aダイヤ 小田原駅 上り時刻表,,,,,,,,,,,,,
4,始発上野東京ﾗｲﾝ普通,上野東京ﾗｲﾝ普通,,,,,,,,,,,
,30,57,,,,,,,,,,,
,高崎,高崎,,,,,,,,,,,
,4,6,,,,,,,,,,,
5,始発上野東京ﾗｲﾝ普通,上野東京ﾗｲﾝ普通,始発上野東京ﾗｲﾝ普通,,,,,,,,,,
,21,41,58,,,,,,,,,,
,宇都宮,宇都宮,小金井,,,,,,,,,,
,6,6,4,,,,,,,,,,
6,上野東京ﾗｲﾝ普通,始発特急湘南,始発上野東京ﾗｲﾝ普通,上野東京ﾗｲﾝ普通,始発特急湘南,始発上野東京ﾗｲﾝ普通,始発上野東京ﾗｲﾝ普通,上野東京ﾗｲﾝ普通,始発特急湘南,始発湘南新宿ﾗｲﾝ快速,始発上野東京ﾗｲﾝ普通,上野東京ﾗｲﾝ普通,始発特急湘南
,5,20,23,27,30,32,36,39,41,45,50,54,58
,宇都宮,東京,上野,宇都宮,新宿,上野,籠原,小金井,東京,籠原,高崎,宇都宮,東京
,6,6,5,5,6,4,6,6,5,4,6,6,4
7,始発湘南新宿ﾗｲﾝ快速,始発特急湘南,上野東京ﾗｲﾝ普通,上野東京ﾗｲﾝ普通,始発特急湘南,始発上野東京ﾗｲﾝ普通,上野東京ﾗｲﾝ普通,始発特急湘南,始発上野東京ﾗｲﾝ普通,上野東京ﾗｲﾝ普通,,,
,4,9,13,20,27,32,37,45,50,54,,,
,高崎,新宿,小金井,上野,東京,籠原,上野,新宿,高崎,上野,,,
,5,5,6,6,5,5,6,5,5,6,,,
8,始発特急湘南,始発上野東京ﾗｲﾝ普通,始発上野東京ﾗｲﾝ普通,上野東京ﾗｲﾝ普通,始発特急湘南,始発上野東京ﾗｲﾝ普通,上野東京ﾗｲﾝ普通,上野東京ﾗｲﾝ普通,,,,,
,2,5,13,17,25,29,37,46,,,,,
,東京,小金井,高崎,小金井,東京,高崎,宇都宮,高崎,,,,,
,5,5,5,6,5,5,6,6,,,,,
9,始発上野東京ﾗｲﾝ普通,始発上野東京ﾗｲﾝ普通,上野東京ﾗｲﾝ普通,上野東京ﾗｲﾝ普通,,,,,,,,,
,0,16,31,48,,,,,,,,,
,宇都宮,小金井,籠原,宇都宮,,,,,,,,,
,5,5,6,6,,,,,,,,,
10,始発湘南新宿ﾗｲﾝ特別快速,上野東京ﾗｲﾝ普通,上野東京ﾗｲﾝ普通,始発上野東京ﾗｲﾝ普通,上野東京ﾗｲﾝ普通,始発上野東京ﾗｲﾝ普通,,,,,,,
,4,6,23,35,39,54,,,,,,,
,高崎,古河,小金井,籠原,宇都宮,高崎,,,,,,,
,5,6,6,5,6,5,,,,,,,
11,始発湘南新宿ﾗｲﾝ特別快速,上野東京ﾗｲﾝ普通,上野東京ﾗｲﾝ普通,始発上野東京ﾗｲﾝ普通,特急踊り子,上野東京ﾗｲﾝ普通,,,,,,,
,4,7,25,37,47,55,,,,,,,
,高崎,古河,小金井,籠原,東京,高崎,,,,,,,
,5,6,6,5,6,6,,,,,,,
12,始発湘南新宿ﾗｲﾝ特別快速,上野東京ﾗｲﾝ普通,上野東京ﾗｲﾝ普通,始発上野東京ﾗｲﾝ普通,上野東京ﾗｲﾝ普通,,,,,,,,
,4,15,28,37,54,,,,,,,,
,高崎,高崎,宇都宮,籠原,高崎,,,,,,,,
,5,6,6,5,6,,,,,,,,
13,始発湘南新宿ﾗｲﾝ特別快速,上野東京ﾗｲﾝ普通,上野東京ﾗｲﾝ普通,始発上野東京ﾗｲﾝ普通,特急踊り子,上野東京ﾗｲﾝ普通,,,,,,,
,4,12,31,35,49,57,,,,,,,
,高崎,高崎,小金井,籠原,東京,高崎,,,,,,,
,5,6,6,5,6,6,,,,,,,
14,始発湘南新宿ﾗｲﾝ特別快速,上野東京ﾗｲﾝ普通,上野東京ﾗｲﾝ普通,始発上野東京ﾗｲﾝ普通,特急踊り子,上野東京ﾗｲﾝ普通,,,,,,,
,4,10,31,35,48,55,,,,,,,
,高崎,高崎,小金井,高崎,東京,籠原,,,,,,,
,5,6,6,5,6,6,,,,,,,
15,始発湘南新宿ﾗｲﾝ特別快速,上野東京ﾗｲﾝ普通,上野東京ﾗｲﾝ普通,始発上野東京ﾗｲﾝ普通,上野東京ﾗｲﾝ普通,,,,,,,,
,4,12,28,38,53,,,,,,,,
,高崎,高崎,宇都宮,高崎,宇都宮,,,,,,,,
,5,6,6,5,6,,,,,,,,
16,始発湘南新宿ﾗｲﾝ特別快速,上野東京ﾗｲﾝ普通,上野東京ﾗｲﾝ普通,始発上野東京ﾗｲﾝ普通,特急踊り子16号,上野東京ﾗｲﾝ普通,始発湘南新宿ﾗｲﾝ快速,,,,,,
,4,11,27,36,47,49,58,,,,,,
,高崎,高崎,小金井,高崎,東京,古河,高崎,,,,,,
,5,6,6,5,6,5,5,,,,,,
17,上野東京ﾗｲﾝ普通,上野東京ﾗｲﾝ普通,始発上野東京ﾗｲﾝ普通,上野東京ﾗｲﾝ普通,始発上野東京ﾗｲﾝ普通,,,,,,,,
,10,28,34,52,55,,,,,,,,
,高崎,籠原,小金井,高崎,宇都宮,,,,,,,,
,6,6,5,6,5,,,,,,,,
18,始発湘南新宿ﾗｲﾝ快速,始発上野東京ﾗｲﾝ普通,上野東京ﾗｲﾝ普通,上野東京ﾗｲﾝ普通,始発湘南新宿ﾗｲﾝ快速,始発上野東京ﾗｲﾝ普通,,,,,,,
,0,9,18,34,50,56,,,,,,,
,籠原,古河,籠原,宇都宮,籠原,高崎,,,,,,,
,5,5,6,6,5,5,,,,,,,
19,上野東京ﾗｲﾝ普通,始発上野東京ﾗｲﾝ普通,上野東京ﾗｲﾝ普通,上野東京ﾗｲﾝ普通,始発湘南新宿ﾗｲﾝ快速,上野東京ﾗｲﾝ普通,,,,,,,
,4,16,22,31,44,47,,,,,,,
,宇都宮,高崎,宇都宮,籠原,籠原,小金井,,,,,,,
,6,5,6,6,5,6,,,,,,,
20,上野東京ﾗｲﾝ普通,始発湘南新宿ﾗｲﾝ快速,始発上野東京ﾗｲﾝ普通,上野東京ﾗｲﾝ普通,上野東京ﾗｲﾝ普通,上野東京ﾗｲﾝ普通,,,,,,,
,4,13,16,28,41,57,,,,,,,
,小金井,籠原,高崎,宇都宮,籠原,小金井,,,,,,,
,6,5,5,6,6,6,,,,,,,
21,始発上野東京ﾗｲﾝ普通,上野東京ﾗｲﾝ普通,始発上野東京ﾗｲﾝ普通,上野東京ﾗｲﾝ普通,始発上野東京ﾗｲﾝ普通,,,,,,,,
,12,18,30,48,53,,,,,,,,
,籠原,宇都宮,籠原,宇都宮,東京,,,,,,,,
,5,6,5,6,5,,,,,,,,
22,上野東京ﾗｲﾝ普通,始発上野東京ﾗｲﾝ普通,上野東京ﾗｲﾝ普通,上野東京ﾗｲﾝ普通,上野東京ﾗｲﾝ普通,,,,,,,,
,2,19,31,42,58,,,,,,,,
,東京,東京,東京,品川,品川,,,,,,,,
,6,5,6,6,6,,,,,,,,
23,始発上野東京ﾗｲﾝ普通,上野東京ﾗｲﾝ普通,,,,,,,,,,,
,10,31,,,,,,,,,,,
,品川,国府津,,,,,,,,,,,
,5,6,,,,,,,,,,,
