土曜・休日ダイヤ 小田原駅 上り時刻表,,,,,,,,,,
4,始発普通15両,普通15両,,,,,,,,
,30,57,,,,,,,,
,高崎,高崎,,,,,,,,
,5,6,,,,,,,,
5,始発普通15両,普通15両,始発普通15両,,,,,,,
,21,41,58,,,,,,,
,宇都宮,宇都宮,小金井,,,,,,,
,6,6,4,,,,,,,
6,普通15両,始発普通15両,普通15両,普通15両,始発普通15両,普通10両,始発快速15両,,,
,05,20,30,38,45,52,57,,,
,上野,宇都宮,宇都宮,上野,籠原,宇都宮,籠原,,,
,6,5,6,6,4,6,5,,,
7,始発普通15両,始発快速15両,普通15両,普通10両,始発普通15両,普通15両,始発普通15両,始発快速15両,普通10両,
,06,10,15,20,30,36,47,55,58,
,高崎,高崎,上野,上野,新前橋,宇都宮,籠原,高崎,宇都宮,
,5,4,6,6,4,6,6,5,6,
8,始発快速15両,始発普通15両,普通10両,普通15両,普通15両,始発普通15両,,,,
,10,18,22,37,45,52,,,,
,籠原,高崎,小金井,宇都宮,高崎,上野,,,,
,4,5,6,6,6,5,,,,
9,始発普通15両,始発普通15両,普通10両,普通15両,,,,,,
,08,18,35,48,,,,,,
,宇都宮,小金井,籠原,宇都宮,,,,,,
,4,5,6,6,,,,,,
10,始発特別快速15両,普通15両,普通15両,普通15両,始発普通15両,,,,,
,04,06,23,39,54,,,,,
,高崎,古河,小金井,宇都宮,高崎,,,,,
,5,6,6,6,5,,,,,
11,始発特別快速15両,普通15両,普通15両,始発普通15両,特急踊り子,普通15両,,,,
,04,07,25,37,47,55,,,,
,高崎,古河,小金井,籠原,東京,高崎,,,,
,5,6,6,5,6,6,,,,
12,始発特別快速15両,普通10両,普通10両,始発普通15両,普通15両,,,,,
,04,15,28,40,54,,,,,
,高崎,高崎,小金井,籠原,高崎,,,,,
,5,6,6,5,6,,,,,
13,始発特別快速15両,普通15両,普通15両,始発普通15両,特急踊り子,普通10両,,,,
,04,12,31,35,49,57,,,,
,高崎,高崎,小金井,籠原,東京,高崎,,,,
,5,6,6,5,6,6,,,,
14,始発特別快速15両,普通15両,普通15両,始発普通15両,特急踊り子,普通15両,,,,
,04,12,30,36,48,55,,,,
,高崎,高崎,小金井,高崎,東京,籠原,,,,
,5,6,6,5,6,6,,,,
15,始発特別快速15両,普通15両,特急踊り子,普通15両,始発普通15両,普通15両,,,,
,04,12,26,28,38,53,,,,
,高崎,高崎,東京,宇都宮,高崎,宇都宮,,,,
,5,6,6,5,6,5,,,,
16,始発特別快速15両,普通15両,特急踊り子60号,普通10両,始発普通15両,特急踊り子,普通15両,始発快速15両,,
,04,11,18,27,36,47,49,58,,
,高崎,高崎,東京,小金井,籠原,東京,小金井,高崎,,
,5,6,6,6,5,6,5,5,,
17,普通15両,普通15両,始発快速15両,普通15両,始発普通15両,,,,,
,09,28,40,52,56,,,,,
,高崎,高崎,小金井,高崎,古河,,,,,
,6,6,5,6,4,,,,,
18,始発普通10両,普通15両,始発普通15両,普通10両,始発快速15両,始発普通10両,,,,
,09,18,30,38,49,55,,,,
,宇都宮,前橋,籠原,宇都宮,籠原,高崎,,,,
,4,5,6,6,4,6,,,,
19,普通15両,始発普通15両,普通15両,普通10両,始発快速15両,普通10両,,,,
,04,15,22,32,42,48,,,,
,古河,籠原,宇都宮,高崎,高崎,宇都宮,,,,
,6,5,6,6,5,6,,,,
20,普通15両,始発普通15両,普通15両,普通15両,普通10両,,,,,
,04,16,28,42,57,,,,,
,小金井,籠原,宇都宮,高崎,小金井,,,,,
,6,5,6,6,6,,,,,
21,始発普通15両,普通15両,始発普通10両,普通15両,始発普通15両,,,,,
,12,24,31,48,55,,,,,
,高崎,宇都宮,籠原,宇都宮,東京,,,,,
,6,6,5,6,5,,,,,
22,普通15両,始発普通15両,普通15両,普通10両,普通10両,,,,,
,04,19,31,43,58,,,,,
,東京,東京,東京,品川,品川,,,,,
,6,5,6,6,6,,,,,
23,始発普通15両,普通15両,,,,,,,,
,10,31,,,,,,,,
,品川,国府津,,,,,,,,
,5,6,,,,,,,,
