Aダイヤ 大宮駅 下り時刻表,,,,,,,,,,
5,普通,,,,,,,,,
,39,,,,,,,,,
,高崎,,,,,,,,,
,8,,,,,,,,,
6,普通,普通,普通,普通,,,,,,
,10,26,39,52,,,,,,
,高崎,高崎,高崎,高崎,,,,,,
,8,8,8,8,,,,,,
7,普通,普通,快速,普通,普通,普通,,,,
,07,21,30,38,50,59,,,,
,高崎,籠原,高崎,籠原,高崎,高崎,,,,
,8,8,11,8,8,8,,,,
8,快速,普通,普通,快速,普通,快速,,,,
,11,17,30,40,45,56,,,,
,籠原,高崎,籠原,高崎,籠原,籠原,,,,
,11,8,8,11,8,11,,,,
9,アーバン,普通,快速,普通,普通,アーバン,快速,,,
,01,12,17,28,41,53,58,,,
,高崎,高崎,高崎,籠原,籠原,高崎,籠原,,,
,8,8,11,8,8,8,11,,,
10,普通,普通,草津・四万,普通,特別快速,普通,,,,
,11,23,26,41,45,57,,,,
,高崎,高崎,長野原草津口,高崎,高崎,籠原,,,,
,8,8,8,8,11,8,,,,
11,普通,快速,普通,特別快速,普通,,,,,
,12,21,36,51,56,,,,,
,高崎,籠原,籠原,高崎,高崎,,,,,
,8,11,8,11,8,,,,,
12,普通,快速,草津・四万,普通,特別快速,普通,,,,
,11,21,35,37,51,56,,,,
,高崎,籠原,長野原草津口,籠原,高崎,高崎,,,,
,8,11,7,8,11,8,,,,
13,普通,快速,普通,特別快速,普通,,,,,
,11,20,34,51,55,,,,,
,高崎,籠原,籠原,高崎,高崎,,,,,
,8,11,8,11,8,,,,,
14,普通,快速,普通,特別快速,普通,,,,,
,11,21,35,51,55,,,,,
,高崎,籠原,籠原,高崎,高崎,,,,,
,8,11,8,11,8,,,,,
15,普通,快速,普通,特別快速,普通,,,,,
,11,21,35,51,56,,,,,
,高崎,籠原,籠原,高崎,高崎,,,,,
,8,11,8,11,8,,,,,
16,普通,快速,普通,特別快速,普通,普通,,,,
,11,21,34,51,54,59,,,,
,高崎,籠原,高崎,高崎,籠原,高崎,,,,
,8,11,8,11,8,8,,,,
17,普通,快速,普通,普通,普通,特別快速,,,,
,11,21,32,41,52,57,,,,
,高崎,籠原,高崎,籠原,籠原,高崎,,,,
,8,11,8,8,8,11,,,,
18,普通,普通,快速,あかぎ,普通,普通,普通,あかぎ,快速,
,01,11,22,28,32,38,49,56,58,
,高崎,高崎,籠原,鴻巣,高崎,高崎,籠原,本庄,高崎,
,8,8,11,7,8,8,8,7,11,
19,普通,アーバン,普通,あかぎ,快速,普通,普通,快速,あかぎ,快速
,06,09,19,25,27,37,42,48,55,58
,高崎,高崎,籠原,本庄,籠原,高崎,高崎,籠原,本庄,籠原
,8,8,8,7,11,8,8,11,7,11
20,普通,アーバン,普通,あかぎ,快速,普通,普通,普通,快速,
,02,09,15,26,28,32,41,50,56,
,高崎,高崎,籠原,高崎,前橋,籠原,籠原,高崎,籠原,
,8,8,8,7,11,8,8,8,11,
21,普通,普通,快速,普通,普通,快速,普通,,,
,00,12,26,30,36,43,53,,,
,高崎,高崎,前橋,籠原,籠原,籠原,高崎,,,
,8,8,11,8,8,11,8,,,
22,普通,快速,快速,普通,普通,,,,,
,11,17,31,35,45,,,,,
,高崎,籠原,高崎,籠原,前橋,,,,,
,8,11,11,8,8,,,,,
23,普通,快速,普通,普通,普通,,,,,
,02,06,20,35,51,,,,,
,籠原,高崎,籠原,籠原,高崎,,,,,
,8,11,8,8,8,,,,,
0,快速,普通,,,,,,,,
,08,14,,,,,,,,
,籠原,籠原,,,,,,,,
,11,8,,,,,,,,
