Aダイヤ 大宮駅 下り時刻表,,,,,,,,,,,,
5,普通,,,,,,,,,,,
,50,,,,,,,,,,,
,小田原,,,,,,,,,,,
,6,,,,,,,,,,,
6,快速,普通,普通,普通,あかぎ2号,普通,普通,普通,,,,
,07,18,26,37,41,45,50,58,,,,
,平塚,小田原,熱海,上野,上野,国府津,上野,小田原,,,,
,4,6,6,6,6,6,6,6,,,,
7,快速,あかぎ4号,普通,快速,普通,普通,普通,快速,普通,普通,快速,普通
,03,09,13,19,24,28,36,39,44,48,52,56
,平塚,上野,品川,小田原,熱海,上野,小田原,国府津,上野,熱海,平塚,上野
,4,6,6,4,6,6,6,4,6,6,4,6
8,普通,快速,普通,普通,普通,普通,快速,普通,あかぎ6号,普通,快速,
,01,05,08,11,17,21,28,35,40,48,57,
,熱海,国府津,上野,小田原,平塚,上野,小田原,品川,新宿,平塚,国府津,
,6,4,6,6,6,6,4,6,6,6,4,
9,普通,あかぎ8号,普通,快速,普通,普通,快速,,,,,
,05,12,18,24,33,44,57,,,,,
,小田原,上野,熱海,小田原,品川,平塚,平塚,,,,,
,6,6,6,4,6,6,4,,,,,
10,普通,普通,特別快速,普通,普通,快速,,,,,,
,07,13,28,36,49,57,,,,,,
,上野,小田原,小田原,熱海,熱海,平塚,,,,,,
,6,6,4,6,6,4,,,,,,
11,普通,特別快速,普通,普通,快速,,,,,,,
,13,28,33,53,57,,,,,,,
,小田原,小田原,熱海,熱海,平塚,,,,,,,
,6,4,6,6,4,,,,,,,
12,普通,特別快速,普通,普通,快速,,,,,,,
,13,27,33,53,57,,,,,,,
,小田原,小田原,熱海,熱海,平塚,,,,,,,
,6,4,6,6,4,,,,,,,
13,普通,特別快速,普通,普通,快速,,,,,,,
,13,27,33,53,57,,,,,,,
,小田原,小田原,熱海,熱海,国府津,,,,,,,
,6,4,6,6,4,,,,,,,
14,普通,特別快速,普通,普通,快速,,,,,,,
,13,27,33,52,56,,,,,,,
,小田原,小田原,伊東,熱海,平塚,,,,,,,
,6,4,6,6,4,,,,,,,
15,草津・四万2号,普通,特別快速,普通,普通,快速,,,,,,
,00,14,28,33,53,57,,,,,,
,上野,熱海,小田原,平塚,熱海,平塚,,,,,,
,4,6,4,6,6,4,,,,,,
16,普通,特別快速,普通,普通,普通,,,,,,,
,13,27,33,42,52,,,,,,,
,熱海,小田原,平塚,熱海,上野,,,,,,,
,6,4,6,6,6,,,,,,,
17,快速,普通,普通,快速,普通,草津・四万4号,普通,快速,,,,
,00,06,17,30,35,44,53,57,,,,
,平塚,小田原,平塚,小田原,熱海,上野,熱海,小田原,,,,
,4,6,6,4,6,6,6,4,,,,
18,普通,普通,快速,普通,普通,普通,,,,,,
,06,21,33,41,49,56,,,,,,
,国府津,平塚,国府津,沼津,上野,上野,,,,,,
,6,6,4,6,6,6,,,,,,
19,普通,快速,普通,快速,普通,普通,,,,,,
,06,12,26,35,43,49,,,,,,
,小田原,平塚,熱海,平塚,上野,熱海,,,,,,
,6,4,6,4,6,6,,,,,,
20,快速,普通,普通,快速,普通,普通,,,,,,
,03,07,27,36,44,51,,,,,,
,国府津,熱海,伊東,小田原,上野,沼津,,,,,,
,4,6,6,4,6,6,,,,,,
21,普通,快速,普通,普通,普通,普通,,,,,,
,09,24,28,37,49,56,,,,,,
,国府津,小田原,国府津,平塚,上野,小田原,,,,,,
,6,4,6,6,6,6,,,,,,
22,快速,普通,快速,普通,普通,,,,,,,
,11,16,26,39,51,,,,,,,
,小田原,熱海,国府津,東京,上野,,,,,,,
,4,6,4,6,6,,,,,,,
23,普通,普通,普通,普通,,,,,,,,
,05,22,31,48,,,,,,,,
,上野,上野,上野,上野,,,,,,,,
,6,6,6,6,,,,,,,,
