Aダイヤ 大宮駅 下り時刻表,,,,,,,,,,,
5,普通,,,,,,,,,,
,54,,,,,,,,,,
,熱海,,,,,,,,,,
,4,,,,,,,,,,
6,普通,普通,普通,普通,普通,,,,,,
,10,22,33,43,54,,,,,,
,平塚,上野,小田原,大船,熱海,,,,,,
,4,4,4,4,4,,,,,,
7,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通
,03,07,13,17,22,29,32,41,46,52,57
,上野,熱海,大船,国府津,上野,大船,平塚,平塚,逗子,国府津,大船
,4,4,4,4,4,4,4,4,4,4,4
8,普通,普通,普通,普通,普通,普通,普通,むさしの号,普通,,
,04,11,14,24,30,41,46,49,56,,
,品川,逗子,上野,品川,熱海,熱海,大船,八王子,熱海,,
,4,4,4,4,4,4,4,4,4,,
9,普通,普通,普通,しもうさ号,普通,普通,普通,,,,
,08,17,26,30,38,43,55,,,,
,品川,逗子,熱海,海浜幕張,上野,逗子,熱海,,,,
,4,4,4,4,4,4,4,,,,
10,普通,普通,快速,普通,,,,,,,
,11,24,42,43,,,,,,,
,逗子,平塚,逗子,平塚,,,,,,,
,4,4,4,4,,,,,,,
11,普通,普通,普通,快速,普通,,,,,,
,01,13,22,42,43,,,,,,
,熱海,逗子,平塚,逗子,平塚,,,,,,
,4,4,4,4,4,,,,,,
12,普通,普通,普通,快速,普通,,,,,,
,03,12,25,42,43,,,,,,
,熱海,逗子,平塚,逗子,平塚,,,,,,
,4,4,4,4,4,,,,,,
13,普通,普通,普通,快速,普通,,,,,,
,02,13,23,42,43,,,,,,
,熱海,逗子,平塚,逗子,平塚,,,,,,
,4,4,4,4,4,,,,,,
14,普通,普通,普通,快速,普通,,,,,,
,03,12,23,42,43,,,,,,
,熱海,逗子,平塚,逗子,平塚,,,,,,
,4,4,4,4,4,,,,,,
15,普通,普通,普通,快速,普通,,,,,,
,03,12,22,42,43,,,,,,
,小田原,逗子,小田原,逗子,伊東,,,,,,
,4,4,4,4,4,,,,,,
16,普通,普通,普通,きぬがわ2号,普通,快速,普通,,,,
,02,12,25,38,46,47,58,,,,
,小田原,逗子,小田原,新宿,小田原,逗子,上野,,,,
,4,4,4,4,4,4,4,,,,
17,普通,普通,普通,普通,普通,快速,普通,普通,,,
,10,12,24,29,39,45,46,59,,,
,熱海,逗子,小田原,国府津,上野,逗子,小田原,国府津,,,
,4,4,4,4,4,4,4,4,,,
18,スペーシア日光4号,普通,普通,しもうさ号,普通,普通,むさしの号,普通,,,
,04,13,19,26,34,45,47,51,,,
,新宿,熱海,逗子,西船橋,熱海,平塚,八王子,大船,,,
,4,4,4,4,4,4,4,4,,,
19,普通,普通,普通,普通,普通,普通,,,,,
,10,18,25,37,47,58,,,,,
,小田原,小田原,逗子,小田原,大船,平塚,,,,,
,4,4,4,4,4,4,,,,,
20,普通,普通,普通,むさしの号,普通,普通,しもうさ号,普通,,,
,12,20,24,31,37,45,56,58,,,
,大船,小田原,上野,八王子,平塚,逗子,新習志野,小田原,,,
,4,4,4,4,4,4,4,4,,,
21,普通,普通,普通,普通,普通,普通,,,,,
,09,17,31,42,52,53,,,,,
,逗子,熱海,上野,上野,沼津,大船,,,,,
,4,4,4,4,4,4,,,,,
22,普通,普通,普通,普通,普通,,,,,,
,06,25,34,44,55,,,,,,
,国府津,平塚,上野,上野,上野,,,,,,
,4,4,4,4,4,,,,,,
23,普通,普通,,,,,,,,,
,12,35,,,,,,,,,
,上野,上野,,,,,,,,,
,4,4,,,,,,,,,
