Aダイヤ 大宮駅 下り時刻表,,,,,,,,
5,普通,普通,,,,,,
,36,58,,,,,,
,宇都宮,宇都宮,,,,,,
,9,9,,,,,,
6,普通,普通,普通,,,,,
,12,34,54,,,,,
,宇都宮,宇都宮,宇都宮,,,,,
,9,9,9,,,,,
7,普通,ラビット,普通,普通,普通,,,
,04,12,27,43,53,,,
,小金井,宇都宮,宇都宮,宇都宮,小金井,,,
,9,9,9,9,9,,,
8,普通,ラビット,普通,普通,普通,普通,普通,
,05,14,24,30,37,49,53,
,小金井,宇都宮,宇都宮,小金井,宇都宮,宇都宮,小金井,
,9,9,9,9,9,9,9,
9,普通,普通,普通,普通,普通,普通,快速,普通
,07,10,15,22,28,35,42,52
,宇都宮,小金井,宇都宮,小金井,小金井,古河,宇都宮,宇都宮
,9,9,9,9,9,9,9,9
10,スペーシア日光,普通,普通,普通,普通,普通,普通,
,04,07,14,20,28,35,51,
,東武日光,小金井,宇都宮,小金井,古河,宇都宮,小金井,
,9,9,9,9,9,9,9,
11,きぬがわ,普通,快速,普通,普通,快速,普通,
,02,04,08,17,23,40,45,
,鬼怒川温泉,宇都宮,宇都宮,小金井,小金井,宇都宮,宇都宮,
,9,9,9,9,9,9,9,
12,普通,普通,普通,快速,普通,,,
,01,11,26,40,46,,,
,古河,宇都宮,小金井,宇都宮,宇都宮,,,
,9,11,9,11,9,,,
13,普通,普通,普通,快速,普通,,,
,02,11,23,41,44,,,
,古河,宇都宮,小金井,宇都宮,宇都宮,,,
,9,11,9,11,9,,,
14,普通,普通,普通,快速,普通,,,
,01,10,24,41,44,,,
,古河,宇都宮,宇都宮,宇都宮,宇都宮,,,
,9,11,9,11,9,,,
15,普通,普通,普通,快速,普通,,,
,01,11,24,42,44,,,
,古河,宇都宮,小金井,宇都宮,小金井,,,
,9,11,9,11,9,,,
16,普通,普通,普通,快速,普通,,,
,02,11,23,39,43,,,
,古河,宇都宮,小金井,宇都宮,宇都宮,,,
,9,11,9,11,9,,,
17,普通,普通,普通,普通,快速,普通,普通,
,01,12,21,29,39,44,51,
,宇都宮,古河,宇都宮,古河,宇都宮,小金井,宇都宮,
,9,11,9,9,11,9,9,
18,普通,普通,普通,普通,普通,ラビット,普通,普通
,04,11,19,28,40,45,48,54
,古河,小金井,宇都宮,小金井,古河,宇都宮,宇都宮,小金井
,9,11,9,9,9,9,11,9
19,普通,普通,普通,普通,普通,普通,ラビット,普通
,03,11,15,23,34,40,47,51
,宇都宮,小金井,宇都宮,小金井,小金井,古河,宇都宮,宇都宮
,9,11,9,9,9,11,9,9
20,普通,普通,普通,普通,普通,普通,普通,
,04,10,20,27,38,45,53,
,古河,宇都宮,小金井,宇都宮,宇都宮,古河,小金井,
,9,11,9,9,9,11,9,
21,普通,普通,普通,普通,普通,普通,普通,
,04,12,19,25,40,46,56,
,宇都宮,古河,宇都宮,小金井,小金井,宇都宮,宇都宮,
,9,11,9,9,9,9,11,
22,普通,普通,普通,普通,普通,,,
,05,18,30,42,49,,,
,小金井,宇都宮,小金井,宇都宮,小金井,,,
,9,9,9,9,11,,,
23,普通,普通,普通,普通,普通,,,
,00,13,32,42,56,,,
,小金井,宇都宮,小金井,宇都宮,小金井,,,
,9,9,11,9,9,,,
0,普通,,,,,,,
,08,,,,,,,
,小金井,,,,,,,
,9,,,,,,,
