Aダイヤ 大宮駅 上り時刻表,,,,,,,,
6,快速,普通,,,,,,
,07,43,,,,,,
,平塚,大船,,,,,,
,6,4,,,,,,
7,快速,普通,快速,普通,快速,普通,快速,普通
,03,13,19,29,39,46,52,57
,平塚,大船,小田原,大船,国府津,逗子,平塚,大船
,6,4,6,4,6,4,6,4
8,快速,普通,快速,あかぎ,普通,快速,,
,05,11,28,40,46,57,,
,国府津,逗子,小田原,新宿,大船,国府津,,
,6,4,6,6,4,6,,
9,普通,快速,普通,快速,,,,
,17,24,43,57,,,,
,逗子,小田原,逗子,平塚,,,,
,4,6,4,6,,,,
10,普通,特別快速,普通,快速,,,,
,11,28,42,57,,,,
,逗子,小田原,逗子,平塚,,,,
,4,6,4,6,,,,
11,普通,特別快速,普通,快速,,,,
,13,28,42,57,,,,
,逗子,小田原,逗子,平塚,,,,
,4,6,4,6,,,,
12,普通,特別快速,普通,快速,,,,
,12,27,42,57,,,,
,逗子,小田原,逗子,平塚,,,,
,4,6,4,6,,,,
13,普通,特別快速,普通,快速,,,,
,13,27,42,57,,,,
,逗子,小田原,逗子,国府津,,,,
,4,6,4,6,,,,
14,普通,特別快速,普通,快速,,,,
,12,27,42,56,,,,
,逗子,小田原,逗子,平塚,,,,
,4,6,4,6,,,,
15,普通,特別快速,普通,快速,,,,
,12,28,42,57,,,,
,逗子,小田原,逗子,平塚,,,,
,4,6,4,6,,,,
16,普通,特別快速,きぬがわ2号,普通,,,,
,12,27,38,47,,,,
,逗子,小田原,新宿,逗子,,,,
,4,6,4,4,,,,
17,快速,普通,快速,普通,快速,,,
,00,12,30,45,57,,,
,平塚,逗子,小田原,逗子,小田原,,,
,6,4,6,4,6,,,
18,スペーシア日光4号,普通,快速,普通,,,,
,04,19,33,51,,,,
,新宿,逗子,国府津,大船,,,,
,4,4,6,4,,,,
19,快速,普通,快速,普通,,,,
,12,25,35,47,,,,
,平塚,逗子,平塚,大船,,,,
,6,4,6,4,,,,
20,快速,普通,快速,普通,,,,
,03,12,36,45,,,,
,国府津,大船,小田原,逗子,,,,
,6,4,6,4,,,,
21,普通,快速,普通,,,,,
,09,24,53,,,,,
,逗子,小田原,大船,,,,,
,4,6,4,,,,,
22,快速,快速,,,,,,
,11,26,,,,,,
,小田原,国府津,,,,,,
,6,6,,,,,,
