平日ダイヤ 品川駅 下り時刻表,,,,,,,,,,,,
4,始発普通,,,,,,,,,,,
,35,,,,,,,,,,,
,熱海,,,,,,,,,,,
,10,,,,,,,,,,,
5,始発普通,普通,普通,,,,,,,,,
,10,29,49,,,,,,,,,
,小田原,沼津,沼津,,,,,,,,,
,11,12,12,,,,,,,,,
6,始発普通,普通,普通,普通,普通,普通,,,,,,
,03,16,26,33,43,55,,,,,,
,小田原,熱海,小田原,小田原,熱海,平塚,,,,,,
,11,12,12,12,12,12,,,,,,
7,普通,普通,普通,普通,普通,普通,普通,,,,,
,02,10,19,28,37,44,53,,,,,
,小田原,熱海,小田原,国府津,熱海,小田原,熱海,,,,,
,12,12,12,12,12,12,12,,,,,
8,踊り子,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通,
,00,02,04,10,18,23,28,34,41,48,58,
,伊豆急下田,国府津,国府津,熱海,平塚,小田原,平塚,熱海,国府津,熱海,小田原,
,12,12,12,12,12,12,12,12,12,12,12,
9,普通,踊り子,普通,普通,普通,普通,普通,,,,,
,05,08,15,25,34,43,52,,,,,
,平塚,伊豆急下田,熱海,熱海,平塚,熱海,小田原,,,,,
,12,12,12,12,12,12,12,,,,,
10,普通,踊り子,普通,普通,普通,普通,普通,,,,,
,03,08,14,26,35,45,56,,,,,
,熱海,伊豆急下田,熱海,平塚,熱海,熱海,小田原,,,,,
,12,12,12,12,12,12,12,,,,,
11,普通,踊り子,普通,普通,普通,普通,普通,,,,,
,05,08,16,25,35,45,55,,,,,
,平塚,伊豆急下田,熱海,平塚,熱海,熱海,小田原,,,,,
,12,12,12,12,12,12,12,,,,,
12,普通,踊り子,普通,普通,普通,ｻﾌｨｰﾙ踊り子,普通,普通,,,,
,05,08,15,25,35,38,45,55,,,,
,平塚,伊豆急下田,熱海,平塚,熱海,伊豆急下田,熱海,小田原,,,,
,12,12,12,12,12,12,12,12,,,,
13,普通,踊り子,普通,普通,普通,普通,普通,普通,,,,
,05,08,15,26,35,35,45,55,,,,
,平塚,伊豆急下田,熱海,平塚,熱海,熱海,熱海,小田原,,,,
,12,12,12,12,12,12,12,12,,,,
14,普通,普通,普通,普通,普通,普通,,,,,,
,05,15,26,35,45,55,,,,,,
,平塚,熱海,平塚,熱海,熱海,小田原,,,,,,
,12,12,12,12,12,12,,,,,,
15,普通,普通,普通,普通,普通,普通,,,,,,
,05,15,26,35,45,55,,,,,,
,平塚,伊東,平塚,熱海,小田原,熱海,,,,,,
,12,12,12,12,12,12,,,,,,
16,普通,普通,普通,普通,普通,普通,普通,,,,,
,05,15,26,35,45,56,50,,,,,
,小田原,平塚,伊東,熱海,小田原,熱海,小田原,,,,,
,12,12,12,12,12,12,12,,,,,
17,普通,普通,普通,普通,湘南,普通,普通,普通,,,,
,06,16,26,34,39,42,31,58,,,,
,小田原,平塚,熱海,小田原,平塚,伊東,小田原,熱海,,,,
,12,12,12,12,12,12,12,12,,,,
18,普通,湘南,普通,普通,普通,普通,湘南,普通,湘南,普通,普通,普通
,05,09,12,17,22,27,39,36,39,42,49,57
,平塚,小田原,小田原,国府津,熱海,平塚,小田原,熱海,平塚,国府津,国府津,熱海
,12,12,12,12,12,12,12,12,12,12,12,12
19,普通,湘南,普通,普通,普通,普通,普通,普通,普通,普通,,
,04,09,12,19,26,34,42,42,49,57,,
,平塚,小田原,小田原,熱海,沼津,平塚,平塚,熱海,小田原,小田原,,
,12,12,12,12,12,12,12,12,12,12,,
20,普通,湘南,普通,普通,普通,湘南,普通,普通,,,,
,02,09,13,22,33,39,52,52,,,,
,小田原,小田原,熱海,小田原,熱海,小田原,国府津,熱海,,,,
,12,12,12,12,12,12,12,12,,,,
21,普通,湘南,普通,普通,普通,普通,普通,,,,,
,02,09,12,22,33,42,52,,,,,
,小田原,小田原,伊東,平塚,沼津,小田原,国府津,,,,,
,12,12,12,12,12,12,12,,,,,
22,普通,湘南,普通,普通,普通,普通,普通,,,,,
,02,09,12,22,34,42,48,,,,,
,熱海,小田原,国府津,平塚,沼津,小田原,小田原,,,,,
,12,12,12,12,12,12,12,,,,,
23,普通,湘南,普通,普通,普通,普通,,普通,,,,
,02,09,12,22,32,42,,58,,,,
,熱海,平塚,平塚,小田原,国府津,国府津,,国府津,,,,
,12,12,12,12,12,12,,12,,,,
0,普通,,,,,,,,,,,
,04,,,,,,,,,,,
,平塚,,,,,,,,,,,
,12,,,,,,,,,,,
