Aダイヤ 品川駅 上り時刻表,,,,,,,,,,,,,,,,,,,
5,普通,,,,,,,,,,,,,,,,,,
,44,,,,,,,,,,,,,,,,,,
,高崎,,,,,,,,,,,,,,,,,,
,6,,,,,,,,,,,,,,,,,,
6,普通,快速ラビット,始発普通,始発ひたち,普通,,,,,,,,,,,,,,
,11,33,35,45,57,,,,,,,,,,,,,,
,高崎,宇都宮,勝田,いわき,宇都宮,,,,,,,,,,,,,,
,6,6,10,9,6,,,,,,,,,,,,,,
7,普通,湘南,始発ときわ,普通,始発普通,普通,湘南,普通,快速ラビット,普通,始発ひたち,普通,普通,普通,,,,,
,08,11,15,19,22,24,27,33,37,41,43,47,53,55,,,,,
,高崎,東京,高萩,小金井,土浦,宇都宮,東京,高崎,宇都宮,籠原,仙台,上野,宇都宮,上野,,,,,
,6,6,9,6,10,6,6,6,6,6,9,6,6,7,,,,,
8,普通,普通,普通,普通,快速アーバン,普通,普通,普通,普通,普通,普通,普通,始発ひたち,普通,普通,普通,普通,,
,00,03,07,11,15,19,22,27,30,34,37,40,43,46,49,52,56,,
,籠原,上野,小金井,上野,高崎,宇都宮,上野,高崎,宇都宮,上野,小金井,上野,いわき,籠原,上野,古河,籠原,,
,6,7,6,7,11,6,7,6,6,7,6,7,9,6,7,6,6,,
9,普通,普通,湘南,始発普通,快速アーバン,始発ときわ,普通,普通,普通,湘南,始発普通,普通,普通,始発ひたち,普通,始発普通,,,
,01,04,07,09,12,15,17,21,27,30,32,38,42,45,50,52,,,
,宇都宮,上野,東京,土浦,高崎,勝田,上野,小金井,高崎,東京,土浦,小金井,高崎,いわき,宇都宮,土浦,,,
,6,6,6,10,6,9,6,6,6,11,10,6,6,9,6,11,,,
10,普通,普通,始発ときわ,始発普通,普通,普通,始発普通,普通,始発ひたち,普通,始発普通,,,,,,,,
,00,09,14,17,20,30,36,40,45,50,55,,,,,,,,
,高崎,小金井,勝田,土浦,宇都宮,高崎,土浦,小金井,いわき,籠原,土浦,,,,,,,,
,6,6,9,11,6,6,10,6,9,6,11,,,,,,,,
11,普通,普通,始発ときわ,始発普通,普通,普通,始発普通,普通,始発ひたち,普通,始発普通,,,,,,,,
,00,10,15,17,20,30,35,40,45,50,55,,,,,,,,
,宇都宮,高崎,勝田,土浦,古河,高崎,土浦,小金井,いわき,籠原,土浦,,,,,,,,
,6,6,9,10,6,6,11,6,9,6,11,,,,,,,,
12,普通,普通,始発ときわ,始発普通,普通,普通,始発普通,普通,踊り子,始発ひたち,普通,始発普通,,,,,,,
,00,10,15,17,20,30,35,38,41,45,50,55,,,,,,,
,宇都宮,高崎,勝田,土浦,古河,高崎,土浦,小金井,東京,仙台,籠原,土浦,,,,,,,
,6,6,9,10,6,6,6,6,6,9,6,10,,,,,,,
13,普通,普通,始発ときわ,始発普通,普通,普通,始発普通,普通,始発ひたち,普通,始発普通,,,,,,,,
,00,10,15,17,20,30,35,40,45,50,55,,,,,,,,
,宇都宮,高崎,勝田,土浦,古河,高崎,土浦,宇都宮,いわき,籠原,水戸,,,,,,,,
,6,6,9,10,6,6,11,6,9,6,10,,,,,,,,
14,普通,普通,始発ときわ,始発普通,普通,普通,始発普通,普通,踊り子,始発ひたち,普通,始発特別快速,,,,,,,
,00,10,15,17,20,30,35,40,43,45,50,55,,,,,,,
,宇都宮,高崎,勝田,勝田,古河,高崎,水戸,小金井,東京,いわき,籠原,土浦,,,,,,,
,6,6,9,10,6,6,11,6,6,9,6,10,,,,,,,
15,普通,普通,始発ときわ,始発普通,普通,普通,始発普通,普通,踊り子,始発ひたち,普通,始発特別快速,,,,,,,
,00,10,15,17,20,30,35,40,43,45,50,55,,,,,,,
,宇都宮,高崎,勝田,土浦,古河,高崎,勝田,小金井,東京,いわき,高崎,土浦,,,,,,,
,6,6,9,10,6,6,11,6,6,9,6,10,,,,,,,
16,普通,普通,始発ときわ,始発普通,普通,普通,始発普通,普通,ｻﾌｨｰﾙ踊り子,始発ひたち,普通,始発普通,,,,,,,
,00,10,15,17,20,31,35,40,42,45,50,55,,,,,,,
,宇都宮,籠原,勝田,土浦,宇都宮,高崎,高萩,宇都宮,東京,仙台,高崎,勝田,,,,,,,
,6,6,9,10,6,6,11,6,6,9,6,10,,,,,,,
17,普通,始発快速,普通,始発ときわ,普通,始発普通,普通,始発快速,普通,普通,踊り子,始発ひたち,始発普通,普通,普通,,,,
,00,06,09,15,20,22,28,30,33,38,41,45,48,51,57,,,,
,宇都宮,取手,籠原,勝田,古河,勝田,高崎,取手,宇都宮,小金井,東京,いわき,水戸,高崎,古河,,,,
,6,11,6,9,6,10,6,11,6,6,6,9,10,6,6,,,,
18,普通,始発快速,普通,始発ときわ,普通,始発普通,普通,始発快速,普通,始発ひたち,普通,始発普通,,,,,,,
,05,07,12,15,22,24,30,33,37,45,49,53,,,,,,,
,籠原,成田,小金井,高萩,高崎,勝田,宇都宮,成田,籠原,いわき,小金井,勝田,,,,,,,
,6,11,6,9,6,10,6,11,6,9,6,10,,,,,,,
19,普通,普通,始発快速,サフィール踊り子,始発ときわ,普通,普通,始発普通,普通,始発快速,普通,始発ひたち,普通,始発普通,普通,,,,
,00,05,07,12,15,18,22,27,30,34,37,45,49,54,57,,,,
,高崎,宇都宮,取手,東京,勝田,高崎,古河,勝田,籠原,成田,小金井,いわき,籠原,土浦,宇都宮,,,,
,6,6,11,6,9,6,6,10,6,11,6,9,6,10,6,,,,
20,始発快速,普通,始発ときわ,普通,始発普通,普通,始発快速,普通,始発ひたち,普通,始発普通,普通,,,,,,,
,04,07,15,20,25,29,33,40,45,50,54,59,,,,,,,
