平日ダイヤ 品川駅 上り時刻表,,,,,,,,,,
4,普通,,,,,,,,,
,30,,,,,,,,,
,久里浜,,,,,,,,,
,9,,,,,,,,,
5,普通,普通,普通,,,,,,,
,04,33,54,,,,,,,
,久里浜,逗子,逗子,,,,,,,
,14,14,14,,,,,,,
6,普通,普通,普通,普通,,,,,,
,09,23,41,53,,,,,,
,久里浜,久里浜,久里浜,久里浜,,,,,,
,15,15,15,15,,,,,,
7,普通,普通,普通,普通,普通,普通,,,,
,05,21,33,43,50,54,,,,
,逗子,逗子,逗子,逗子,久里浜,大船,,,,
,15,15,15,15,15,15,,,,
8,普通,普通,普通,普通,普通,普通,普通,普通,普通,普通
,01,08,11,21,28,35,42,47,55,58
,逗子,大船,逗子,逗子,大船,大船,逗子,逗子,大船,逗子
,15,15,15,15,15,15,15,15,15,15
9,成田ｴｸｽﾌﾟﾚｽ,普通,普通,普通,成田ｴｸｽﾌﾟﾚｽ,普通,普通,普通,普通,
,01,09,21,28,31,36,44,52,58,
,大船,逗子,久里浜,大船,新宿,逗子,大船,逗子,大船,
,15,15,15,15,15,15,15,15,15,
10,成田ｴｸｽﾌﾟﾚｽ,普通,普通,成田ｴｸｽﾌﾟﾚｽ,普通,普通,成田ｴｸｽﾌﾟﾚｽ,,,
,01,14,20,26,34,48,54,,,
,大船,逗子,久里浜,新宿,逗子,逗子,大船,,,
,15,15,15,15,15,15,15,,,
11,普通,普通,成田ｴｸｽﾌﾟﾚｽ,普通,普通,成田ｴｸｽﾌﾟﾚｽ,,,,
,02,16,26,32,46,54,,,,
,逗子,久里浜,新宿,逗子,逗子,大船,,,,
,15,15,15,15,15,15,,,,
12,普通,普通,成田ｴｸｽﾌﾟﾚｽ,普通,普通,成田ｴｸｽﾌﾟﾚｽ,,,,
,01,16,26,32,46,54,,,,
,逗子,久里浜,新宿,逗子,逗子,大船,,,,
,15,15,15,15,15,15,,,,
13,普通,普通,成田ｴｸｽﾌﾟﾚｽ,普通,普通,成田ｴｸｽﾌﾟﾚｽ,,,,
,01,16,26,33,46,54,,,,
,逗子,久里浜,新宿,逗子,逗子,大船,,,,
,15,15,15,15,15,15,,,,
14,普通,普通,成田ｴｸｽﾌﾟﾚｽ,普通,普通,成田ｴｸｽﾌﾟﾚｽ,,,,
,03,16,26,32,46,54,,,,
,逗子,久里浜,新宿,逗子,逗子,大船,,,,
,15,15,15,15,15,15,,,,
15,普通,普通,成田ｴｸｽﾌﾟﾚｽ,普通,普通,成田ｴｸｽﾌﾟﾚｽ,,,,
,02,16,26,32,46,54,,,,
,横須賀,久里浜,新宿,久里浜,逗子,大船,,,,
,15,15,15,15,15,15,,,,
16,普通,普通,普通,成田ｴｸｽﾌﾟﾚｽ,普通,普通,普通,成田ｴｸｽﾌﾟﾚｽ,,
,02,11,19,26,32,42,51,54,,
,久里浜,逗子,横須賀,新宿,久里浜,逗子,久里浜,大船,,
,15,15,15,15,15,15,15,15,,
17,普通,普通,普通,成田ｴｸｽﾌﾟﾚｽ,普通,普通,成田ｴｸｽﾌﾟﾚｽ,,,
,02,13,21,29,35,47,55,,,
,久里浜,久里浜,久里浜,新宿,逗子,久里浜,大船,,,
,15,15,15,15,15,15,15,,,
18,普通,普通,普通,普通,成田ｴｸｽﾌﾟﾚｽ,普通,普通,普通,成田ｴｸｽﾌﾟﾚｽ,
,02,10,18,24,29,35,47,53,29,
,久里浜,逗子,久里浜,横須賀,大船,久里浜,久里浜,久里浜,大船,
,15,15,15,15,15,15,15,15,15,
19,普通,普通,普通,成田ｴｸｽﾌﾟﾚｽ,普通,普通,普通,普通,,
,04,14,24,29,32,39,46,57,,
,逗子,久里浜,逗子,新宿,久里浜,久里浜,逗子,久里浜,,
,15,15,15,15,15,15,15,15,,
20,成田ｴｸｽﾌﾟﾚｽ,普通,普通,成田ｴｸｽﾌﾟﾚｽ,普通,普通,普通,普通,,
,01,07,17,23,26,35,46,58,,
,大船,横須賀,逗子,新宿,逗子,久里浜,久里浜,久里浜,,
,15,15,15,15,15,15,15,15,,
21,成田ｴｸｽﾌﾟﾚｽ,普通,普通,普通,普通,普通,成田ｴｸｽﾌﾟﾚｽ,,,
,01,11,21,33,41,49,52,,,
,大船,逗子,久里浜,久里浜,大船,久里浜,大船,,,
,15,15,15,15,15,15,15,,,
22,普通,普通,普通,普通,成田ｴｸｽﾌﾟﾚｽ,普通,,,,
,04,16,26,40,47,56,,,,
,久里浜,逗子,久里浜,久里浜,大船,久里浜,,,,
,15,15,15,15,15,15,,,,
23,普通,普通,普通,普通,,,,,,
,12,31,43,59,,,,,,
,久里浜,大船,逗子,大船,,,,,,
,15,15,15,14,,,,,,
