Aダイヤ 新宿駅 下り時刻表,,,,,,,
6,快速,,,,,,
,40,,,,,,
,平塚,,,,,,
,1,,,,,,
7,普通,快速,普通,快速,,,
,16,36,47,55,,,
,大船,平塚,大船,小田原,,,
,1,1,1,1,,,
8,普通,快速,普通,快速,普通,快速,普通
,05,12,19,27,34,41,49
,大船,国府津,逗子,平塚,大船,国府津,逗子
,1,1,1,1,1,1,1
9,快速,普通,快速,普通,,,
,03,20,30,50,,,
,小田原,大船,国府津,逗子,,,
,1,1,1,1,,,
10,快速,普通,快速,普通,,,
,00,15,30,45,,,
,小田原,逗子,平塚,逗子,,,
,1,1,1,1,,,
11,特別快速,普通,快速,普通,,,
,00,15,30,45,,,
,小田原,逗子,平塚,逗子,,,
,1,1,1,1,,,
12,特別快速,普通,快速,普通,,,
,00,15,30,45,,,
,小田原,逗子,平塚,逗子,,,
,1,1,1,1,,,
13,特別快速,普通,快速,普通,,,
,00,15,30,44,,,
,小田原,逗子,平塚,逗子,,,
,1,1,1,1,,,
14,特別快速,普通,快速,普通,,,
,00,15,30,45,,,
,小田原,逗子,国府津,逗子,,,
,1,1,1,1,,,
15,特別快速,普通,快速,普通,,,
,00,15,30,45,,,
,小田原,逗子,平塚,逗子,,,
,1,1,1,1,,,
16,特別快速,普通,快速,普通,,,
,00,15,30,45,,,
,小田原,逗子,平塚,逗子,,,
,1,1,1,1,,,
17,特別快速,普通,快速,普通,,,
,00,19,32,46,,,
,小田原,逗子,平塚,逗子,,,
,1,1,1,1,,,
18,快速,普通,始発湘南,快速,普通,,
,00,19,25,32,50,,
,小田原,逗子,小田原,小田原,逗子,,
,1,1,2,1,1,,
19,快速,普通,始発湘南,快速,,,
,08,25,30,45,,,
,国府津,大船,小田原,平塚,,,
,1,1,2,1,,,
20,普通,快速,普通,快速,普通,,
,00,08,19,33,45,,
,逗子,平塚,大船,国府津,大船,,
,1,1,1,1,1,,
21,快速,普通,普通,,,,
,08,19,45,,,,
,小田原,逗子,逗子,,,,
,1,1,1,,,,
22,快速,普通,快速,快速,,,
,00,24,42,58,,,
,小田原,大船,小田原,国府津,,,
,1,1,1,1,,,
