Aダイヤ 新宿駅 下り時刻表,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,快速,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,高尾,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,快速,快速,快速,快速,,,,,,,,,,,,,,,,,,,,,,,,,
,16,32,44,59,,,,,,,,,,,,,,,,,,,,,,,,,
,高尾,高尾,高尾,高尾,,,,,,,,,,,,,,,,,,,,,,,,,
,12,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,
6,快速,快速,中央特快,快速,快速,中央特快,快速,快速,,,,,,,,,,,,,,,,,,,,,
,08,19,25,30,36,42,46,51,,,,,,,,,,,,,,,,,,,,,
,高尾,高尾,高尾,高尾,高尾,高尾,高尾,青梅,,,,,,,,,,,,,,,,,,,,,
,12,12,12,12,12,12,12,12,,,,,,,,,,,,,,,,,,,,,
7,始発特急あずさ,快速,快速,快速,快速,快速,快速,特急あずさ・富士回遊,快速,快速,快速,快速,快速,快速,快速,快速,,,,,,,,,,,,,
,00,02,07,10,15,17,21,30,32,35,39,42,44,47,51,55,,,,,,,,,,,,,
,松本,高尾,青梅,高尾,高尾,八王子,高尾,松本・河口湖,高尾,高尾,高尾,武蔵小金井,青梅,高尾,武蔵小金井,高尾,,,,,,,,,,,,,
,9,12,12,12,12,12,12,9,12,12,12,12,12,12,12,12,,,,,,,,,,,,,
8,始発特急あずさ,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,始発特急かいじ・富士回遊,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,
,00,02,04,06,08,10,12,15,18,20,22,25,27,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,
,南小谷,青梅,高尾,高尾,武蔵小金井,青梅,高尾,豊田,青梅,高尾,豊田,武蔵小金井,高尾,甲府・河口湖,武蔵小金井,立川,高尾,豊田,武蔵小金井,青梅,高尾,豊田,武蔵小金井,高尾,豊田,青梅,武蔵小金井,高尾,
,9,12,12,12,12,12,12,12,12,12,12,12,12,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,
9,始発特急あずさ,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,快速,始発特急かいじ・富士回遊,快速,快速,快速,快速,快速,快速,快速,中央特快,快速,快速,,,,,,
,00,02,04,06,08,10,14,17,21,23,25,27,30,32,34,36,38,40,43,45,50,52,55,,,,,,
,松本,豊田,武蔵小金井,高尾,豊田,武蔵小金井,大月,豊田,高尾,高尾,青梅,豊田,甲府・河口湖,武蔵小金井,高尾,青梅,豊田,豊田,武蔵小金井,高尾,高尾,武蔵小金井,青梅,,,,,,
,10,12,12,12,12,12,12,12,12,12,12,12,10,12,12,12,12,12,12,12,12,12,12,,,,,,
10,始発特急あずさ,快速,快速,快速,快速,快速,快速,中央特快,快速,始発特急かいじ・富士回遊,快速,青梅特快,快速,快速,中央特快,快速,快速,,,,,,,,,,,,
,00,02,06,08,10,12,14,21,24,30,32,37,39,41,47,49,52,,,,,,,,,,,,
,松本,高尾,豊田,青梅,豊田,武蔵小金井,高尾,高尾,高尾,甲府・河口湖,青梅,青梅,立川,高尾,大月,立川,青梅,,,,,,,,,,,,
,9,12,12,12,12,12,12,12,12,10,12,12,12,12,12,12,12,,,,,,,,,,,,
11,始発特急あずさ,快速,中央特快,快速,快速,快速,中央特快,快速,始発特急かいじ,快速,快速,中央特快,快速,青梅特快,快速,,,,,,,,,,,,,,
,00,02,07,09,12,16,22,24,30,32,36,42,44,50,52,,,,,,,,,,,,,,
,松本,高尾,高尾,豊田,高尾,豊田,大月,青梅,甲府,高尾,高尾,高尾,青梅,青梅,八王子,,,,,,,,,,,,,,
,9,12,12,12,12,12,12,12,10,12,12,12,12,12,12,,,,,,,,,,,,,,
12,始発特急あずさ,快速,快速,中央特快,快速,中央特快,快速,快速,始発特急かいじ,快速,中央特快,快速,快速,青梅特快,快速,,,,,,,,,,,,,,
,00,02,04,10,12,18,20,23,30,32,37,39,43,49,51,,,,,,,,,,,,,,
,松本,青梅,豊田,大月,高尾,高尾,青梅,高尾,甲府,豊田,高尾,高尾,豊田,青梅,高尾,,,,,,,,,,,,,,
,10,12,12,12,12,12,12,12,9,12,12,12,12,12,12,,,,,,,,,,,,,,
13,始発特急あずさ,快速,中央特快,快速,快速,中央特快,快速,快速,始発特急かいじ,快速,快速,中央特快,快速,青梅特快,快速,,,,,,,,,,,,,,
,00,02,07,10,12,18,20,24,30,32,35,41,43,49,53,,,,,,,,,,,,,,
,松本,青梅,大月,青梅,高尾,高尾,立川,青梅,甲府,高尾,豊田,大月,高尾,青梅,青梅,,,,,,,,,,,,,,
,10,12,12,12,12,12,12,12,9,12,12,12,12,12,12,,,,,,,,,,,,,,
14,始発特急あずさ,快速,中央特快,快速,快速,中央特快,快速,始発特急かいじ,快速,中央特快,快速,快速,青梅特快,快速,,,,,,,,,,,,,,,
,00,02,07,10,13,19,23,30,32,37,40,43,49,52,,,,,,,,,,,,,,,
,松本,高尾,高尾,豊田,青梅,高尾,豊田,甲府,高尾,大月,高尾,青梅,青梅,高尾,,,,,,,,,,,,,,,
,10,12,12,12,12,12,12,9,12,12,12,12,12,12,,,,,,,,,,,,,,,
15,始発特急あずさ,快速,快速,中央特快,快速,快速,中央特快,快速,快速,特急かいじ,快速,中央特快,快速,快速,中央特快,快速,,,,,,,,,,,,,
,00,02,05,08,11,14,18,21,25,30,32,36,39,43,47,52,,,,,,,,,,,,,
,松本,青梅,豊田,高尾,八王子,高尾,高尾,青梅,高尾,甲府,武蔵小金井,高尾,大月,青梅,高尾,高尾,,,,,,,,,,,,,
,9,12,12,12,12,12,12,12,12,10,12,12,12,12,12,12,,,,,,,,,,,,,
16,始発特急あずさ,快速,中央特快,快速,中央特快,快速,快速,特急かいじ,快速,快速,快速,中央特快,快速,快速,快速,,,,,,,,,,,,,,
,00,02,07,11,16,19,23,30,32,36,39,45,47,50,54,,,,,,,,,,,,,,
,松本,青梅,高尾,八王子,高尾,青梅,高尾,甲府,青梅,高尾,高尾,高尾,八王子,青梅,高尾,,,,,,,,,,,,,,
,10,12,12,12,12,12,12,10,12,12,12,12,12,12,12,,,,,,,,,,,,,,
17,特急あずさ,快速,快速,通勤快速,快速,快速,快速,快速,快速,快速,特急かいじ,快速,通勤快速,快速,快速,快速,通勤快速,快速,快速,快速,快速,,,,,,,,
,00,02,04,08,11,14,17,20,22,26,30,32,35,37,39,41,44,46,49,53,55,,,,,,,,
,松本,高尾,青梅,大月,高尾,武蔵小金井,高尾,高尾,八王子,高尾,甲府,青梅,青梅,武蔵小金井,高尾,武蔵小金井,高尾,高尾,青梅,大月,高尾,,,,,,,,
,10,12,12,12,12,12,12,12,12,12,10,12,12,12,12,12,12,12,12,12,12,,,,,,,,
18,始発特急あずさ,快速,快速,通勤快速,快速,快速,特急はちおうじ,快速,快速,通勤快速,快速,快速,始発特急かいじ,快速,快速,通勤快速,快速,快速,特急おうめ,快速,通勤快速,快速,快速,,,,,,
,00,02,04,06,09,11,15,17,19,22,24,27,30,32,34,37,39,43,45,47,50,52,56,,,,,,
,松本,青梅,高尾,大月,青梅,武蔵小金井,八王子,豊田,高尾,河口湖,武蔵小金井,青梅,竜王,豊田,高尾,高尾,立川,青梅,青梅,高尾,高尾,青梅,武蔵小金井,,,,,,
,9,12,12,12,12,12,10,12,12,12,12,12,9,12,12,12,12,12,10,12,12,12,12,,,,,,
19,始発特急あずさ,快速,快速,通勤快速,快速,快速,快速,通勤快速,快速,快速,特急かいじ,快速,快速,通勤快速,快速,快速,通勤快速,快速,快速,,,,,,,,,,
,00,02,04,07,09,12,16,19,22,27,30,32,34,37,41,44,47,50,55,,,,,,,,,,
,松本,高尾,青梅,大月,高尾,青梅,高尾,河口湖,青梅,高尾,竜王,立川,青梅,青梅,豊田,高尾,大月,青梅,高尾,,,,,,,,,,
,9,12,12,12,12,12,12,12,12,12,9,12,12,12,12,12,12,12,12,,,,,,,,,,
20,始発特急あずさ,快速,快速,通勤快速,快速,快速,快速,通勤快速,快速,快速,特急はちおうじ,快速,快速,通勤快速,快速,通勤快速,快速,快速,,,,,,,,,,,
,00,02,04,07,09,13,18,21,24,27,30,32,35,38,43,46,50,55,,,,,,,,,,,
,松本,青梅,高尾,大月,立川,高尾,青梅,高尾,高尾,高尾,八王子,青梅,高尾,青梅,高尾,高尾,高尾,豊田,,,,,,,,,,,
,10,12,12,12,12,12,12,12,12,12,10,12,12,12,12,12,12,12,,,,,,,,,,,
21,始発特急あずさ,快速,通勤快速,快速,快速,通勤快速,快速,快速,快速,特急はちおうじ,快速,通勤快速,快速,快速,通勤快速,快速,快速,,,,,,,,,,,,
,00,02,05,08,12,15,20,22,27,30,33,37,41,46,49,52,57,,,,,,,,,,,,
,松本,青梅,青梅,高尾,青梅,高尾,高尾,立川,高尾,八王子,豊田,青梅,高尾,高尾,高尾,豊田,高尾,,,,,,,,,,,,
,10,12,12,12,12,12,12,12,12,10,12,12,12,12,12,12,12,,,,,,,,,,,,
22,特急かいじ,快速,通勤快速,快速,快速,中央特快,快速,快速,特急おうめ,快速,中央特快,快速,快速,中央特快,快速,快速,,,,,,,,,,,,,
,00,02,05,10,14,20,23,27,30,32,37,39,47,51,53,57,,,,,,,,,,,,,
,甲府,豊田,高尾,豊田,高尾,高尾,青梅,青梅,青梅,高尾,高尾,青梅,高尾,高尾,豊田,豊田,,,,,,,,,,,,,
,10,12,12,12,12,12,12,12,10,12,12,12,12,12,12,12,,,,,,,,,,,,,
23,特急かいじ,快速,中央特快,快速,快速,快速,中央特快,快速,快速,快速,中央特快,快速,快速,,,,,,,,,,,,,,,,
,00,02,07,10,17,22,28,33,37,42,47,50,54,,,,,,,,,,,,,,,,
,甲府,高尾,高尾,豊田,豊田,高尾,大月,豊田,豊田,青梅,高尾,高尾,豊田,,,,,,,,,,,,,,,,
,10,12,12,12,12,12,12,12,12,12,12,12,12,,,,,,,,,,,,,,,,
0,快速,快速,快速,快速,,,,,,,,,,,,,,,,,,,,,,,,,
,00,04,11,20,,,,,,,,,,,,,,,,,,,,,,,,,
,高尾,立川,豊田,武蔵小金井,,,,,,,,,,,,,,,,,,,,,,,,,
,12,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,
